车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C1009,城际高速,长春西,07:51,长春西,当天07:51,07:51,珲春,11:19
C1201,城际高速,长春西,06:49,长春西,当天06:49,06:49,吉林,07:52
C1203,城际高速,长春西,07:02,长春西,当天07:02,07:02,吉林,08:00
C1241,城际高速,长春西,08:37,长春西,当天08:37,08:37,吉林,09:30
D101,动车组,北京,13:49,长春西,当天20:25,20:27,哈尔滨西,21:39
D102,动车组,哈尔滨西,10:37,长春西,当天12:00,12:03,北京,18:31
D24,动车组,长春,07:24,长春西,当天07:34,07:36,北京,14:14
D28,动车组,哈尔滨西,06:57,长春西,当天08:15,08:17,北京,14:51
D4509,动车组,北京,02:00,长春西,当天08:35,08:35,长春西,08:35
D4510,动车组,吉林,16:52,长春西,当天17:45,17:47,北京,01:39
D4603,动车组,北京,00:16,长春西,当天06:36,06:38,哈尔滨西,07:44
D4604,动车组,哈尔滨西,20:25,长春西,当天21:43,21:45,北京,04:10
D4605,动车组,北京,02:56,长春西,当天09:04,09:17,长春,09:27
D4606,动车组,长春,18:43,长春西,当天18:53,18:55,北京,02:36
D4607,动车组,北京,03:01,长春西,当天09:21,09:23,哈尔滨西,10:29
D4608,动车组,哈尔滨西,18:49,长春西,当天19:58,20:00,北京,02:41
D4609,动车组,北京,23:52,长春西,第2日06:26,06:28,哈尔滨西,07:34
D4610,动车组,哈尔滨西,20:25,长春西,当天21:43,21:45,北京,04:10
D4611,动车组,北京,10:28,长春西,当天17:40,17:43,哈尔滨西,18:55
D4612,动车组,哈尔滨西,20:50,长春西,当天22:01,22:04,北京,04:19
D4615,动车组,沈阳,10:33,长春西,当天12:11,12:14,齐齐哈尔南,15:29
D4616,动车组,齐齐哈尔南,16:38,长春西,当天20:20,20:22,沈阳,21:50
D4617,动车组,北京,03:01,长春西,当天09:21,09:23,齐齐哈尔南,13:00
D4618,动车组,齐齐哈尔南,16:20,长春西,当天19:58,20:00,北京,02:41
D4639,动车组,北京,03:01,长春西,当天09:23,09:25,哈尔滨西,10:31
D4640,动车组,哈尔滨西,19:21,长春西,当天20:26,20:28,北京,02:41
D8098,动车组,长春,19:38,长春西,当天19:48,19:50,沈阳北,21:07
D9069,动车组,沈阳北,16:04,长春西,当天17:40,17:42,长春,17:52
G1212/G1213,高速动车,长春,08:57,长春西,当天09:07,09:10,上海虹桥,20:20
G1261/G1264,高速动车,郑州东,08:07,长春西,当天18:15,18:17,哈尔滨西,19:19
G1275/G1278,高速动车,武汉,08:55,长春西,当天20:56,20:58,哈尔滨西,22:08
G373,高速动车,天津西,07:37,长春西,当天13:22,13:25,哈尔滨西,14:22
G374,高速动车,哈尔滨西,16:51,长春西,当天17:54,17:56,天津西,23:28
G375,高速动车,天津西,15:50,长春西,当天21:02,21:05,哈尔滨西,22:02
G376,高速动车,哈尔滨西,08:50,长春西,当天09:52,09:54,天津西,15:06
G381,高速动车,北京南,07:53,长春西,当天13:43,13:46,哈尔滨西,14:59
G384,高速动车,吉林,15:58,长春西,当天16:54,16:56,北京南,22:56
G393,高速动车,北京南,15:05,长春西,当天21:09,21:11,哈尔滨西,22:20
G400,高速动车,长春,08:36,长春西,当天08:46,08:48,北京南,14:54
G47,高速动车,大连北,08:30,长春西,当天11:09,11:11,哈尔滨西,12:05
G4721,高速动车,北京南,01:56,长春西,当天07:17,07:20,哈尔滨西,08:30
G4722,高速动车,哈尔滨西,17:39,长春西,当天18:35,18:38,北京南,01:06
G4723,高速动车,北京南,02:22,长春西,当天07:59,08:01,哈尔滨西,09:07
G4724,高速动车,哈尔滨西,18:35,长春西,当天19:41,19:43,北京南,01:52
G4725,高速动车,北京南,23:40,长春西,第2日06:16,06:19,哈尔滨西,07:26
G4726,高速动车,哈尔滨西,20:35,长春西,当天21:31,21:34,北京南,03:26
G4727,高速动车,北京南,01:38,长春西,当天06:59,07:02,哈尔滨西,08:08
G4728,高速动车,哈尔滨西,17:43,长春西,当天18:39,18:41,北京南,01:18
