车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1455/1458,普快,通辽,17:25,昌平北,第2日06:09,06:43,呼和浩特,18:29
1801,普快,昌平北,14:10,昌平北,当天14:10,14:10,齐齐哈尔,13:34
1802,普快,齐齐哈尔,13:21,昌平北,第2日11:40,11:40,昌平北,11:40
2621,普快,昌平北,10:00,昌平北,当天10:00,10:00,赤峰,19:14
2622,普快,赤峰,20:22,昌平北,第2日04:45,04:45,昌平北,04:45
K1015,快速,昌平北,18:59,昌平北,当天18:59,18:59,通辽,07:43
K1016,快速,通辽,21:03,昌平北,第2日10:57,10:57,昌平北,10:57
K1596,快速,乌海西,16:47,昌平北,第2日11:50,11:50,昌平北,11:50
K274/K275,快速,呼和浩特,21:51,昌平北,第2日07:15,08:00,满洲里,14:00
K4241/K4244,快速,赤峰,12:00,昌平北,第2日00:03,00:30,呼和浩特东,14:14
K4769,快速,昌平北,21:49,昌平北,当天21:49,21:49,赤峰,07:47
K4770,快速,赤峰,17:34,昌平北,第2日05:05,05:05,昌平北,05:05
