车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6201,城际高速,德阳,07:22,成都东,当天08:10,08:10,成都东,08:10
C6202,城际高速,成都东,06:27,成都东,当天06:27,06:27,绵阳,07:16
C6203,城际高速,绵阳,08:15,成都东,当天09:16,09:16,成都东,09:16
C6204,城际高速,成都东,06:40,成都东,当天06:40,06:40,德阳,07:07
C6205,城际高速,德阳,09:21,成都东,当天09:55,09:55,成都东,09:55
C6206,城际高速,成都东,07:00,成都东,当天07:00,07:00,绵阳,07:55
C6207,城际高速,德阳,10:54,成都东,当天11:34,11:34,成都东,11:34
C6208,城际高速,成都东,07:37,成都东,当天07:37,07:37,江油,08:53
C6209,城际高速,绵阳,10:52,成都东,当天11:42,11:42,成都东,11:42
C6210,城际高速,成都东,08:25,成都东,当天08:25,08:25,德阳,09:05
C6211,城际高速,德阳,12:38,成都东,当天13:12,13:12,成都东,13:12
C6212,城际高速,成都东,09:37,成都东,当天09:37,09:37,绵阳,10:33
C6213,城际高速,绵阳,13:21,成都东,当天14:23,14:23,成都东,14:23
C6214,城际高速,成都东,10:12,成都东,当天10:12,10:12,德阳,10:39
C6215,城际高速,德阳,14:35,成都东,当天15:08,15:08,成都东,15:08
C6216,城际高速,成都东,11:49,成都东,当天11:49,11:49,德阳,12:22
C6217,城际高速,德阳,16:05,成都东,当天16:45,16:45,成都东,16:45
C6218,城际高速,成都东,12:01,成都东,当天12:01,12:01,绵阳,13:03
C6219,城际高速,绵阳,16:22,成都东,当天17:11,17:11,成都东,17:11
C6220,城际高速,成都东,13:37,成都东,当天13:37,13:37,德阳,14:17
C6221,城际高速,德阳,18:05,成都东,当天18:52,18:52,成都东,18:52
C6222,城际高速,成都东,14:51,成都东,当天14:51,14:51,绵阳,15:52
C6223,城际高速,绵阳,19:12,成都东,当天20:15,20:15,成都东,20:15
C6224,城际高速,成都东,15:23,成都东,当天15:23,15:23,德阳,15:50
C6225,城际高速,江油,20:57,成都东,当天22:07,22:07,成都东,22:07
C6226,城际高速,成都东,17:13,成都东,当天17:13,17:13,德阳,17:46
C6227,城际高速,绵阳,21:58,成都东,当天22:47,22:47,成都东,22:47
C6228,城际高速,成都东,17:43,成都东,当天17:43,17:43,绵阳,18:47
C6229,城际高速,江油,21:47,成都东,当天22:57,22:57,成都东,22:57
C6230,城际高速,成都东,20:51,成都东,当天20:51,20:51,绵阳,21:40
C6231,城际高速,德阳,19:52,成都东,当天20:34,20:34,成都东,20:34
C6232,城际高速,成都东,07:09,成都东,当天07:09,07:09,德阳,07:56
C6241,城际高速,绵阳,09:08,成都东,当天10:10,10:10,成都东,10:10
C6242,城际高速,成都东,06:17,成都东,当天06:17,06:17,江油,07:27
C6243,城际高速,绵阳,11:45,成都东,当天12:34,12:34,成都东,12:34
C6244,城际高速,成都东,08:00,成都东,当天08:00,08:00,绵阳,08:49
C6245,城际高速,江油,14:31,成都东,当天16:01,16:01,成都东,16:01
C6246,城际高速,成都东,10:38,成都东,当天10:38,10:38,绵阳,11:27
C6247,城际高速,江油,17:59,成都东,当天19:28,19:28,成都东,19:28
C6248,城际高速,成都东,13:01,成都东,当天13:01,13:01,江油,14:12
C6249,城际高速,江油,20:02,成都东,当天21:13,21:13,成都东,21:13
C6250,城际高速,成都东,16:25,成都东,当天16:25,16:25,江油,17:41
C6251,城际高速,成都东,06:30,成都东,当天06:30,06:30,乐山,07:30
C6253,城际高速,成都东,06:46,成都东,当天06:46,06:46,眉山东,07:28
C6255,城际高速,成都东,07:05,成都东,当天07:05,07:05,峨眉山,08:23
C6257,城际高速,成都东,07:36,成都东,当天07:36,07:36,眉山东,08:24
C6260,城际高速,乐山,13:16,成都东,当天14:16,14:16,成都东,14:16
C6262,城际高速,峨眉山,14:42,成都东,当天16:19,16:19,成都东,16:19
C6267,城际高速,成都东,14:36,成都东,当天14:36,14:36,乐山,15:50
C6268,城际高速,眉山东,19:39,成都东,当天20:41,20:41,成都东,20:41
C6269,城际高速,成都东,16:40,成都东,当天16:40,16:40,峨眉山,17:57
C6270,城际高速,峨眉山,20:37,成都东,当天22:07,22:07,成都东,22:07
C6272,城际高速,乐山,21:16,成都东,当天22:28,22:28,成都东,22:28
C6274,城际高速,峨眉山,21:48,成都东,当天23:04,23:04,成都东,23:04
C6281,城际高速,德阳,07:56,成都东,当天08:30,08:30,成都东,08:30
C6282,城际高速,成都东,07:04,成都东,当天07:04,07:04,德阳,07:38
C6283,城际高速,德阳,09:47,成都东,当天10:21,10:21,成都东,10:21
C6284,城际高速,成都东,08:48,成都东,当天08:48,08:48,德阳,09:28
C6285,城际高速,德阳,11:37,成都东,当天12:17,12:17,成都东,12:17
C6286,城际高速,成都东,10:42,成都东,当天10:42,10:42,德阳,11:15
C6287,城际高速,德阳,13:43,成都东,当天14:31,14:31,成都东,14:31
C6288,城际高速,成都东,12:44,成都东,当天12:44,12:44,德阳,13:18
C6289,城际高速,德阳,16:01,成都东,当天16:48,16:48,成都东,16:48
