车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1227/1230,普快,阜新南,16:45,滁州北,第2日13:21,13:24,上海,18:15
1228/1229,普快,上海,20:22,滁州北,第2日00:46,00:55,阜新南,23:26
1462,普快,上海,12:18,滁州北,当天17:23,17:26,北京,10:46
2593/2596,普快,郑州,20:40,滁州北,第2日05:27,05:31,杭州,13:20
3555/3558,普快,信阳,13:00,滁州北,当天23:27,23:40,上海,04:49
4310,普快,通辽,12:16,滁州北,第2日13:21,13:24,上海,18:15
K1102/K1103,快速,上海,13:44,滁州北,当天18:28,18:37,安阳,07:05
K1182/K1183,快速,义乌,17:09,滁州北,第2日03:05,03:09,烟台,18:32
K1332/K1333,快速,上海,18:17,滁州北,第2日00:36,00:39,银川,23:58
K1505,快速,周口,09:27,滁州北,当天17:30,17:34,上海,22:35
K1506/K1507,快速,上海,23:47,滁州北,第2日04:13,04:16,周口,12:55
K1537/K1540,快速,南京,14:28,滁州北,当天15:19,15:22,乌鲁木齐,15:13
K161,快速,徐州,19:33,滁州北,当天23:04,23:07,南宁,05:20
K1651/K1654,快速,郑州,20:41,滁州北,第2日05:27,05:31,杭州,13:20
K171/K174,快速,日照,17:50,滁州北,第2日05:34,05:44,上海,11:31
K172/K173,快速,上海,13:09,滁州北,当天18:51,18:55,日照,06:07
K1805/K1808,快速,银川,17:18,滁州北,第2日21:49,22:00,杭州,06:29
K1806/K1807,快速,杭州,11:44,滁州北,当天19:29,19:46,银川,21:53
K188/K189,快速,上海,18:08,滁州北,第2日00:30,00:33,沈阳北,23:42
K2665/K2668,快速,临汾,12:05,滁州北,第2日09:05,09:27,苏州,13:46
K2666/K2667,快速,苏州,15:30,滁州北,当天19:12,19:22,临汾,16:23
K290/K291,快速,上海,08:51,滁州北,当天13:33,13:37,成都,21:35
K345/K348,快速,温州,18:20,滁州北,第2日08:04,08:08,沈阳北,08:12
K346/K347,快速,沈阳北,19:36,滁州北,第2日18:49,18:53,温州,11:40
K359/K362,快速,银川,20:38,滁州北,第3日01:19,01:22,上海,06:06
K360/K361,快速,上海,09:23,滁州北,当天13:52,13:55,银川,20:04
K4045/K4048,快速,新乡,07:54,滁州北,当天18:29,18:32,上海,00:18
K4046/K4047,快速,上海,02:50,滁州北,当天07:37,07:40,新乡,19:00
K4167/K4170,快速,郑州,14:12,滁州北,当天22:13,22:17,上海,02:57
K4168/K4169,快速,上海,03:55,滁州北,当天08:17,08:20,郑州,18:29
K4189/K4192,快速,西安,01:57,滁州北,当天20:48,20:53,上海,02:00
K4190/K4191,快速,上海,02:58,滁州北,当天08:24,08:27,西安,01:30
K4537/K4540,快速,灵宝,16:08,滁州北,第2日10:33,10:36,上海,15:19
K4538/K4539,快速,上海,23:58,滁州北,第2日04:32,04:35,郑州,11:55
K516/K517,快速,上海,09:16,滁州北,当天13:46,13:49,吉林,17:50
K5551,快速,阜阳,07:05,滁州北,当天11:59,12:04,上海,16:36
K5561,快速,阜阳,11:08,滁州北,当天15:51,15:54,上海,21:04
K5565,快速,阜阳,09:40,滁州北,当天15:26,15:44,上海,20:52
K5571/K5574,快速,阜阳,12:42,滁州北,当天19:34,19:38,上海,23:57
K5575,快速,阜阳,11:18,滁州北,当天15:51,16:19,苏州,19:40
K5576/K5577,快速,上海,21:14,滁州北,第2日04:05,04:09,阜阳,11:00
K5601/K5604,快速,阜阳,13:26,滁州北,当天19:48,19:53,宁波,05:58
K5602/K5603,快速,宁波,18:53,滁州北,第2日04:52,04:57,阜阳,12:36
K5616/K5617,快速,上海,23:28,滁州北,第2日04:43,04:47,阜阳,10:45
K5701,快速,徐州,08:22,滁州北,当天11:58,12:01,南京,13:10
K5702,快速,南京,13:55,滁州北,当天14:33,14:37,徐州,18:30
K5705,快速,徐州,08:23,滁州北,当天11:44,11:48,南京,12:32
K5706,快速,南京,13:20,滁州北,当天13:59,14:03,徐州,18:07
K5711,快速,滁州北,22:25,滁州北,当天22:25,22:25,上海,05:16
K5712,快速,上海,15:16,滁州北,当天20:33,20:33,滁州北,20:33
K5716,快速,上海,06:08,滁州北,当天10:57,11:01,蚌埠,12:47
K5718,快速,上海,07:29,滁州北,当天12:40,12:44,蚌埠,14:08
K5806,快速,南京,06:45,滁州北,当天07:23,07:27,徐州,11:00
K5807,快速,徐州,03:10,滁州北,当天07:09,07:13,南京,07:57
K5811,快速,连云港东,16:25,滁州北,当天23:20,23:23,杭州,08:39
K5814,快速,连云港东,16:25,滁州北,当天23:20,23:23,杭州,08:39
K5815,快速,淮北,13:30,滁州北,当天17:43,18:00,上海,23:20
K5818,快速,南京,12:40,滁州北,当天13:18,13:22,徐州,16:58
K5819,快速,徐州,15:00,滁州北,当天18:23,18:26,南京,19:10
K5820,快速,南京,09:33,滁州北,当天10:11,10:16,徐州,13:29
K5822/K5823,快速,南京,06:54,滁州北,当天07:32,07:37,徐州,11:20
K5824,快速,上海,15:16,滁州北,当天20:33,20:33,滁州北,20:33
K5834,快速,南京,11:10,滁州北,当天11:48,11:52,徐州,15:35
K735/K738,快速,上海,14:06,滁州北,当天18:57,19:01,洛阳,07:11
K736/K737,快速,洛阳,19:34,滁州北,第2日06:16,06:51,上海,12:35
K8351/K8354,快速,连云港东,16:25,滁州北,当天23:52,00:02,杭州,08:39
K8355/K8358,快速,连云港东,19:30,滁州北,第2日02:22,02:34,上海,08:22
K8365,快速,阜阳,13:05,滁州北,当天18:09,18:13,上海,22:49
K8371,快速,徐州,18:42,滁州北,第2日00:05,00:08,江山,14:33
K8372,快速,江山,15:33,滁州北,第2日03:23,03:27,淮北,07:33
K8385/K8388,快速,亳州,09:59,滁州北,当天17:24,17:28,上海,22:22
K8386/K8387,快速,上海,23:13,滁州北,第2日03:30,03:33,阜阳,09:10
K8401/K8404,快速,亳州,10:43,滁州北,当天17:37,17:40,温州,10:30
K8432,快速,上海,23:20,滁州北,第2日03:36,03:55,徐州,09:02
K8482/K8483,快速,上海,21:43,滁州北,第2日02:34,02:37,阜阳,08:17
K850,快速,上海,12:34,滁州北,当天17:29,17:32,保定,11:05
K905/K908,快速,太原,09:54,滁州北,第2日00:46,01:08,杭州,08:24
K906/K907,快速,杭州,12:50,滁州北,当天20:21,20:24,太原,12:02
K91/K94,快速,泰州,13:15,滁州北,当天15:25,15:28,深圳东,14:15
K92/K93,快速,深圳东,18:06,滁州北,第2日18:03,18:07,泰州,20:19
Z366/Z367,直达特快,南京,16:39,滁州北,当天17:17,17:20,哈尔滨,15:45
Z4515/Z4518,直达特快,哈尔滨,12:59,滁州北,第2日11:55,12:00,南京,12:59
Z4516/Z4517,直达特快,南京,16:39,滁州北,当天17:17,17:20,哈尔滨,15:42
