车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2803,动车组,贵阳北,08:08,从江,当天09:37,09:39,广州南,13:37
D2804,动车组,广州南,07:06,从江,当天10:56,10:58,贵阳北,12:44
D2807,动车组,贵阳北,08:37,从江,当天10:20,10:22,广州南,14:08
D2809,动车组,贵阳北,09:03,从江,当天10:46,10:48,广州南,14:33
D2810,动车组,广州南,09:25,从江,当天13:16,13:18,贵阳北,15:04
D2816,动车组,广州南,10:48,从江,当天14:34,14:36,贵阳北,16:30
D2817,动车组,贵阳北,10:44,从江,当天12:34,12:36,广州南,16:23
D2818,动车组,广州南,11:00,从江,当天14:45,14:47,贵阳北,16:41
D2819,动车组,贵阳北,11:24,从江,当天12:53,12:55,广州南,16:51
D2820,动车组,广州南,11:49,从江,当天15:31,15:33,贵阳北,17:29
D2821,动车组,贵阳北,12:07,从江,当天13:36,13:38,广州南,17:30
D2822,动车组,广州南,12:33,从江,当天16:22,16:24,贵阳北,18:03
D2825,动车组,贵阳北,14:15,从江,当天15:57,16:00,广州南,19:52
D2826,动车组,广州南,14:18,从江,当天18:02,18:04,贵阳北,19:44
D2827,动车组,贵阳北,14:54,从江,当天16:37,16:39,珠海,21:18
D2828,动车组,广州南,14:28,从江,当天18:21,18:23,贵阳北,20:10
D2829,动车组,贵阳北,15:36,从江,当天17:12,17:14,广州南,20:54
D2830,动车组,广州南,15:03,从江,当天18:42,18:46,贵阳北,20:40
D2832,动车组,广州南,15:10,从江,当天18:52,19:03,贵阳北,20:50
D2833,动车组,贵阳北,16:36,从江,当天18:25,18:29,广州南,22:20
D2834,动车组,广州南,15:17,从江,当天19:26,19:28,贵阳北,21:08
D2836,动车组,广州南,16:01,从江,当天19:55,19:57,贵阳北,21:51
D2837,动车组,贵阳北,17:20,从江,当天19:10,19:12,广州南,22:50
D2843,动车组,贵阳北,18:03,从江,当天19:53,19:55,广州南,23:29
D2844,动车组,广州南,18:12,从江,当天21:49,21:51,贵阳北,23:24
D2845,动车组,贵阳北,13:28,从江,当天15:11,15:19,广州南,19:08
D2853,动车组,贵阳北,11:26,从江,当天12:52,12:54,广州南,16:45
D2856,动车组,广州南,15:21,从江,当天19:13,19:15,贵阳北,20:58
D2857,动车组,贵阳北,15:08,从江,当天16:48,16:50,广州南,20:50
D2859,动车组,贵阳北,16:41,从江,当天18:21,18:23,广州南,22:22
D2861,动车组,贵阳北,08:11,从江,当天09:37,09:39,广州南,13:30
D2862,动车组,广州南,12:35,从江,当天16:37,16:39,贵阳北,18:08
D2863,动车组,贵阳北,09:39,从江,当天11:11,11:13,广州南,15:15
D2864,动车组,广州南,15:48,从江,当天19:40,19:42,贵阳北,21:12
D3523,动车组,贵阳北,13:47,从江,当天15:34,15:36,南宁东,19:27
D3526,动车组,南宁东,10:15,从江,当天13:55,13:57,贵阳北,15:47
D3551,动车组,贵阳北,06:45,从江,当天08:18,08:20,桂林北,09:07
D3561,动车组,贵阳北,07:16,从江,当天08:45,08:47,北海,14:40
D3565,动车组,贵阳北,13:54,从江,当天15:30,15:32,南宁东,19:23
D3568,动车组,北海,14:30,从江,当天20:42,20:44,贵阳北,22:24
D3570,动车组,北海,15:10,从江,当天21:15,21:17,贵阳北,22:49
D3591,动车组,贵阳北,06:25,从江,当天08:01,08:03,桂林北,08:56
D4131,动车组,贵阳北,13:09,从江,当天14:51,14:53,桂林北,15:48
D4136,动车组,桂林北,14:05,从江,当天15:02,15:04,贵阳北,16:49
D5403,动车组,贵阳北,08:30,从江,当天10:14,10:14,从江,10:14
D5405,动车组,贵阳北,11:33,从江,当天13:44,13:44,从江,13:44
D5406,动车组,从江,14:11,从江,当天14:11,14:11,贵阳北,15:59
D5411,动车组,贵阳北,18:33,从江,当天20:07,20:07,从江,20:07
D5412,动车组,从江,20:22,从江,当天20:22,20:22,贵阳北,21:58
D5413,动车组,贵阳北,08:59,从江,当天10:42,10:42,从江,10:42
D5414,动车组,从江,11:16,从江,当天11:16,11:16,贵阳北,13:02
D5415,动车组,贵阳北,14:48,从江,当天16:30,16:30,从江,16:30
D5416,动车组,从江,17:02,从江,当天17:02,17:02,贵阳北,18:40
D5417,动车组,贵阳北,17:35,从江,当天19:24,19:24,从江,19:24
D5418,动车组,从江,19:51,从江,当天19:51,19:51,贵阳北,21:44
