车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2461/2464,普快,临汾,18:40,岱岳,第2日03:18,03:21,包头,12:00
2462/2463,普快,包头,16:14,岱岳,当天23:34,23:37,临汾,08:40
2671,普快,大同,16:40,岱岳,当天17:52,17:55,西安,08:51
2672,普快,西安,22:53,岱岳,第2日14:06,14:09,大同,15:27
4641,普快,大同,15:45,岱岳,当天17:01,17:04,朔州,17:46
4642,普快,朔州,19:12,岱岳,当天19:49,19:52,大同,21:13
6823,普慢,大同,13:06,岱岳,当天14:48,14:51,宁武,16:32
6824,普慢,宁武,14:46,岱岳,当天16:21,16:24,大同,18:15
6826,普慢,宁武,10:47,岱岳,当天12:22,12:25,大同,14:16
8823,普快,大同,13:03,岱岳,当天14:46,14:49,宁武,16:32
8824,普快,宁武,09:12,岱岳,当天10:47,10:50,大同,12:41
K730/K731,快速,大同,14:20,岱岳,当天15:29,15:33,广州东,05:26
K7807,快速,大同,06:20,岱岳,当天07:28,07:31,运城,19:17
K7808,快速,运城,07:50,岱岳,当天18:49,18:53,大同,20:12
