车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2704,动车组,乌鲁木齐,08:56,大通西,当天19:07,19:09,兰州西,20:52
D2707,动车组,兰州西,09:30,大通西,当天11:07,11:09,乌鲁木齐,21:16
D2710,动车组,乌鲁木齐,10:36,大通西,当天20:29,20:31,兰州西,22:13
D2719,动车组,西宁,11:20,大通西,当天11:39,11:41,乌鲁木齐,21:58
D2720,动车组,乌鲁木齐,11:20,大通西,当天21:18,21:20,西宁,21:39
D4719,动车组,西宁,08:40,大通西,当天08:59,09:01,乌鲁木齐南,19:20
D4814,动车组,嘉峪关南,11:25,大通西,当天14:39,14:41,兰州西,18:11
D8901,动车组,西宁,08:00,大通西,当天08:19,08:21,门源,08:45
D8902,动车组,门源,09:18,大通西,当天09:41,09:43,西宁,10:02
D8907,动车组,西宁,15:08,大通西,当天15:27,15:29,门源,15:53
D8909,动车组,西宁,17:20,大通西,当天17:39,17:41,门源,18:05
