车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2061,普快,大连,13:44,大杨树,第2日12:33,12:36,加格达奇,13:56
2667,普快,沈阳,15:08,大杨树,第2日07:30,07:32,加格达奇,09:22
4075,普快,哈尔滨东,09:58,大杨树,当天22:15,22:20,加格达奇,23:51
4076,普快,加格达奇,08:36,大杨树,当天10:29,10:36,哈尔滨东,23:05
K497,快速,北京,13:36,大杨树,第2日14:00,14:03,加格达奇,15:19
K5117,快速,齐齐哈尔,13:51,大杨树,当天18:38,18:40,加格达奇,20:05
K5118,快速,加格达奇,06:56,大杨树,当天07:59,08:02,齐齐哈尔,13:02
K5140,快速,漠河,14:08,大杨树,当天22:18,22:34,哈尔滨东,10:02
K5160,快速,加格达奇,13:28,大杨树,当天15:11,15:11,大杨树,15:11
K7049,快速,哈尔滨西,20:06,大杨树,第2日05:16,05:18,加格达奇,06:48
K7050,快速,加格达奇,19:05,大杨树,当天20:38,20:41,哈尔滨西,07:00
K7068/K7069,快速,牡丹江,13:26,大杨树,第2日03:59,04:10,加格达奇,05:50
K7101/K7104,快速,加格达奇,08:03,大杨树,当天09:36,09:42,哈尔滨,17:56
K7150,快速,加格达奇,08:12,大杨树,当天10:00,10:02,一面坡,22:59
L7060,临客,加格达奇,15:30,大杨树,当天16:58,16:58,大杨树,16:58
L7061,临客,大杨树,17:25,大杨树,当天17:25,17:25,阿里河,19:32
L7064,临客,阿里河,19:30,大杨树,当天22:19,22:19,大杨树,22:19
L7065,临客,大杨树,23:00,大杨树,当天23:00,23:00,加格达奇,00:33
