车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G8502,高速动车,重庆北,07:00,大足南,当天07:37,07:39,成都东,09:03
G8503,高速动车,成都东,09:33,大足南,当天10:41,10:44,重庆北,11:21
G8506,高速动车,重庆北,08:42,大足南,当天09:19,09:21,成都东,10:30
G8516,高速动车,重庆北,11:41,大足南,当天12:24,12:26,成都东,13:29
G8521,高速动车,成都东,14:24,大足南,当天15:26,15:29,重庆北,16:06
G8522,高速动车,重庆北,13:08,大足南,当天13:52,13:54,成都东,14:56
G8532,高速动车,重庆北,15:51,大足南,当天16:28,16:30,成都东,17:33
G8544,高速动车,重庆北,20:20,大足南,当天20:57,21:00,成都东,22:10
G8552,高速动车,重庆北,20:20,大足南,当天20:57,21:00,成都东,22:10
G8572,高速动车,重庆北,21:03,大足南,当天21:47,21:49,成都东,22:52
G8591,高速动车,成都东,19:03,大足南,当天20:04,20:06,重庆北,20:43
G8601,高速动车,荣昌北,07:46,大足南,当天07:53,07:55,重庆北,08:39
G8609,高速动车,内江北,19:53,大足南,当天20:44,20:46,重庆北,21:30
G8610,高速动车,重庆北,17:51,大足南,当天18:28,18:30,内江北,18:57
G8633,高速动车,成都东,08:52,大足南,当天10:26,10:29,永川东,10:39
G8634,高速动车,永川东,11:29,大足南,当天11:38,11:40,成都东,13:21
G8635,高速动车,成都东,13:58,大足南,当天15:43,16:03,永川东,16:13
G8636,高速动车,永川东,16:45,大足南,当天16:54,16:56,成都东,18:44
G8661/G8664,高速动车,重庆北,09:22,大足南,当天09:59,10:02,峨眉山,12:35
G8666/G8667,高速动车,峨眉山,18:02,大足南,当天20:05,20:07,重庆北,20:43
G8682,高速动车,重庆北,07:34,大足南,当天08:11,08:13,成都南,09:23
G8705/G8708,高速动车,成都东,10:57,大足南,当天11:58,12:00,万州北,14:32
G8721/G8724,高速动车,成都东,17:05,大足南,当天18:07,18:09,万州北,20:32
G8752,高速动车,重庆北,16:36,大足南,当天17:13,17:15,德阳,19:32
