车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2565,动车组,太原南,15:00,定西北,当天21:10,21:12,兰州西,21:42
D2651,动车组,西安北,08:00,定西北,当天10:35,10:37,兰州西,11:07
D2657,动车组,西安北,12:00,定西北,当天14:36,14:38,兰州西,15:08
D2658,动车组,兰州西,09:26,定西北,当天09:57,09:59,西安北,12:40
D2660,动车组,兰州西,11:33,定西北,当天12:04,12:06,西安北,14:39
D2667,动车组,西安北,20:00,定西北,当天22:35,22:37,兰州西,23:07
D2674,动车组,嘉峪关南,13:05,定西北,当天18:18,18:20,西安北,20:55
D2694,动车组,西宁,14:28,定西北,当天16:25,16:27,西安北,19:00
D2695,动车组,西安北,15:50,定西北,当天18:39,18:43,西宁,20:50
D2696,动车组,西宁,15:05,定西北,当天16:59,17:01,西安北,19:46
D2697,动车组,西安北,17:05,定西北,当天19:47,19:49,西宁,21:47
D2699,动车组,西安北,17:45,定西北,当天20:20,20:22,西宁,22:11
D8961,动车组,天水南,08:23,定西北,当天09:28,09:30,兰州西,10:00
D8963,动车组,天水南,12:10,定西北,当天13:08,13:10,兰州西,13:46
D8964,动车组,兰州西,10:20,定西北,当天10:57,10:59,天水南,11:55
D8965,动车组,天水南,16:10,定西北,当天17:08,17:10,兰州西,17:46
D8966,动车组,兰州西,14:10,定西北,当天14:47,14:49,天水南,15:45
D8967,动车组,天水南,20:35,定西北,当天21:33,21:35,兰州西,22:11
D8968,动车组,兰州西,18:20,定西北,当天18:57,18:59,天水南,20:02
D8970,动车组,兰州西,07:32,定西北,当天08:03,08:05,天水南,09:01
D8972,动车组,兰州西,11:10,定西北,当天11:41,11:43,天水南,12:44
D8973,动车组,天水南,10:15,定西北,当天11:13,11:15,兰州西,11:45
D8974,动车组,兰州西,08:11,定西北,当天08:42,08:45,天水南,09:35
D8975,动车组,天水南,18:11,定西北,当天19:10,19:12,兰州西,19:42
D8976,动车组,兰州西,16:16,定西北,当天16:47,16:49,天水南,17:45
D8978,动车组,兰州西,20:02,定西北,当天20:33,20:35,天水南,21:38
G1927/G1930,高速动车,兰州西,10:37,定西北,当天11:08,11:10,上海虹桥,21:09
G2021,高速动车,郑州东,08:38,定西北,当天13:48,13:50,兰州西,14:20
