车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3010,普快,利川,22:20,恩施,当天23:06,23:21,北京西,00:36
3675/3678,普快,重庆,05:02,恩施,当天16:27,16:54,东莞东,15:08
3735/3738,普快,成都,05:19,恩施,当天17:01,17:09,深圳西,19:00
3736/3737,普快,深圳西,22:45,恩施,第2日22:04,22:16,巴中,07:22
4811,普快,宜昌东,09:56,恩施,当天15:05,15:05,恩施,15:05
4812,普快,恩施,15:16,恩施,当天15:16,15:16,宜昌东,18:30
D2201,动车组,郑州,08:04,恩施,当天14:52,14:56,成都东,19:40
D2202,动车组,成都东,07:05,恩施,当天11:52,11:56,郑州,19:56
D2205/D2208,动车组,成都,08:15,恩施,当天13:00,13:05,上海虹桥,23:15
D2206/D2207,动车组,上海虹桥,06:38,恩施,当天16:37,16:43,成都,22:01
D2212/D2213,动车组,上海虹桥,07:30,恩施,当天17:36,17:42,重庆北,20:07
D2215/D2218,动车组,重庆北,08:39,恩施,当天11:06,11:10,上海虹桥,21:20
D2216/D2217,动车组,上海虹桥,08:39,恩施,当天18:33,18:43,重庆北,21:16
D2221/D2224,动车组,成都东,07:36,恩施,当天12:29,12:33,杭州东,22:14
D2222/D2223,动车组,杭州东,07:34,恩施,当天17:14,17:21,成都东,22:10
D2225/D2228,动车组,重庆北,08:59,恩施,当天11:26,11:30,福州,22:33
D2241/D2244,动车组,成都东,06:44,恩施,当天11:42,11:46,福州,23:08
D2245/D2248,动车组,重庆北,08:50,恩施,当天11:17,11:21,杭州东,20:45
D2246/D2247,动车组,杭州东,09:35,恩施,当天19:10,19:14,重庆北,21:59
D2251,动车组,汉口,07:51,恩施,当天12:00,12:05,重庆北,14:44
D2252,动车组,重庆北,15:26,恩施,当天17:59,18:03,汉口,21:56
D2253/D2256,动车组,成都东,08:30,恩施,当天13:29,13:33,南京南,21:13
D2254/D2255,动车组,宜兴,07:20,恩施,当天15:51,15:56,成都东,20:54
D2259,动车组,汉口,10:43,恩施,当天14:40,14:45,成都东,19:32
D2260,动车组,成都东,10:20,恩施,当天14:55,14:59,汉口,19:04
D2261/D2264,动车组,成都东,09:05,恩施,当天13:40,13:44,杭州东,22:56
D2262/D2263,动车组,杭州东,08:41,恩施,当天18:14,18:22,成都东,23:30
D2265,动车组,汉口,14:10,恩施,当天18:25,18:32,重庆北,21:00
D2266,动车组,重庆北,07:09,恩施,当天09:30,09:34,汉口,13:30
D2267/D2270,动车组,重庆北,07:33,恩施,当天09:54,09:58,南通,20:36
D2268/D2269,动车组,南通,08:48,恩施,当天18:40,18:50,重庆北,21:25
D2271,动车组,南京南,11:39,恩施,当天19:38,19:46,重庆北,22:19
D2272,动车组,重庆北,08:29,恩施,当天10:56,11:00,南京南,19:06
D2275/D2278,动车组,重庆北,13:23,恩施,当天15:50,15:56,武汉,20:33
D2276/D2277,动车组,武汉,08:11,恩施,当天12:33,12:38,重庆北,15:21
D2373,动车组,南京南,06:58,恩施,当天14:09,14:13,成都东,19:17
D2374,动车组,成都东,09:29,恩施,当天14:15,14:19,南京南,22:11
D2375/D2378,动车组,重庆北,06:00,恩施,当天08:15,08:19,厦门,21:00
D351/D354,动车组,成都东,08:12,恩施,当天12:51,12:55,上海虹桥,22:56
D352/D353,动车组,上海虹桥,06:04,恩施,当天15:24,15:28,成都东,20:27
D362/D363,动车组,武汉,12:08,恩施,当天16:15,16:20,成都东,21:34
