车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4651/4654,普快,二连,13:45,二连,当天13:45,13:45,呼和浩特,21:39
4652/4653,普快,呼和浩特,21:59,二连,第2日05:26,05:26,二连,05:26
6855/6858,普慢,二连,09:36,二连,当天09:36,09:36,呼和浩特,18:54
6856/6857,普慢,呼和浩特,09:55,二连,当天18:28,18:28,二连,18:28
K23,快速,北京,11:22,二连,当天21:48,21:48,二连,21:48
K3,快速,北京,11:22,二连,当天21:48,21:48,二连,21:48
K7927,快速,锡林浩特,09:47,二连,当天14:15,14:15,二连,14:15
K7928,快速,二连,15:00,二连,当天15:00,15:00,锡林浩特,19:21
T4201/T4204,空调特快,二连,13:10,二连,当天13:10,13:10,包头,22:06
T4202/T4203,空调特快,包头,22:10,二连,第2日06:41,06:41,二连,06:41
Y632/Y633,旅游列车,呼和浩特,18:40,二连,第2日08:20,08:20,二连,08:20
Y634,旅游列车,二连,20:00,二连,当天20:00,20:00,呼和浩特,07:33
