车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D5602,动车组,安庆,09:32,繁昌西,当天10:30,10:32,南京南,11:32
D5603,动车组,南京南,11:53,繁昌西,当天12:58,13:00,安庆,13:59
D5606,动车组,安庆,14:18,繁昌西,当天15:16,15:18,南京南,16:30
D5607,动车组,南京南,16:50,繁昌西,当天17:55,17:57,安庆,18:56
D5623,动车组,南京南,06:27,繁昌西,当天07:26,07:28,安庆,08:27
D9526,动车组,池州,09:08,繁昌西,当天09:45,09:47,南京南,10:53
D9530,动车组,池州,18:30,繁昌西,当天19:07,19:09,南京南,20:09
D9542/D9543,动车组,上海虹桥,15:27,繁昌西,当天18:46,18:48,池州,19:26
G7072,高速动车,上海,05:48,繁昌西,当天09:10,09:12,安庆,10:11
G7083/G7086,高速动车,安庆,15:21,繁昌西,当天16:19,16:21,上海,19:44
G7091/G7094,高速动车,安庆,18:48,繁昌西,当天19:46,19:48,上海,22:48
G7131,高速动车,安庆,10:32,繁昌西,当天11:30,11:32,上海虹桥,14:30
G7139,高速动车,安庆,13:16,繁昌西,当天14:14,14:16,上海虹桥,17:18
G7179,高速动车,安庆,07:32,繁昌西,当天08:30,08:32,温州南,15:26
G7180,高速动车,温州南,12:43,繁昌西,当天19:47,19:49,安庆,20:48
G7591/G7594,高速动车,安庆,07:32,繁昌西,当天08:30,08:32,温州南,15:29
G7592/G7593,高速动车,温州南,12:43,繁昌西,当天19:47,19:49,安庆,20:48
G9235/G9238,高速动车,池州,18:30,繁昌西,当天19:07,19:09,上海虹桥,22:27
G9249/G9252,高速动车,安庆,06:25,繁昌西,当天07:23,07:25,上海虹桥,10:29
