车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3211,动车组,宁波,07:31,奉化,当天07:48,07:50,厦门北,13:03
D4652/D4653,动车组,武夷山东,09:12,奉化,当天14:16,14:18,宁波,14:36
D5590,动车组,温州南,16:18,奉化,当天17:55,17:57,南京,22:44
D9566/D9567,动车组,杭州东,17:50,奉化,当天19:07,19:09,台州,19:49
G7503,高速动车,上海虹桥,08:04,奉化,当天10:17,10:19,台州,11:06
G7541,高速动车,上海虹桥,06:03,奉化,当天08:13,08:15,台州,09:09
G7648/G7649,高速动车,合肥,07:50,奉化,当天12:03,12:05,苍南,14:36
G7670/G7671,高速动车,苍南,07:38,奉化,当天09:47,09:49,淮南东,14:36
G7682/G7683,高速动车,温州南,15:22,奉化,当天16:53,16:55,合肥南,20:47
G9517,高速动车,上海虹桥,17:00,奉化,当天19:54,19:57,台州,20:37
