车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3109,动车组,温州南,07:18,福鼎,当天08:04,08:06,福州,09:38
D3110,动车组,福州,20:24,福鼎,当天21:59,22:01,温州南,22:37
D3212,动车组,厦门北,17:14,福鼎,当天20:07,20:09,宁波,22:31
D3214,动车组,厦门北,10:14,福鼎,当天13:04,13:06,南京南,18:55
D380,动车组,厦门北,15:35,福鼎,当天18:27,18:29,杭州东,22:12
D4082,动车组,深圳北,10:45,福鼎,当天18:27,18:29,上海虹桥,23:44
D4165,动车组,金华南,16:56,福鼎,当天18:51,18:53,福州,20:34
D4166,动车组,福州,12:52,福鼎,当天14:27,14:29,金华南,16:36
D4651/D4654,动车组,宁波,15:05,福鼎,当天17:39,17:41,武夷山东,20:35
D4652/D4653,动车组,武夷山东,09:12,福鼎,当天12:01,12:03,宁波,14:36
D6313,动车组,福鼎,17:46,福鼎,当天17:46,17:46,福州,19:40
D6314,动车组,福州,14:46,福鼎,当天16:39,16:39,福鼎,16:39
D6331,动车组,福鼎,12:44,福鼎,当天12:44,12:44,厦门,16:01
D6332,动车组,厦门,08:54,福鼎,当天12:24,12:24,福鼎,12:24
D6333,动车组,福鼎,15:50,福鼎,当天15:50,15:50,厦门,19:05
D6334,动车组,厦门,12:04,福鼎,当天15:30,15:30,福鼎,15:30
D6335,动车组,福鼎,10:29,福鼎,当天10:29,10:29,福州,12:23
D6336,动车组,福州,08:34,福鼎,当天10:09,10:09,福鼎,10:09
D6337,动车组,福鼎,20:31,福鼎,当天20:31,20:31,福州,22:12
D6338,动车组,福州,17:56,福鼎,当天19:44,19:44,福鼎,19:44
D6339,动车组,福鼎,16:47,福鼎,当天16:47,16:47,福州,18:25
D6340,动车组,福州,14:45,福鼎,当天16:32,16:32,福鼎,16:32
D6381/D6384,动车组,福鼎,11:54,福鼎,当天11:54,11:54,龙岩,16:25
D6382/D6383,动车组,龙岩,07:12,福鼎,当天11:36,11:36,福鼎,11:36
D6393,动车组,福鼎,18:34,福鼎,当天18:34,18:34,福州南,20:13
D6394,动车组,厦门,14:06,福鼎,当天17:56,17:56,福鼎,17:56
D8927,动车组,福鼎,07:37,福鼎,当天07:37,07:37,福州南,08:54
D8928,动车组,福州南,20:15,福鼎,当天21:50,21:50,福鼎,21:50
D9633,动车组,福鼎,15:20,福鼎,当天15:20,15:20,厦门北,18:35
D9855/D9858,动车组,福鼎,15:11,福鼎,当天15:11,15:11,龙岩,20:07
D9859,动车组,福鼎,21:04,福鼎,当天21:04,21:04,福州,22:39
D9860,动车组,福州,19:12,福鼎,当天20:37,20:37,福鼎,20:37
D9871,动车组,福鼎,17:20,福鼎,当天17:20,17:20,福州,18:53
D9872,动车组,福州,19:20,福鼎,当天20:53,20:53,福鼎,20:53
D9873,动车组,福鼎,21:15,福鼎,当天21:15,21:15,福州,22:50
D9941,动车组,福鼎,15:00,福鼎,当天15:00,15:00,福州,16:26
D9975,动车组,福鼎,14:20,福鼎,当天14:20,14:20,福州南,15:51
D9988,动车组,福州,19:59,福鼎,当天21:35,21:35,福鼎,21:35
D9989,动车组,福鼎,11:02,福鼎,当天11:02,11:02,福州,13:02
D9990,动车组,福州,09:19,福鼎,当天10:48,10:48,福鼎,10:48
