车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4133,普快,佳木斯,16:10,福利屯,当天17:35,17:40,前进镇,20:42
4135,普快,佳木斯,08:38,福利屯,当天09:57,10:00,前进镇,13:53
4136,普快,前进镇,16:32,福利屯,当天20:24,20:26,佳木斯,21:40
4137,普快,哈尔滨,20:02,福利屯,第2日05:02,05:05,双鸭山,05:19
4138,普快,双鸭山,08:50,福利屯,当天09:04,09:10,佳木斯,10:42
4161,普快,佳木斯,05:12,福利屯,当天06:25,06:31,双鸭山,06:45
4162,普快,双鸭山,16:20,福利屯,当天16:34,16:38,佳木斯,18:18
6257,普慢,佳木斯,17:00,福利屯,当天18:35,18:42,双鸭山,18:57
6258,普慢,双鸭山,05:40,福利屯,当天05:54,05:57,佳木斯,07:26
6290,普慢,双鸭山,18:06,福利屯,当天18:20,18:24,佳木斯,20:04
K5166,快速,抚远,09:25,福利屯,当天15:09,15:12,佳木斯,17:27
K7021,快速,哈尔滨东,19:19,福利屯,第2日04:29,04:50,双鸭山,05:04
K7022,快速,双鸭山,21:50,福利屯,当天22:04,22:24,哈尔滨东,06:08
K7087,快速,佳木斯,06:13,福利屯,当天07:32,07:35,双鸭山,07:49
K7088,快速,双鸭山,08:24,福利屯,当天08:38,08:41,佳木斯,09:53
K7113,快速,佳木斯,05:20,福利屯,当天06:39,06:47,同江,09:26
K7114,快速,同江,05:21,福利屯,当天08:07,08:10,佳木斯,09:38
K7115,快速,佳木斯,10:04,福利屯,当天11:23,11:34,同江,13:55
K7116,快速,同江,09:55,福利屯,当天12:40,12:43,佳木斯,13:44
K7178,快速,双鸭山,10:30,福利屯,当天10:44,10:46,佳木斯,11:51
K7187,快速,佳木斯,11:45,福利屯,当天13:09,13:12,双鸭山,13:26
K7188,快速,双鸭山,14:20,福利屯,当天14:34,14:37,佳木斯,15:48
K7205,快速,哈尔滨东,22:05,福利屯,第2日05:07,05:17,宝清,08:01
K7206,快速,宝清,18:48,福利屯,当天21:04,21:13,哈尔滨东,05:37
L7002/L7003/L7006,临客,抚远,13:40,福利屯,当天20:37,20:41,富裕,16:35
L7011,临客,绥化,21:50,福利屯,第2日07:11,07:14,抚远,14:10
L7012,临客,抚远,18:50,福利屯,第2日03:12,03:20,绥化,11:25
