车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7103/D7104,动车组,三亚,09:25,福山镇,当天11:38,11:39,三亚,14:19
D7110,动车组,三亚,18:12,福山镇,当天20:31,20:32,三亚,22:42
D7141/D7142,动车组,三亚,13:58,福山镇,当天16:28,16:29,三亚,19:28
D7151/D7152,动车组,三亚,07:20,福山镇,当天09:36,09:37,三亚,12:00
D7154,动车组,三亚,10:25,福山镇,当天12:41,12:42,三亚,15:04
D7165/D7166,动车组,海口东,17:40,福山镇,当天21:22,21:23,海口东,21:56
D7183/D7184,动车组,三亚,08:14,福山镇,当天11:07,11:08,三亚,13:41
D7210,动车组,三亚,18:20,福山镇,当天20:42,20:43,海口,21:02
D7213,动车组,海口,15:10,福山镇,当天15:32,15:33,三亚,17:52
D7214,动车组,三亚,11:30,福山镇,当天13:46,13:47,海口,14:06
D7226,动车组,三亚,08:56,福山镇,当天11:39,11:40,海口,11:59
D7227,动车组,海口,12:19,福山镇,当天12:37,12:38,三亚,15:22
D7228,动车组,三亚,15:42,福山镇,当天18:30,18:31,海口,18:50
D7229,动车组,海口,19:10,福山镇,当天19:28,19:29,三亚,22:13
