车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2301,动车组,福州南,09:19,福州南,当天09:19,09:19,深圳北,14:32
D2307,动车组,福州南,14:56,福州南,当天14:56,14:56,深圳北,20:06
D2308,动车组,深圳北,08:37,福州南,当天14:02,14:02,福州南,14:02
D2309,动车组,福州南,15:48,福州南,当天15:48,15:48,深圳北,21:02
D2323,动车组,福州南,09:36,福州南,当天09:36,09:36,深圳北,14:55
D2331,动车组,福州,12:25,福州南,当天12:41,12:43,深圳北,18:08
D3170,动车组,福州南,06:42,福州南,当天06:42,06:42,杭州东,11:42
D3210,动车组,厦门北,10:40,福州南,当天12:04,12:08,上海虹桥,18:38
D3211,动车组,宁波,07:31,福州南,当天11:30,11:38,厦门北,13:03
D3212,动车组,厦门北,17:14,福州南,当天18:38,18:43,宁波,22:31
D3214,动车组,厦门北,10:14,福州南,当天11:38,11:42,南京南,18:55
D3220,动车组,厦门北,17:44,福州南,当天19:22,19:29,宁波,23:00
D3334,动车组,深圳北,13:01,福州南,当天18:17,18:17,福州南,18:17
D3335,动车组,福州南,08:28,福州南,当天08:28,08:28,深圳北,13:42
D3337,动车组,福州南,09:56,福州南,当天09:56,09:56,深圳北,15:13
D3338,动车组,深圳北,15:50,福州南,当天21:06,21:06,福州南,21:06
D377,动车组,杭州东,08:24,福州南,当天13:46,13:50,厦门北,15:18
D380,动车组,厦门北,15:35,福州南,当天16:59,17:03,杭州东,22:12
D4082,动车组,深圳北,10:45,福州南,当天16:59,17:03,上海虹桥,23:44
D4095,动车组,福州南,12:28,福州南,当天12:28,12:28,深圳北,18:22
D4096,动车组,深圳北,18:47,福州南,当天23:42,23:42,福州南,23:42
D4097,动车组,福州南,18:16,福州南,当天18:16,18:16,深圳北,23:38
D6201,动车组,福州,06:21,福州南,当天06:37,06:39,厦门,08:32
D6202,动车组,厦门,06:51,福州南,当天08:46,08:48,福州,09:04
D6204,动车组,厦门,08:02,福州南,当天10:08,10:11,福州,10:29
D6205,动车组,福州南,06:45,福州南,当天06:45,06:45,厦门北,08:51
D6206,动车组,厦门,09:01,福州南,当天11:04,11:06,福州,11:23
D6207,动车组,福州,07:25,福州南,当天07:41,07:43,厦门,09:32
D6209,动车组,福州,08:06,福州南,当天08:22,08:24,厦门北,09:51
D6210,动车组,厦门,11:39,福州南,当天13:41,13:43,福州,14:00
D6211,动车组,福州南,08:31,福州南,当天08:31,08:31,厦门北,10:02
D6212,动车组,厦门,12:55,福州南,当天14:53,14:55,福州,15:12
D6213,动车组,福州,09:03,福州南,当天09:19,09:24,厦门北,10:55
D6215,动车组,福州,09:30,福州南,当天09:46,09:48,厦门北,11:20
D6216,动车组,厦门,15:02,福州南,当天16:54,16:58,福州,17:15
D6218,动车组,漳州,14:58,福州南,当天16:48,16:53,福州,17:09
D6219,动车组,福州,10:07,福州南,当天10:23,10:25,厦门,12:23
D6221,动车组,福州,11:01,福州南,当天11:17,11:19,漳州,13:14
D6222,动车组,厦门北,17:23,福州南,当天18:47,18:49,福州,19:06
D6225,动车组,福州,12:40,福州南,当天12:56,13:05,厦门,15:03
D6226,动车组,厦门,17:15,福州南,当天19:12,19:14,福州,19:31
D6228,动车组,厦门,19:20,福州南,当天21:17,21:19,福州,21:36
D6229,动车组,福州,15:47,福州南,当天16:03,16:08,厦门,17:53
D6230,动车组,厦门北,20:19,福州南,当天21:43,21:47,福州,22:04
D6231,动车组,福州,14:52,福州南,当天15:08,15:10,厦门,16:54
D6232,动车组,厦门北,20:30,福州南,当天22:01,22:01,福州南,22:01
D6235,动车组,福州,17:31,福州南,当天17:47,17:51,厦门,19:37
D6236,动车组,厦门北,21:08,福州南,当天22:39,22:39,福州南,22:39
D6237,动车组,福州,18:35,福州南,当天18:51,19:01,厦门,21:11
D6238,动车组,厦门,15:31,福州南,当天17:28,17:30,福州,17:47
D6241,动车组,武夷山东,14:47,福州南,当天16:27,16:29,厦门北,18:01
D6242,动车组,厦门,11:23,福州南,当天13:23,13:31,武夷山东,15:07
D6255,动车组,福州,15:35,福州南,当天15:51,15:53,诏安,19:36
D6260,动车组,莆田,16:58,福州南,当天17:35,17:35,福州南,17:35
D6261,动车组,福州南,14:55,福州南,当天14:55,14:55,厦门,16:46
D6262,动车组,厦门,17:10,福州南,当天19:11,19:11,福州南,19:11
D6265,动车组,福州南,11:25,福州南,当天11:25,11:25,漳州,14:18
D6266,动车组,漳州,17:20,福州南,当天19:30,19:30,福州南,19:30
D6309,动车组,福州南,10:49,福州南,当天10:49,10:49,厦门,13:04
D6331,动车组,福鼎,12:44,福州南,当天14:03,14:08,厦门,16:01
D6332,动车组,厦门,08:54,福州南,当天10:52,11:01,福鼎,12:24
