车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2704,动车组,乌鲁木齐,08:56,高台南,当天16:47,16:49,兰州西,20:52
D2705,动车组,兰州西,08:54,高台南,当天12:41,12:43,乌鲁木齐,20:45
D2708,动车组,乌鲁木齐,10:15,高台南,当天18:11,18:13,兰州西,21:56
D2720,动车组,乌鲁木齐,11:20,高台南,当天18:52,18:56,西宁,21:39
D2746,动车组,玉门,08:06,高台南,当天09:56,09:58,兰州西,13:39
D2750,动车组,嘉峪关南,16:45,高台南,当天17:42,17:44,兰州西,21:38
D2755,动车组,兰州西,18:10,高台南,当天21:44,21:46,嘉峪关南,22:43
D2757,动车组,兰州,17:30,高台南,当天21:22,21:24,玉门,23:13
D2758,动车组,嘉峪关南,19:10,高台南,当天20:07,20:09,兰州西,23:42
D4181,动车组,民和南,09:48,高台南,当天14:07,14:10,乌鲁木齐,22:02
D4813,动车组,兰州西,11:53,高台南,当天17:39,17:41,嘉峪关南,18:38
D4814,动车组,嘉峪关南,11:25,高台南,当天12:24,12:26,兰州西,18:11
D4815,动车组,兰州西,13:33,高台南,当天19:19,19:21,嘉峪关南,20:18
D4816,动车组,嘉峪关南,13:15,高台南,当天14:14,14:16,兰州西,20:19
