车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D5150/D5151,动车组,营山,21:26,广安南,当天23:01,23:01,广安南,23:01
D5171,动车组,广安南,15:59,广安南,当天15:59,15:59,成都东,18:14
D5172,动车组,成都东,12:30,广安南,当天14:54,14:54,广安南,14:54
D5173,动车组,广安南,20:14,广安南,当天20:14,20:14,成都东,22:23
D5174,动车组,成都东,17:49,广安南,当天19:56,19:56,广安南,19:56
D5175,动车组,广安南,10:56,广安南,当天10:56,10:56,成都东,13:11
D5176,动车组,成都东,07:30,广安南,当天10:00,10:00,广安南,10:00
D5177,动车组,广安南,16:15,广安南,当天16:15,16:15,成都东,18:21
D5178,动车组,成都东,13:47,广安南,当天15:55,15:55,广安南,15:55
D5179,动车组,广安南,07:21,广安南,当天07:21,07:21,成都东,09:46
D5180,动车组,成都东,21:03,广安南,当天23:22,23:22,广安南,23:22
D6121,动车组,广安南,23:55,广安南,当天23:55,23:55,成都东,02:04
D6122,动车组,成都东,20:47,广安南,当天23:38,23:38,广安南,23:38
K9361/K9364,快速,南充,12:10,广安南,当天13:22,13:29,重庆北,15:38
K9362/K9363,快速,重庆北,07:06,广安南,当天08:30,08:34,南充,09:54
K9365/K9368,快速,南充,16:58,广安南,当天18:12,18:25,重庆北,19:48
K9366/K9367,快速,重庆北,12:53,广安南,当天14:08,14:20,南充,15:50
K9372,快速,重庆北,05:00,广安南,当天06:17,06:17,广安南,06:17
K9422,快速,南充,20:43,广安南,当天21:50,21:55,重庆北,23:30
