车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7535/7538,普慢,嘉峪关,08:15,瓜州,当天12:34,12:35,敦煌,14:11
7536/7537,普慢,敦煌,15:22,瓜州,当天16:53,16:54,嘉峪关,21:39
K4041,快速,北京,09:00,瓜州,第2日19:57,20:00,敦煌,21:20
K4611/K4614,快速,张掖,10:30,瓜州,当天17:21,17:24,敦煌,19:36
K4613,快速,敦煌,23:05,瓜州,第2日00:21,00:24,张掖,08:15
K9667/K9670,快速,兰州,17:00,瓜州,第2日05:50,05:53,敦煌,07:13
K9668/K9669,快速,敦煌,18:46,瓜州,当天20:02,20:04,兰州,09:15
K9699,快速,敦煌,14:50,瓜州,当天16:06,16:18,嘉峪关,19:21
T4602/T4603,空调特快,敦煌,19:40,瓜州,当天20:56,20:58,嘉峪关,23:50
Y671/Y674,旅游列车,天水,14:42,瓜州,第2日07:16,07:20,敦煌,08:56
Y672/Y673,旅游列车,敦煌,18:25,瓜州,当天19:41,19:46,天水,13:32
Y675/Y678,旅游列车,银川,14:00,瓜州,第2日06:25,06:44,敦煌,08:21
Y676/Y677,旅游列车,敦煌,22:53,瓜州,第2日00:09,00:13,银川,16:40
