车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2367,动车组,桂林北,13:45,桂林北,当天13:45,13:45,珠海,17:50
D2368,动车组,珠海,09:10,桂林北,当天12:55,12:55,桂林北,12:55
D2369,动车组,桂林北,11:40,桂林北,当天11:40,11:40,广州南,14:28
D2370,动车组,广州南,08:34,桂林北,当天11:18,11:18,桂林北,11:18
D2943/D2946,动车组,柳州,14:10,桂林北,当天15:29,15:40,广州南,18:31
D2944/D2945,动车组,广州南,08:25,桂林北,当天11:44,11:58,柳州,13:44
D2947/D2950,动车组,柳州,16:07,桂林北,当天17:33,17:37,广州南,20:30
D2948/D2949,动车组,广州南,11:31,桂林北,当天14:28,14:35,柳州,15:47
D2951/D2954,动车组,柳州,08:30,桂林北,当天09:57,10:03,广州南,12:50
D2952/D2953,动车组,广州南,13:10,桂林北,当天15:41,15:45,柳州,17:05
D2955/D2958,动车组,柳州,12:37,桂林北,当天14:09,14:13,广州南,17:04
D2956/D2957,动车组,广州南,17:25,桂林北,当天20:08,20:12,柳州,21:38
D2959,动车组,桂林北,07:35,桂林北,当天07:35,07:35,广州南,10:29
D2960,动车组,广州南,14:10,桂林北,当天17:00,17:00,桂林北,17:00
D2961,动车组,桂林北,08:03,桂林北,当天08:03,08:03,广州南,10:51
D2962,动车组,广州南,09:30,桂林北,当天12:15,12:15,桂林北,12:15
D2963,动车组,桂林北,08:30,桂林北,当天08:30,08:30,广州南,11:06
D2964,动车组,广州南,10:24,桂林北,当天13:02,13:02,桂林北,13:02
D2965,动车组,桂林北,12:37,桂林北,当天12:37,12:37,广州南,15:22
D2966,动车组,广州南,11:12,桂林北,当天13:59,14:25,东安东,15:34
D2967,动车组,桂林北,13:32,桂林北,当天13:32,13:32,广州南,16:12
D2968,动车组,广州南,12:22,桂林北,当天15:06,15:06,桂林北,15:06
D2969,动车组,桂林北,17:20,桂林北,当天17:20,17:20,广州南,20:10
D2970,动车组,广州南,20:50,桂林北,当天23:27,23:27,桂林北,23:27
D2971,动车组,桂林北,15:31,桂林北,当天15:31,15:31,广州南,18:14
D2973,动车组,桂林北,16:34,桂林北,当天16:34,16:34,广州南,19:39
D2974,动车组,广州南,15:45,桂林北,当天18:46,18:46,桂林北,18:46
D2976,动车组,广州南,16:35,桂林北,当天19:15,19:15,桂林北,19:15
D2977,动车组,桂林北,19:06,桂林北,当天19:06,19:06,广州南,21:59
D2978,动车组,广州南,17:27,桂林北,当天20:12,20:12,桂林北,20:12
D2979,动车组,桂林北,19:55,桂林北,当天19:55,19:55,广州南,22:40
D2980,动车组,广州南,19:52,桂林北,当天22:30,22:30,桂林北,22:30
D2982,动车组,广州南,20:16,桂林北,当天22:54,22:54,桂林北,22:54
D2984,动车组,广州南,19:58,桂林北,当天22:35,22:35,桂林北,22:35
D2985,动车组,桂林北,07:55,桂林北,当天07:55,07:55,广州南,10:41
D2986/D2987,动车组,东安东,14:30,桂林北,当天16:21,16:28,广州南,19:21
D2991/D2994,动车组,柳州,11:58,桂林北,当天13:16,13:22,广州南,16:00
D2992/D2993,动车组,广州南,07:18,桂林北,当天10:18,10:26,柳州,11:37
D2995/D2998,动车组,广州,19:25,桂林北,当天22:11,22:11,桂林北,22:11
D2997,动车组,桂林北,08:17,桂林北,当天08:17,08:17,广州,11:05
D3522,动车组,南宁东,07:50,桂林北,当天10:37,10:41,贵阳北,13:20
D3523,动车组,贵阳北,13:47,桂林北,当天16:31,16:39,南宁东,19:27
D3525,动车组,贵阳北,16:31,桂林北,当天19:09,19:12,南宁东,21:55
D3526,动车组,南宁东,10:15,桂林北,当天13:01,13:05,贵阳北,15:47
D3529,动车组,贵阳北,15:55,桂林北,当天18:38,18:42,梧州南,22:44
D3530,动车组,梧州南,09:00,桂林北,当天12:48,12:52,贵阳北,15:27
D3551,动车组,贵阳北,06:45,桂林北,当天09:07,09:07,桂林北,09:07
D3552,动车组,桂林北,09:27,桂林北,当天09:27,09:27,贵阳北,11:49
D3553,动车组,贵阳北,18:50,桂林北,当天21:05,21:05,桂林北,21:05
D3554,动车组,桂林北,21:25,桂林北,当天21:25,21:25,贵阳北,23:40
D3561,动车组,贵阳北,07:16,桂林北,当天09:48,09:53,北海,14:40
D3562,动车组,南宁东,07:50,桂林北,当天10:27,10:33,贵阳北,13:25
D3563,动车组,贵阳北,08:16,桂林北,当天10:54,11:00,北海,15:16
D3565,动车组,贵阳北,13:54,桂林北,当天16:25,16:30,南宁东,19:23
D3566,动车组,南宁东,10:15,桂林北,当天13:02,13:06,贵阳北,15:53
D3567,动车组,贵阳北,16:00,桂林北,当天18:30,18:34,梧州南,22:50
D3568,动车组,北海,14:30,桂林北,当天19:36,19:42,贵阳北,22:24
D3569,动车组,贵阳北,16:14,桂林北,当天18:52,19:00,南宁东,21:59
D3570,动车组,北海,15:10,桂林北,当天20:11,20:15,贵阳北,22:49
D3591,动车组,贵阳北,06:25,桂林北,当天08:56,08:56,桂林北,08:56
D3592,动车组,桂林北,09:22,桂林北,当天09:22,09:22,贵阳北,11:51
D3593,动车组,贵阳北,18:25,桂林北,当天20:57,20:57,桂林北,20:57
D3594,动车组,桂林北,21:17,桂林北,当天21:17,21:17,贵阳北,23:38
D3671/D3674,动车组,柳州,18:32,桂林北,当天19:50,19:57,广州南,22:53
D3672/D3673,动车组,广州南,13:07,桂林北,当天16:05,16:14,柳州,17:50
D3675/D3678,动车组,柳州,11:53,桂林北,当天13:13,13:17,广州南,16:01
D3751,动车组,桂林北,06:45,桂林北,当天06:45,06:45,广州南,12:41
D3943,动车组,衡阳东,07:05,桂林北,当天09:43,09:47,昆明南,18:00
D4125,动车组,桂林北,07:15,桂林北,当天07:15,07:15,昆明南,15:18
D4126,动车组,昆明南,15:45,桂林北,当天23:32,23:32,桂林北,23:32
D4131,动车组,贵阳北,13:09,桂林北,当天15:48,15:48,桂林北,15:48
D4136,动车组,桂林北,14:05,桂林北,当天14:05,14:05,贵阳北,16:49
D4301,动车组,桂林北,14:48,桂林北,当天14:48,14:48,广州南,18:02
D4302,动车组,广州南,11:18,桂林北,当天14:17,14:17,桂林北,14:17
D4755,动车组,桂林北,19:06,桂林北,当天19:06,19:06,广州南,21:51
D4757,动车组,桂林北,19:50,桂林北,当天19:50,19:50,广州南,22:36
D8203,动车组,桂林北,08:10,桂林北,当天08:10,08:10,南宁东,11:13
D8205,动车组,兴安北,08:10,桂林北,当天08:35,08:42,南宁,11:54
D8210,动车组,南宁东,17:35,桂林北,当天20:46,20:46,桂林北,20:46
D8212,动车组,南宁东,18:40,桂林北,当天21:45,21:45,桂林北,21:45
D8214,动车组,南宁东,19:15,桂林北,当天22:08,22:08,桂林北,22:08
D8217,动车组,桂林北,16:15,桂林北,当天16:15,16:15,南宁东,18:56
D8218,动车组,南宁东,19:45,桂林北,当天22:32,22:32,桂林北,22:32
D8223,动车组,桂林北,18:40,桂林北,当天18:40,18:40,南宁东,21:28
D8224,动车组,南宁东,20:05,桂林北,当天22:56,22:56,桂林北,22:56
D8225,动车组,桂林北,20:37,桂林北,当天20:37,20:37,南宁东,23:22
D8231/D8234,动车组,南宁东,09:30,桂林北,当天12:13,12:17,贺州,13:36
D8232/D8233,动车组,贺州,08:10,桂林北,当天09:28,09:37,南宁东,12:31
D8235/D8238,动车组,南宁东,12:58,桂林北,当天16:00,16:06,贺州,17:24
D8236/D8237,动车组,贺州,13:56,桂林北,当天15:13,15:17,南宁东,18:00
D8240,动车组,贺州,17:45,桂林北,当天19:05,19:11,南宁东,22:08
D8241/D8244,动车组,贺州,17:45,桂林北,当天19:05,19:11,南宁东,22:08
D8242/D8243,动车组,南宁东,18:21,桂林北,当天21:05,21:09,贺州,22:28
D8246,动车组,北海,08:00,桂林北,当天12:34,12:38,贺州,13:51
D8263,动车组,贺州,08:10,桂林北,当天09:29,09:36,南宁东,12:20
D8266,动车组,贺州,13:56,桂林北,当天15:13,15:17,南宁东,18:00
D8268,动车组,南宁东,09:30,桂林北,当天12:14,12:18,贺州,13:36
D8269/D8272,动车组,南宁东,12:58,桂林北,当天16:00,16:05,贺州,17:23
D8270,动车组,北海,17:26,桂林北,当天22:11,22:11,桂林北,22:11
D8271,动车组,贺州,17:45,桂林北,当天19:04,19:12,南宁东,22:08
D8277/D8280,动车组,南宁东,18:20,桂林北,当天21:02,21:06,贺州,22:10
D8293,动车组,桂林北,08:00,桂林北,当天08:00,08:00,防城港北,12:23
D8294,动车组,防城港北,12:50,桂林北,当天17:27,17:27,桂林北,17:27
D8296,动车组,防城港北,18:05,桂林北,当天22:41,22:41,桂林北,22:41
D8372,动车组,梧州南,13:19,桂林北,当天17:11,17:11,桂林北,17:11
D8391,动车组,桂林北,07:30,桂林北,当天07:30,07:30,玉林,11:10
D8394,动车组,玉林,18:50,桂林北,当天22:24,22:24,桂林北,22:24
D8401,动车组,桂林北,06:26,桂林北,当天06:26,06:26,柳州,07:50
D8403,动车组,桂林北,07:37,桂林北,当天07:37,07:37,北海,12:08
D8405,动车组,桂林北,08:35,桂林北,当天08:35,08:35,北海,13:20
D8407,动车组,桂林北,09:20,桂林北,当天09:20,09:20,北海,13:58
D8410,动车组,北海,16:10,桂林北,当天21:12,21:20,兴安北,21:45
D8412,动车组,北海,16:54,桂林北,当天21:52,21:52,桂林北,21:52
D8420,动车组,桂林北,07:25,桂林北,当天07:25,07:25,兴安北,07:50
D8421,动车组,兴安北,22:06,桂林北,当天22:31,22:31,桂林北,22:31
D8451,动车组,桂林北,08:00,桂林北,当天08:00,08:00,防城港北,12:22
D8452,动车组,防城港北,13:02,桂林北,当天18:06,18:06,桂林北,18:06
