车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K4629,快速,北京西,18:22,虢镇,第2日13:54,13:56,兰州,20:37
K629,快速,北京西,18:22,虢镇,第2日13:54,13:56,兰州,20:37
K8153,快速,潼关,16:07,虢镇,当天20:17,20:20,宝鸡,20:45
K8155,快速,西安,09:30,虢镇,当天12:03,12:06,宝鸡,12:28
K8156,快速,宝鸡,19:45,虢镇,当天20:02,20:10,西安,22:10
K8158,快速,宝鸡,14:05,虢镇,当天14:22,14:25,西安,16:23
K8159,快速,西安,16:52,虢镇,当天19:11,19:16,宝鸡,19:38
K8173,快速,西安,11:38,虢镇,当天13:32,13:35,宝鸡,13:57
K8174,快速,宝鸡,14:47,虢镇,当天15:04,15:07,西安,17:10
K8210,快速,宝鸡,16:33,虢镇,当天16:50,16:53,西安,19:37
K8211,快速,潼关,09:22,虢镇,当天14:26,14:29,宝鸡,14:51
K8237,快速,潼关,16:17,虢镇,当天20:24,20:27,宝鸡,21:42
T7016,空调特快,宝鸡,08:03,虢镇,当天08:19,08:22,西安,09:58
T7022,空调特快,宝鸡,11:24,虢镇,当天11:40,11:42,西安,13:33
T7026,空调特快,宝鸡,08:03,虢镇,当天08:19,08:22,延安,13:55
