车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3555/3558,普快,信阳,13:00,固始,当天16:19,16:27,上海,04:49
3556/3557,普快,上海,05:49,固始,当天17:09,17:14,信阳,20:09
8323,普快,固始,13:53,固始,当天13:53,13:53,信阳,17:04
8324,普快,信阳,08:00,固始,当天11:11,11:11,固始,11:11
K1039/K1042,快速,兰州,22:02,固始,第2日20:05,20:08,宁波,08:09
K1105/K1108,快速,南阳,21:30,固始,第2日03:04,03:19,上海,13:05
K1106/K1107,快速,上海,15:04,固始,第2日00:10,00:13,南阳,05:25
K1122/K1123,快速,绍兴,09:16,固始,当天19:20,19:25,宝鸡,10:19
K1155/K1158,快速,成都,11:07,固始,第2日06:26,06:38,上海,16:24
K1156/K1157,快速,上海,11:16,固始,当天21:11,21:14,成都,15:45
K1322/K1323,快速,榆林,09:20,固始,第2日05:25,05:29,苏州,15:47
K1324,快速,苏州,17:15,固始,第2日05:51,05:56,榆林,05:15
K305/K308,快速,温州,18:50,固始,第2日11:00,11:04,兰州,08:08
K306/K307,快速,兰州,20:33,固始,第2日19:37,19:40,温州,13:40
K382/K383,快速,宜昌东,13:55,固始,当天23:53,23:57,南通,07:36
K425/K428,快速,洛阳,16:38,固始,第2日02:48,02:56,宁波,15:18
K426/K427,快速,宁波,18:03,固始,第2日05:35,05:39,洛阳,17:24
K465/K468,快速,西安,14:46,固始,第2日02:28,02:40,宁波,14:41
K466/K467,快速,宁波,13:31,固始,第2日00:54,00:59,西安,13:16
K655/K658,快速,呼和浩特东,16:34,固始,第2日19:53,19:57,杭州,06:06
K656/K657,快速,杭州,21:35,固始,第2日06:08,06:10,呼和浩特东,12:12
K705/K708,快速,安庆,17:05,固始,当天23:01,23:05,西安,12:26
T236/T237,空调特快,南通,18:02,固始,第2日01:39,01:49,重庆北,20:50
T389,空调特快,合肥,17:00,固始,当天19:01,19:04,西宁,18:56
T390,空调特快,西宁,08:20,固始,第2日07:57,08:00,合肥,10:00
