车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1631,高速动车,上海虹桥,07:54,古田北,当天11:48,11:51,福州,12:18
G1632,高速动车,福州,08:00,古田北,当天08:25,08:27,上海虹桥,12:35
G1633,高速动车,上海虹桥,12:25,古田北,当天16:41,16:43,福州,17:17
G1634,高速动车,福州,09:01,古田北,当天09:33,09:35,上海虹桥,13:37
G1636,高速动车,福州,12:26,古田北,当天12:51,12:53,上海虹桥,16:55
G1639,高速动车,上海虹桥,17:22,古田北,当天21:39,21:41,福州,22:08
G1640,高速动车,福州,17:56,古田北,当天18:21,18:23,上海虹桥,22:43
G1657,高速动车,上海虹桥,10:18,古田北,当天14:19,14:21,厦门北,16:46
G1659,高速动车,上海虹桥,12:57,古田北,当天17:03,17:12,厦门北,19:44
G1673,高速动车,徐州东,06:58,古田北,当天12:43,12:46,厦门北,14:59
G1677,高速动车,南京南,16:29,古田北,当天20:54,20:56,福州,21:31
G1678,高速动车,厦门北,15:40,古田北,当天17:57,17:59,南京南,22:37
G1685/G1688,高速动车,厦门北,09:21,古田北,当天11:47,11:49,贵阳北,20:29
G1905/G1908,高速动车,郑州东,06:30,古田北,当天14:31,14:33,福州,15:00
G321,高速动车,北京南,08:40,古田北,当天17:44,17:46,厦门北,20:07
G325,高速动车,北京南,12:05,古田北,当天20:20,20:22,厦门北,23:09
G326,高速动车,厦门北,10:59,古田北,当天13:17,13:19,北京南,22:19
G348,高速动车,福州,14:52,古田北,当天15:17,15:21,济南西,22:32
G353,高速动车,黄山北,10:41,古田北,当天13:11,13:13,福州,13:40
G354,高速动车,福州,07:17,古田北,当天07:49,07:51,黄山北,10:01
G355,高速动车,北京南,08:40,古田北,当天17:40,17:42,厦门北,20:07
G356,高速动车,厦门北,10:59,古田北,当天13:17,13:19,北京南,22:19
G4031/G4034,高速动车,南昌西,06:50,古田北,当天09:17,09:19,深圳北,15:34
G4531/G4534,高速动车,南昌西,06:50,古田北,当天09:17,09:19,深圳北,15:34
G5105,高速动车,上饶,07:25,古田北,当天08:53,08:55,福州,09:22
G5106,高速动车,福州,19:45,古田北,当天20:17,20:19,上饶,21:48
G5205/G5208,高速动车,南昌西,13:29,古田北,当天16:07,16:09,厦门,18:58
G5206/G5207,高速动车,厦门,10:57,古田北,当天14:01,14:03,南昌西,16:58
G5251,高速动车,武夷山东,11:41,古田北,当天12:23,12:32,福州,13:07
G5252,高速动车,福州,07:44,古田北,当天08:09,08:11,武夷山北,09:17
G5253,高速动车,武夷山北,18:00,古田北,当天19:15,19:17,福州,19:44
G5254,高速动车,福州,17:02,古田北,当天17:34,17:36,武夷山东,18:26
G5301,高速动车,武夷山北,09:55,古田北,当天10:52,10:55,厦门北,13:15
G5305/G5308,高速动车,南昌西,07:52,古田北,当天10:51,10:53,厦门北,13:15
G5906/G5907,高速动车,厦门,10:12,古田北,当天13:41,13:43,南昌西,16:40
G8903,高速动车,南平北,06:40,古田北,当天06:53,06:55,福州,07:30
G8904,高速动车,福州,19:20,古田北,当天19:52,19:54,南平北,20:08
G8997,高速动车,上饶,19:20,古田北,当天21:07,21:09,莆田,22:43
G912,高速动车,福州,08:00,古田北,当天08:25,08:27,上海虹桥,12:35
G914,高速动车,福州,09:01,古田北,当天09:33,09:35,上海虹桥,13:37
G917,高速动车,上海虹桥,15:17,古田北,当天19:42,19:44,福州,20:18
G929,高速动车,上海虹桥,12:58,古田北,当天17:03,17:12,厦门北,19:44
G931,高速动车,南京南,16:29,古田北,当天20:54,20:56,福州,21:31
G932,高速动车,福州,10:35,古田北,当天11:07,11:09,南京南,15:53
G9531,高速动车,武夷山东,13:08,古田北,当天13:51,14:05,福州,14:40
G9532,高速动车,福州,08:33,古田北,当天08:58,09:00,武夷山东,09:50
G9534,高速动车,福州,07:15,古田北,当天07:47,07:49,婺源,09:31
G9537,高速动车,婺源,18:51,古田北,当天20:40,20:42,福州,21:10
G9540,高速动车,福州,13:46,古田北,当天14:11,14:13,南平北,14:28
G9821/G9824,高速动车,上饶,13:20,古田北,当天14:41,14:45,福州,15:12
G9822/G9823,高速动车,武夷山东,17:25,古田北,当天18:14,18:16,厦门,20:55
G9833/G9836,高速动车,福州,06:30,古田北,当天07:02,07:04,上饶,08:21
G9834/G9835,高速动车,上饶,08:51,古田北,当天10:05,10:07,福州南,11:41
G9838,高速动车,福州,11:33,古田北,当天11:58,12:00,南平北,12:14
G9839,高速动车,婺源,06:49,古田北,当天08:43,08:45,福州,09:28
G9852,高速动车,福州,14:55,古田北,当天15:20,15:22,上饶,16:36
G9853,高速动车,上饶,17:01,古田北,当天18:15,18:17,福州,18:44
G9856/G9857,高速动车,福州,14:00,古田北,当天14:25,14:27,南昌西,17:00
G9871,高速动车,武夷山东,16:57,古田北,当天17:49,17:51,福州,18:18
G9898,高速动车,福州,13:21,古田北,当天13:46,13:48,武夷山东,14:38
