车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1881,普快,北京北,13:47,哈尔滨北,第2日13:49,13:55,伊春,21:22
1882/1883,普快,伊春,06:10,哈尔滨北,当天12:09,12:26,北京北,12:28
4002,普快,齐齐哈尔,11:08,哈尔滨北,当天14:34,14:37,哈尔滨,15:59
4075,普快,哈尔滨东,09:58,哈尔滨北,当天10:25,10:27,加格达奇,23:51
6213,普慢,滨江,16:29,哈尔滨北,当天17:06,17:30,大庆西,20:17
6214,普慢,大庆西,05:25,哈尔滨北,当天09:07,09:09,滨江,09:51
D112,动车组,齐齐哈尔,07:06,哈尔滨北,当天08:50,08:51,珲春,13:59
D4615,动车组,沈阳,10:33,哈尔滨北,当天13:58,14:00,齐齐哈尔南,15:29
D4617,动车组,北京,03:01,哈尔滨北,当天11:18,11:20,齐齐哈尔南,13:00
D6901,动车组,哈尔滨西,05:37,哈尔滨北,当天06:01,06:02,齐齐哈尔,07:38
D6903,动车组,哈尔滨,06:40,哈尔滨北,当天06:51,06:53,齐齐哈尔,08:48
D6905,动车组,哈尔滨,07:33,哈尔滨北,当天07:44,07:45,齐齐哈尔,09:12
D6908,动车组,齐齐哈尔,09:30,哈尔滨北,当天11:04,11:05,哈尔滨,11:16
D6909,动车组,哈尔滨西,09:16,哈尔滨北,当天09:35,09:37,齐齐哈尔,11:04
D6912,动车组,齐齐哈尔,11:29,哈尔滨北,当天12:56,12:57,哈尔滨,13:08
D6913,动车组,哈尔滨西,10:26,哈尔滨北,当天10:43,10:45,齐齐哈尔,12:15
D6918,动车组,齐齐哈尔,13:45,哈尔滨北,当天15:07,15:08,哈尔滨,15:19
D6919,动车组,哈尔滨西,11:50,哈尔滨北,当天12:14,12:15,齐齐哈尔,13:43
D6922,动车组,齐齐哈尔,16:05,哈尔滨北,当天17:32,17:33,哈尔滨,17:44
D6923,动车组,哈尔滨,13:34,哈尔滨北,当天13:45,13:46,齐齐哈尔,15:12
D6924,动车组,齐齐哈尔,17:14,哈尔滨北,当天18:44,18:45,哈尔滨,18:56
D6925,动车组,哈尔滨,14:04,哈尔滨北,当天14:15,14:16,齐齐哈尔,15:48
D6927,动车组,哈尔滨,15:35,哈尔滨北,当天15:46,15:47,齐齐哈尔,17:10
D6928,动车组,齐齐哈尔,18:50,哈尔滨北,当天20:20,20:22,哈尔滨西,20:45
D6929,动车组,哈尔滨,16:32,哈尔滨北,当天16:43,16:44,齐齐哈尔,18:11
D6935,动车组,哈尔滨,20:40,哈尔滨北,当天20:51,20:53,齐齐哈尔,22:39
D7902,动车组,齐齐哈尔南,05:32,哈尔滨北,当天07:00,07:01,哈尔滨,07:12
D7903,动车组,哈尔滨,08:09,哈尔滨北,当天08:20,08:21,齐齐哈尔南,09:43
D7904,动车组,齐齐哈尔南,06:08,哈尔滨北,当天07:41,07:42,哈尔滨,07:53
D7911,动车组,哈尔滨西,16:54,哈尔滨北,当天17:17,17:18,齐齐哈尔南,18:40
D7914,动车组,齐齐哈尔南,15:36,哈尔滨北,当天17:04,17:05,哈尔滨,17:16
D7917,动车组,哈尔滨,14:04,哈尔滨北,当天14:15,14:16,齐齐哈尔南,15:43
D7921,动车组,哈尔滨西,16:54,哈尔滨北,当天17:17,17:18,齐齐哈尔南,18:40
D7927,动车组,哈尔滨,16:30,哈尔滨北,当天16:43,16:44,齐齐哈尔南,18:07
D7929,动车组,哈尔滨西,16:54,哈尔滨北,当天17:17,17:18,齐齐哈尔南,18:35
D7937,动车组,哈尔滨,20:30,哈尔滨北,当天20:41,20:42,齐齐哈尔南,22:05
D7939,动车组,哈尔滨,20:30,哈尔滨北,当天20:41,20:43,齐齐哈尔南,22:06
D7944,动车组,齐齐哈尔南,09:41,哈尔滨北,当天11:04,11:06,哈尔滨,11:17
D7945,动车组,哈尔滨,10:10,哈尔滨北,当天10:21,10:23,齐齐哈尔南,11:46
D7948,动车组,齐齐哈尔南,11:33,哈尔滨北,当天13:02,13:04,哈尔滨,13:15
D7949,动车组,哈尔滨西,11:40,哈尔滨北,当天12:03,12:05,齐齐哈尔南,13:34
D7950,动车组,齐齐哈尔南,12:57,哈尔滨北,当天14:26,14:28,哈尔滨,14:39
D7953,动车组,哈尔滨,13:35,哈尔滨北,当天13:46,13:48,齐齐哈尔南,15:17
D7954,动车组,齐齐哈尔南,14:57,哈尔滨北,当天16:26,16:28,哈尔滨,16:39
D7955,动车组,哈尔滨,15:19,哈尔滨北,当天15:30,15:32,齐齐哈尔南,17:01
D7956,动车组,齐齐哈尔南,15:54,哈尔滨北,当天17:23,17:25,哈尔滨西,17:50
D7961,动车组,哈尔滨西,16:59,哈尔滨北,当天17:22,17:24,齐齐哈尔南,19:05
D7965,动车组,哈尔滨,19:35,哈尔滨北,当天19:46,19:48,齐齐哈尔南,21:12
D7987,动车组,哈尔滨西,14:09,哈尔滨北,当天14:26,14:28,大庆西,15:25
D7988,动车组,大庆西,16:52,哈尔滨北,当天17:54,17:55,哈尔滨西,18:12
D7995,动车组,哈尔滨北,19:42,哈尔滨北,当天19:42,19:42,齐齐哈尔南,21:05
D7996,动车组,齐齐哈尔,17:32,哈尔滨北,当天19:10,19:10,哈尔滨北,19:10
K4930,快速,齐齐哈尔,06:30,哈尔滨北,当天10:31,10:53,北京,08:50
K5139,快速,哈尔滨东,17:45,哈尔滨北,当天18:23,18:40,漠河,08:40
K5140,快速,漠河,14:08,哈尔滨北,第2日08:48,09:27,哈尔滨东,10:02
K7184,快速,齐齐哈尔,05:04,哈尔滨北,当天08:07,08:10,哈尔滨,08:51
T242/T243,空调特快,合肥,17:26,哈尔滨北,第2日16:31,16:35,齐齐哈尔,19:35
