车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D51,动车组,北京,17:13,海城西,当天22:18,22:20,沈阳北,23:17
D52,动车组,沈阳北,09:26,海城西,当天10:37,10:38,北京,15:25
D8073,动车组,大连,11:26,海城西,当天13:44,13:46,抚顺北,15:43
D8074,动车组,抚顺北,06:59,海城西,当天08:37,08:46,大连,11:07
G374,高速动车,哈尔滨西,16:51,海城西,当天19:53,19:55,天津西,23:28
G395,高速动车,北京南,09:05,海城西,当天13:33,13:35,丹东,15:45
G396,高速动车,丹东,16:09,海城西,当天18:19,18:21,北京南,22:30
G701,高速动车,大连北,06:03,海城西,当天07:04,07:06,哈尔滨西,10:13
G704,高速动车,哈尔滨西,06:50,海城西,当天10:07,10:09,大连北,11:16
G710,高速动车,哈尔滨西,09:06,海城西,当天12:37,12:39,大连北,13:47
G711,高速动车,大连北,11:05,海城西,当天12:06,12:08,哈尔滨西,15:23
G714,高速动车,哈尔滨西,11:28,海城西,当天14:39,14:41,大连北,15:49
G717,高速动车,大连北,12:39,海城西,当天14:01,14:03,哈尔滨西,17:12
G723,高速动车,大连北,16:10,海城西,当天17:11,17:13,哈尔滨西,20:25
G724,高速动车,哈尔滨西,16:08,海城西,当天19:32,19:34,大连北,20:35
G726,高速动车,哈尔滨西,17:05,海城西,当天20:07,20:09,大连北,21:25
G728,高速动车,哈尔滨西,17:47,海城西,当天20:56,20:58,大连北,22:20
G730,高速动车,哈尔滨西,18:28,海城西,当天21:37,21:39,大连北,22:40
G763,高速动车,盘锦,09:21,海城西,当天09:43,09:45,哈尔滨西,12:58
G764,高速动车,哈尔滨西,13:18,海城西,当天16:54,16:56,盘锦,17:18
G8003,高速动车,大连北,07:17,海城西,当天08:25,08:27,吉林,11:35
G8008,高速动车,吉林,08:49,海城西,当天11:49,11:51,大连北,13:06
G8017,高速动车,大连,14:42,海城西,当天16:04,16:06,吉林,19:18
G8018,高速动车,吉林,14:58,海城西,当天18:00,18:02,大连北,19:03
G8043,高速动车,大连北,06:55,海城西,当天08:10,08:12,沈阳北,09:00
G8045,高速动车,大连,08:31,海城西,当天09:52,09:54,沈阳北,10:49
G8052,高速动车,沈阳,12:28,海城西,当天13:20,13:22,大连,14:50
G8054,高速动车,沈阳北,13:03,海城西,当天14:06,14:08,大连,15:22
G8056,高速动车,沈阳北,14:24,海城西,当天15:11,15:13,大连,16:33
G8057,高速动车,大连,15:40,海城西,当天17:01,17:02,沈阳,17:46
G8061,高速动车,大连北,19:02,海城西,当天20:10,20:12,沈阳北,20:53
G8062,高速动车,沈阳,18:06,海城西,当天18:50,18:52,大连,20:12
G8070,高速动车,沈阳北,06:35,海城西,当天07:36,07:38,大连北,08:53
G8081,高速动车,盘锦,17:58,海城西,当天18:20,18:22,沈阳北,19:24
G8082,高速动车,沈阳,07:36,海城西,当天08:28,08:30,盘锦,08:52
G8126,高速动车,珲春,15:43,海城西,当天21:22,21:24,大连北,22:32
G9115,高速动车,大连,17:11,海城西,当天18:33,18:35,沈阳北,19:38
G9117,高速动车,大连,18:12,海城西,当天19:41,19:43,沈阳,20:34
G9118,高速动车,沈阳,15:15,海城西,当天15:52,15:54,大连,17:22
G9135,高速动车,盘锦,20:10,海城西,当天20:32,20:34,沈阳北,21:28
G9136,高速动车,沈阳北,18:15,海城西,当天19:17,19:19,盘锦,19:41
