车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K1309/K1312,快速,东莞东,18:10,海石湾,第3日10:15,10:19,西宁,12:23
K1310/K1311,快速,西宁,20:00,海石湾,当天21:32,21:37,东莞东,13:17
K1329,快速,兰州,19:55,海石湾,当天21:26,21:30,格尔木,07:00
K1330,快速,格尔木,07:30,海石湾,当天16:40,16:44,兰州,18:43
K1517/K1520,快速,沈阳北,12:33,海石湾,第3日06:40,06:44,西宁,08:17
K1518/K1519,快速,西宁,12:20,海石湾,当天14:12,14:16,沈阳北,06:31
K177,快速,郑州,15:30,海石湾,第2日08:13,08:17,西宁,09:43
K178,快速,西宁,11:20,海石湾,当天12:45,12:48,郑州,08:18
K375/K378,快速,西宁,21:05,海石湾,当天22:39,22:43,上海,05:24
K376/K377,快速,上海,08:57,海石湾,第2日15:21,15:25,西宁,16:51
K4099,快速,西安,20:20,海石湾,第2日05:59,06:03,西宁,07:20
K4100,快速,西宁,22:05,海石湾,当天23:23,23:34,西安,11:07
K748/K749,快速,南宁,17:20,海石湾,第3日14:06,14:10,西宁,15:36
K815,快速,银川,22:40,海石湾,第2日08:38,08:41,西宁,10:08
K816,快速,西宁,19:20,海石湾,当天20:54,21:00,银川,07:01
T175,空调特快,北京西,13:05,海石湾,第2日09:26,09:30,西宁,10:41
T176,空调特快,西宁,12:05,海石湾,当天13:23,13:27,北京西,09:35
T389,空调特快,合肥,17:00,海石湾,第2日17:27,17:31,西宁,18:56
T390,空调特快,西宁,08:20,海石湾,当天09:45,09:54,合肥,10:00
Y291,旅游列车,西安,20:20,海石湾,第2日05:59,06:03,西宁,07:20
Y292,旅游列车,西宁,22:05,海石湾,当天23:23,23:34,西安,11:07
Z151,直达特快,北京西,16:03,海石湾,第2日12:58,13:02,西宁,14:20
Z152,直达特快,西宁,14:30,海石湾,当天15:47,15:52,北京西,14:26
Z271/Z274,直达特快,西宁,23:00,海石湾,第2日00:10,00:25,青岛,04:51
Z4151,直达特快,北京西,22:20,海石湾,第2日17:28,17:32,西宁,18:40
