车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2205/D2208,动车组,成都,08:15,汉川,当天16:36,16:39,上海虹桥,23:15
D2212/D2213,动车组,上海虹桥,07:30,汉川,当天13:55,13:57,重庆北,20:07
D2241/D2244,动车组,成都东,06:44,汉川,当天15:23,15:29,福州,23:08
D2261/D2264,动车组,成都东,09:05,汉川,当天17:23,17:25,杭州东,22:56
D2265,动车组,汉口,14:10,汉川,当天14:33,14:35,重庆北,21:00
D2266,动车组,重庆北,07:09,汉川,当天13:02,13:04,汉口,13:30
D2267/D2270,动车组,重庆北,07:33,汉川,当天13:42,13:44,南通,20:36
D2271,动车组,南京南,11:39,汉川,当天15:51,15:53,重庆北,22:19
D3005/D3008,动车组,宜昌东,06:40,汉川,当天08:31,08:33,上海虹桥,15:15
D3077,动车组,南京南,07:38,汉川,当天11:32,11:34,宜昌东,13:03
D3081,动车组,南京南,15:12,汉川,当天18:58,19:00,宜昌东,20:41
D3082,动车组,宜昌东,08:30,汉川,当天10:15,10:17,南京南,14:32
D3255/D3258,动车组,宜昌东,08:56,汉川,当天10:41,10:43,南昌西,14:46
D4244,动车组,成都东,06:50,汉川,当天15:23,15:29,武汉,16:29
D5715/D5718,动车组,宜昌东,13:43,汉川,当天15:19,15:21,武昌,15:57
D5721/D5724,动车组,利川,15:40,汉川,当天20:07,20:24,武昌,21:00
D5722/D5723,动车组,武昌,16:25,汉川,当天16:58,17:00,宜昌东,18:39
D5804,动车组,宜昌东,17:50,汉川,当天19:25,19:45,汉口,20:09
D5827,动车组,汉口,19:50,汉川,当天20:13,20:16,天门南,20:33
D5837,动车组,汉口,19:30,汉川,当天19:53,19:55,宜昌东,21:42
D5851/D5854,动车组,宜昌东,06:16,汉川,当天08:07,08:09,武汉,09:03
D5861/D5864,动车组,宜昌东,12:24,汉川,当天14:12,14:14,武汉,15:22
D5862/D5863,动车组,武汉,15:42,汉川,当天16:37,16:39,宜昌东,18:25
D5866/D5867,动车组,武汉,18:25,汉川,当天19:13,19:15,宜昌东,20:55
D5883/D5886,动车组,天门南,09:34,汉川,当天09:49,09:51,汉口,10:16
D5884,动车组,天门南,09:37,汉川,当天09:52,09:54,武昌,11:04
D5887,动车组,汉口,09:25,汉川,当天09:48,09:50,荆州,10:50
D5888,动车组,荆州,11:32,汉川,当天12:38,12:46,汉口,13:12
D5891,动车组,汉口,16:18,汉川,当天16:42,16:50,荆州,18:35
D5904,动车组,荆州,08:00,汉川,当天09:11,09:13,武汉,10:01
D5936/D5937,动车组,武汉,07:44,汉川,当天08:38,08:40,宜昌东,10:20
D5946/D5947,动车组,大冶北,13:18,汉川,当天15:28,15:30,宜昌东,17:07
D5956,动车组,宜昌东,11:18,汉川,当天12:53,12:55,汉口,13:20
D5972/D5973,动车组,武汉,07:55,汉川,当天08:44,08:46,宜昌东,10:28
D5976/D5977,动车组,大冶北,15:30,汉川,当天17:15,17:17,宜昌东,18:53
D635/D638,动车组,成都东,07:12,汉川,当天15:49,15:52,上海虹桥,22:38
D636/D637,动车组,上海虹桥,06:12,汉川,当天12:36,12:38,成都东,22:03
D655/D658,动车组,重庆北,07:27,汉川,当天13:33,13:35,宁波,21:47
D656/D657,动车组,宁波,06:30,汉川,当天14:23,14:25,重庆北,20:40
G1031/G1034,高速动车,宜昌东,08:40,汉川,当天10:27,10:29,深圳北,16:43
G556,高速动车,宜昌东,08:20,汉川,当天10:05,10:07,北京西,16:46
