车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D903,动车组,北京西,20:15,邯郸东,当天22:23,22:25,深圳北,07:11
D928,动车组,深圳北,19:55,邯郸东,第2日04:59,05:01,北京西,07:18
G1261/G1264,高速动车,郑州东,08:07,邯郸东,当天09:17,09:24,哈尔滨西,19:19
G1275/G1278,高速动车,武汉,08:55,邯郸东,当天12:22,12:25,哈尔滨西,22:08
G1285/G1288,高速动车,沈阳北,14:41,邯郸东,当天21:33,21:38,郑州东,22:49
G1290/G1291,高速动车,武汉,08:03,邯郸东,当天11:29,11:31,长春,19:56
G1293/G1296,高速动车,大连北,10:10,邯郸东,当天17:44,17:47,西安北,21:15
G1559,高速动车,北京西,09:13,邯郸东,当天11:14,11:16,商丘,13:48
G1562,高速动车,开封北,15:16,邯郸东,当天17:17,17:19,北京西,19:33
G1563,高速动车,北京西,17:36,邯郸东,当天19:44,19:46,郑州东,21:01
G1565,高速动车,北京西,06:10,邯郸东,当天08:04,08:08,郑州东,09:30
G1571,高速动车,北京西,17:41,邯郸东,当天20:00,20:02,安阳东,20:21
G1701/G1704,高速动车,秦皇岛,07:42,邯郸东,当天11:57,11:59,西安北,15:18
G1709,高速动车,天津西,08:05,邯郸东,当天11:00,11:02,西安北,14:12
G1711,高速动车,天津西,16:05,邯郸东,当天18:55,18:57,西安北,22:16
G1951/G1954,高速动车,太原南,12:26,邯郸东,当天15:00,15:10,上海虹桥,21:35
G1952/G1953,高速动车,上海虹桥,08:16,邯郸东,当天14:36,14:38,太原南,17:28
G1955/G1958,高速动车,太原南,08:51,邯郸东,当天11:19,11:21,上海虹桥,17:38
G1956/G1957,高速动车,上海虹桥,11:59,邯郸东,当天18:49,18:51,太原南,21:35
G2625/G2628,高速动车,大连北,08:12,邯郸东,当天15:45,15:48,武汉,19:12
G2626/G2627,高速动车,武汉,07:33,邯郸东,当天10:58,11:08,大连北,18:42
G2811/G2814,高速动车,石家庄,08:38,邯郸东,当天09:23,09:25,上海虹桥,15:51
G2812/G2813,高速动车,上海虹桥,16:24,邯郸东,当天22:41,22:44,石家庄,23:30
G291/G294,高速动车,长沙南,08:47,邯郸东,当天14:02,14:04,天津,16:56
G307,高速动车,北京西,08:23,邯郸东,当天10:34,10:53,成都东,22:36
G363,高速动车,天津西,08:00,邯郸东,当天10:18,10:20,武汉,14:11
G365,高速动车,天津西,14:51,邯郸东,当天17:25,17:28,武汉,20:41
G401,高速动车,北京西,11:43,邯郸东,当天13:45,13:47,贵阳北,22:23
G4017,高速动车,北京西,17:08,邯郸东,当天19:26,19:29,西安北,22:48
G4019,高速动车,北京西,17:52,邯郸东,当天20:08,20:10,西安北,23:49
G4020,高速动车,西安北,08:57,邯郸东,当天13:03,13:07,北京西,15:16
G421,高速动车,北京西,09:05,邯郸东,当天11:14,11:16,南宁东,22:28
G423,高速动车,石家庄,08:00,邯郸东,当天08:45,08:47,南宁东,19:57
G4361/G4364,高速动车,秦皇岛,15:32,邯郸东,当天20:08,20:11,郑州东,21:12
G4362/G4363,高速动车,郑州东,09:25,邯郸东,当天10:41,10:44,秦皇岛,15:04
G4385/G4388,高速动车,大连北,13:42,邯郸东,当天21:30,21:32,郑州东,22:49
G4565,高速动车,北京西,11:48,邯郸东,当天13:50,13:52,郑州东,15:00
G4568,高速动车,郑州东,06:36,邯郸东,当天07:44,07:47,北京西,10:23
G4611,高速动车,北京西,08:45,邯郸东,当天11:06,11:09,宝鸡南,16:22
G4612,高速动车,宝鸡南,18:12,邯郸东,当天22:52,23:02,北京西,00:55
G491/G494,高速动车,北京西,12:33,邯郸东,当天14:52,14:54,南昌西,22:15
G505,高速动车,北京西,15:40,邯郸东,当天17:49,17:51,长沙南,22:32
G506,高速动车,长沙南,15:05,邯郸东,当天19:50,20:00,北京西,22:03
G507,高速动车,北京西,06:53,邯郸东,当天08:55,08:58,汉口,12:20
G508,高速动车,汉口,07:10,邯郸东,当天10:33,10:35,北京西,12:28
G510,高速动车,武汉,08:10,邯郸东,当天11:35,11:37,北京西,13:39
G511,高速动车,北京西,09:27,邯郸东,当天11:36,11:45,汉口,14:55
G514,高速动车,武汉,10:31,邯郸东,当天13:56,13:58,北京西,16:09
G517,高速动车,北京西,12:19,邯郸东,当天14:27,14:29,武汉,17:37
G525,高速动车,北京西,17:14,邯郸东,当天19:15,19:17,汉口,22:49
