车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3561,动车组,贵阳北,07:16,合浦,当天14:24,14:26,北海,14:40
D3568,动车组,北海,14:30,合浦,当天14:43,14:45,贵阳北,22:24
D3570,动车组,北海,15:10,合浦,当天15:23,15:25,贵阳北,22:49
D3662/D3663,动车组,广州南,14:56,合浦,当天20:30,20:32,北海,20:46
D3702/D3703,动车组,广州南,07:12,合浦,当天12:42,12:44,北海,12:58
D3710,动车组,广州南,09:24,合浦,当天14:45,14:47,北海,15:01
D3711/D3714,动车组,广州南,13:03,合浦,当天18:39,18:41,北海,18:55
D3717,动车组,北海,13:16,合浦,当天13:29,13:31,广州南,19:04
D3720/D3721,动车组,北海,14:53,合浦,当天15:06,15:08,广州南,20:36
D3724,动车组,北海,14:53,合浦,当天15:06,15:08,广州南,20:36
D3725/D3728,动车组,北海,15:20,合浦,当天15:33,15:35,广州南,21:00
D3726/D3727,动车组,广州南,15:55,合浦,当天21:29,21:31,北海,21:45
D3729/D3732,动车组,北海,17:04,合浦,当天17:17,17:19,广州南,23:10
D3733/D3736,动车组,北海,16:40,合浦,当天16:53,16:55,广州南,23:04
D3734/D3735,动车组,广州南,10:12,合浦,当天15:39,15:42,北海,15:56
D3952/D3953,动车组,北海,14:02,合浦,当天14:15,14:17,昆明南,20:37
D3956/D3957,动车组,北海,15:32,合浦,当天15:45,15:47,昆明南,21:49
D8247,动车组,柳州,06:35,合浦,当天09:35,09:45,北海,09:59
D8255,动车组,柳州,17:18,合浦,当天20:08,20:10,北海,20:24
D8261,动车组,桂林,08:00,合浦,当天11:58,12:00,北海,12:13
D8262,动车组,北海,08:44,合浦,当天08:57,08:59,桂林,13:15
D8265,动车组,桂林,11:51,合浦,当天16:02,16:04,北海,16:17
D8267,动车组,桂林,15:00,合浦,当天19:07,19:09,北海,19:22
D8301,动车组,南宁东,07:26,合浦,当天08:40,08:42,北海,08:56
D8303,动车组,南宁东,07:51,合浦,当天09:05,09:07,北海,09:21
D8304,动车组,北海,12:50,合浦,当天13:03,13:06,南宁,14:37
D8308,动车组,北海,17:16,合浦,当天17:29,17:37,南宁东,18:51
D8309,动车组,南宁,12:25,合浦,当天13:54,13:56,北海,14:10
D8310,动车组,北海,19:15,合浦,当天19:28,19:30,南宁东,20:45
D8311,动车组,南宁东,16:32,合浦,当天17:46,17:48,北海,18:02
D8312/D8313,动车组,南宁,20:57,合浦,当天22:18,22:20,北海,22:34
D8314,动车组,北海,20:52,合浦,当天21:05,21:07,南宁东,22:15
D8315,动车组,南宁,06:45,合浦,当天08:18,08:20,北海,08:34
D8317,动车组,南宁,19:45,合浦,当天21:13,21:15,北海,21:28
D8322,动车组,北海,17:05,合浦,当天17:18,17:20,南宁东,18:34
D8323,动车组,南宁东,18:10,合浦,当天19:21,19:23,北海,19:36
D8324,动车组,北海,20:00,合浦,当天20:13,20:15,南宁东,21:29
D8329,动车组,南宁东,08:20,合浦,当天09:38,09:40,北海,09:54
D8348/D8349,动车组,梧州南,12:50,合浦,当天16:29,16:31,北海,16:44
D8402,动车组,北海,08:38,合浦,当天08:51,08:53,桂林,13:28
D8405,动车组,桂林北,08:35,合浦,当天13:04,13:06,北海,13:20
D8407,动车组,桂林北,09:20,合浦,当天13:42,13:44,北海,13:58
D8409,动车组,桂林,11:51,合浦,当天16:02,16:04,北海,16:18
D8410,动车组,北海,16:10,合浦,当天16:23,16:25,兴安北,21:45
D8411,动车组,桂林,15:02,合浦,当天19:07,19:09,北海,19:23
D8413,动车组,桂林,16:31,合浦,当天20:43,20:46,北海,21:00
D8415,动车组,桂林,15:37,合浦,当天19:46,19:48,北海,20:02
D8432/D8433,动车组,梧州南,08:15,合浦,当天12:14,12:16,北海,12:30
D8436/D8437,动车组,梧州南,12:50,合浦,当天16:32,16:34,北海,16:48
D8440/D8441,动车组,梧州南,13:19,合浦,当天17:10,17:12,北海,17:26
D9639,动车组,南宁东,19:45,合浦,当天21:03,21:05,北海,21:21
D9661,动车组,南宁东,10:20,合浦,当天11:34,11:36,北海,11:50
D9662,动车组,北海,12:12,合浦,当天12:25,12:27,南宁东,13:41
D9663,动车组,南宁东,14:15,合浦,当天15:29,15:31,北海,15:45
D9664,动车组,北海,16:20,合浦,当天16:33,16:35,南宁东,17:50
D9668,动车组,北海,16:16,合浦,当天16:30,16:32,南宁东,17:54
D9669,动车组,南宁东,18:10,合浦,当天19:28,19:30,北海,19:44
D9670,动车组,北海,20:03,合浦,当天20:17,20:19,南宁东,21:41
T8712/T8713,空调特快,北海,07:12,合浦,当天07:29,07:48,防城港北,09:09
T8715/T8718,空调特快,防城港北,20:10,合浦,当天21:17,21:19,北海,21:34
T8719/T8722,空调特快,防城港北,16:51,合浦,当天18:15,18:17,北海,18:34
