车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1095,普快,太原,19:10,合阳北,第2日02:52,02:55,兰州西,15:04
1096,普快,兰州西,16:27,合阳北,第2日04:55,05:07,太原,13:29
2095,普快,太原,19:10,合阳北,第2日03:34,03:37,西安,07:03
2096,普快,西安,19:00,合阳北,当天21:57,22:02,太原南,07:00
7001/7004,普慢,西安,12:35,合阳北,当天18:52,18:55,韩城,19:49
7002/7003,普慢,韩城,08:02,合阳北,当天08:52,08:54,西安,14:45
K8163,快速,韩城,15:33,合阳北,当天16:16,16:19,杨陵,20:55
K8164,快速,西安,11:40,合阳北,当天14:04,14:07,韩城,14:51
K8183/K8186,快速,西安,16:26,合阳北,当天19:04,19:06,韩城,19:47
K8193,快速,韩城,18:00,合阳北,当天18:43,18:46,西安,23:08
K8239,快速,韩城,08:40,合阳北,当天09:25,09:28,西安,12:04
K8240,快速,西安,08:00,合阳北,当天10:07,10:10,韩城,10:54
K8241,快速,韩城,18:51,合阳北,当天19:33,19:36,西安,21:57
K8244,快速,西安,14:59,合阳北,当天17:26,17:28,韩城,18:12
