车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2367,动车组,桂林北,13:45,贺州,当天14:56,14:58,珠海,17:50
D2368,动车组,珠海,09:10,贺州,当天11:48,11:50,桂林北,12:55
D2369,动车组,桂林北,11:40,贺州,当天12:50,12:54,广州南,14:28
D2370,动车组,广州南,08:34,贺州,当天10:11,10:14,桂林北,11:18
D2803,动车组,贵阳北,08:08,贺州,当天11:43,11:46,广州南,13:37
D2805,动车组,贵阳北,08:26,贺州,当天12:11,12:13,广州南,13:51
D2806,动车组,广州南,08:42,贺州,当天10:07,10:09,贵阳北,13:45
D2807,动车组,贵阳北,08:37,贺州,当天12:27,12:30,广州南,14:08
D2808,动车组,珠海,07:45,贺州,当天10:30,10:32,贵阳北,14:30
D2809,动车组,贵阳北,09:03,贺州,当天12:52,12:55,广州南,14:33
D2810,动车组,广州南,09:25,贺州,当天11:08,11:10,贵阳北,15:04
D2811,动车组,贵阳北,09:13,贺州,当天13:01,13:09,广州南,14:49
D2812,动车组,广州南,09:48,贺州,当天11:32,11:34,贵阳北,15:22
D2813,动车组,贵阳北,09:40,贺州,当天13:20,13:23,广州南,14:56
D2814,动车组,广州南,10:36,贺州,当天12:13,12:15,贵阳北,16:11
D2816,动车组,广州南,10:48,贺州,当天12:25,12:27,贵阳北,16:30
D2817,动车组,贵阳北,10:44,贺州,当天14:41,14:44,广州南,16:23
D2818,动车组,广州南,11:00,贺州,当天12:33,12:35,贵阳北,16:41
D2819,动车组,贵阳北,11:24,贺州,当天15:05,15:07,广州南,16:51
D2820,动车组,广州南,11:49,贺州,当天13:26,13:28,贵阳北,17:29
D2821,动车组,贵阳北,12:07,贺州,当天15:48,15:50,广州南,17:30
D2822,动车组,广州南,12:33,贺州,当天14:17,14:19,贵阳北,18:03
D2823,动车组,贵阳北,12:20,贺州,当天16:07,16:09,广州南,17:53
D2824,动车组,广州南,12:00,贺州,当天13:38,13:40,贵阳北,17:25
D2825,动车组,贵阳北,14:15,贺州,当天18:04,18:07,广州南,19:52
D2826,动车组,广州南,14:18,贺州,当天15:55,15:57,贵阳北,19:44
D2827,动车组,贵阳北,14:54,贺州,当天18:35,18:37,珠海,21:18
D2828,动车组,广州南,14:28,贺州,当天16:13,16:15,贵阳北,20:10
D2829,动车组,贵阳北,15:36,贺州,当天19:17,19:19,广州南,20:54
D2830,动车组,广州南,15:03,贺州,当天16:43,16:45,贵阳北,20:40
D2831,动车组,贵阳北,15:42,贺州,当天19:04,19:08,广州南,20:42
D2832,动车组,广州南,15:10,贺州,当天16:53,16:55,贵阳北,20:50
D2833,动车组,贵阳北,16:36,贺州,当天20:38,20:40,广州南,22:20
D2834,动车组,广州南,15:17,贺州,当天17:10,17:12,贵阳北,21:08
D2835,动车组,贵阳北,16:55,贺州,当天20:47,20:50,广州南,22:24
D2836,动车组,广州南,16:01,贺州,当天17:49,17:51,贵阳北,21:51
D2837,动车组,贵阳北,17:20,贺州,当天21:16,21:18,广州南,22:50
D2838,动车组,广州南,16:44,贺州,当天18:23,18:25,贵阳北,22:07
D2839,动车组,贵阳北,17:25,贺州,当天21:13,21:15,广州南,22:48
D2841,动车组,贵阳北,17:47,贺州,当天21:43,21:45,广州南,23:17
D2842,动车组,广州南,17:52,贺州,当天19:23,19:25,贵阳北,22:58
D2843,动车组,贵阳北,18:03,贺州,当天21:52,21:54,广州南,23:29
D2844,动车组,广州南,18:12,贺州,当天19:51,19:53,贵阳北,23:24
D2846,动车组,广州南,07:30,贺州,当天09:11,09:20,贵阳北,13:05
D2851,动车组,贵阳北,15:05,贺州,当天18:59,19:02,广州南,20:47
D2852,动车组,广州南,09:06,贺州,当天10:43,10:45,贵阳北,14:44
D2853,动车组,贵阳北,11:26,贺州,当天15:10,15:13,广州南,16:45
