车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C5341/C5344,城际高速,孝感东,11:15,黄冈东,当天13:09,13:09,黄冈东,13:09
C5342/C5343,城际高速,黄冈东,07:20,黄冈东,当天07:20,07:20,孝感东,09:16
C5601,城际高速,武汉,06:34,黄冈东,当天07:05,07:05,黄冈东,07:05
C5602,城际高速,黄冈东,07:22,黄冈东,当天07:22,07:22,武汉,08:05
C5603,城际高速,武汉,08:04,黄冈东,当天08:46,08:46,黄冈东,08:46
C5604,城际高速,黄冈东,09:06,黄冈东,当天09:06,09:06,武汉,09:52
C5605,城际高速,武汉,09:16,黄冈东,当天10:04,10:04,黄冈东,10:04
C5606,城际高速,黄冈东,10:19,黄冈东,当天10:19,10:19,武汉,11:05
C5607,城际高速,武汉,10:43,黄冈东,当天11:24,11:24,黄冈东,11:24
C5608,城际高速,黄冈东,12:08,黄冈东,当天12:08,12:08,武汉,12:56
C5609,城际高速,武汉,11:22,黄冈东,当天12:08,12:08,黄冈东,12:08
C5610,城际高速,黄冈东,13:24,黄冈东,当天13:24,13:24,武汉,14:11
C5611,城际高速,武汉,13:31,黄冈东,当天14:18,14:18,黄冈东,14:18
C5612,城际高速,黄冈东,14:38,黄冈东,当天14:38,14:38,武汉,15:25
C5613,城际高速,武汉,15:11,黄冈东,当天15:58,15:58,黄冈东,15:58
C5614,城际高速,黄冈东,16:15,黄冈东,当天16:15,16:15,武汉,17:07
C5615,城际高速,武汉,16:55,黄冈东,当天17:37,17:37,黄冈东,17:37
C5616,城际高速,黄冈东,18:04,黄冈东,当天18:04,18:04,武汉,18:51
C5617,城际高速,武汉,18:26,黄冈东,当天19:13,19:13,黄冈东,19:13
C5618,城际高速,黄冈东,19:28,黄冈东,当天19:28,19:28,武汉,20:15
C5619,城际高速,武汉,19:00,黄冈东,当天19:53,19:53,黄冈东,19:53
C5620,城际高速,黄冈东,20:10,黄冈东,当天20:10,20:10,武汉,20:57
C5621,城际高速,武汉,06:48,黄冈东,当天07:29,07:29,黄冈东,07:29
C5622,城际高速,黄冈东,20:50,黄冈东,当天20:50,20:50,武汉,21:26
C5623,城际高速,武汉,13:51,黄冈东,当天14:38,14:38,黄冈东,14:38
C5631,城际高速,武汉,07:25,黄冈东,当天07:56,07:56,黄冈东,07:56
C5632,城际高速,黄冈东,21:33,黄冈东,当天21:33,21:33,武汉,22:10
C5633,城际高速,武汉,08:24,黄冈东,当天09:02,09:02,黄冈东,09:02
C5634,城际高速,黄冈东,22:29,黄冈东,当天22:29,22:29,武汉,23:00
D5228/D5229,动车组,黄冈东,17:15,黄冈东,当天17:15,17:15,襄阳,20:57
D5235/D5238,动车组,襄阳,13:00,黄冈东,当天16:45,16:45,黄冈东,16:45
D5236/D5237,动车组,黄冈东,14:53,黄冈东,当天14:53,14:53,襄阳,18:35
D5912/D5913,动车组,黄冈东,08:00,黄冈东,当天08:00,08:00,利川,14:00
G1155/G1158,高速动车,黄冈东,08:16,黄冈东,当天08:16,08:16,广州南,13:30
G1156,高速动车,广州南,14:28,黄冈东,当天20:51,20:51,黄冈东,20:51
G572,高速动车,黄冈东,09:22,黄冈东,当天09:22,09:22,北京西,15:53
G573,高速动车,北京西,16:18,黄冈东,当天22:05,22:05,黄冈东,22:05
