车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3094,普快,武穴,06:12,黄州,当天07:42,07:48,北京西,00:15
3106/3107,普快,麻城,19:29,黄州,当天20:10,20:13,东莞东,12:16
3223,普快,潢川,22:55,黄州,第2日01:36,01:46,深圳东,20:15
3224,普快,深圳东,22:00,黄州,第2日15:45,15:48,麻城,16:31
3270,普快,东莞东,20:30,黄州,第2日12:28,12:31,麻城,13:20
3291,普快,潢川,12:07,黄州,当天16:09,16:24,东莞东,09:37
3385/3388,普快,吉安,06:19,黄州,当天13:14,13:16,郑州,01:25
3615,普快,麻城,15:52,黄州,当天17:40,17:45,东莞东,09:55
6025,普慢,麻城,09:00,黄州,当天10:22,10:25,九江,13:28
6026,普慢,九江,14:30,黄州,当天17:06,17:08,麻城,18:15
K1136/K1137,快速,青岛,17:40,黄州,第2日10:06,10:09,南宁,10:45
K1282/K1283,快速,深圳东,15:40,黄州,第2日07:13,07:16,济南,19:15
K132/K133,快速,兰州,13:16,黄州,第2日16:26,16:31,深圳西,09:30
K2385/K2388,快速,长春,11:45,黄州,第2日15:55,16:00,南宁,16:55
K2386/K2387,快速,南宁,22:40,黄州,第2日22:45,22:48,长春,05:04
K301/K304,快速,连云港东,11:41,黄州,当天22:32,22:35,广州,15:13
K302,快速,广州,21:06,黄州,第2日13:41,13:44,徐州,21:10
K393/K396,快速,西安,23:58,黄州,第2日14:20,14:46,福州,07:10
K4035,快速,阜阳,13:50,黄州,当天17:53,18:00,广州东,11:40
K4208,快速,蕲春,07:58,黄州,当天08:44,08:47,北京西,23:22
K445/K448,快速,西安,23:20,黄州,第2日12:30,12:34,深圳,04:37
K561,快速,阜阳,11:35,黄州,当天15:42,15:47,深圳东,07:20
K730/K731,快速,大同,14:20,黄州,第2日12:19,12:22,广州东,05:26
K821/K824,快速,深圳东,16:58,黄州,第2日08:53,09:03,信阳,13:10
K822/K823,快速,信阳,19:26,黄州,当天23:19,23:22,深圳东,15:28
K875/K878,快速,烟台,18:09,黄州,第2日11:39,11:42,昆明,20:33
K988/K989,快速,福州,17:19,黄州,第2日07:43,07:47,信阳,13:38
T396/T397,空调特快,青岛,16:56,黄州,第2日07:22,07:25,深圳,20:52
T92,空调特快,南昌,20:58,黄州,第2日00:20,00:24,北京,12:59
Z67,直达特快,北京西,20:01,黄州,第2日05:23,05:25,南昌,07:58
Z68,直达特快,南昌,19:42,黄州,当天22:22,22:24,北京西,07:46
