车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C5602,城际高速,黄冈东,07:22,华容东,当天07:38,07:40,武汉,08:05
C5604,城际高速,黄冈东,09:06,华容东,当天09:27,09:29,武汉,09:52
C5605,城际高速,武汉,09:16,华容东,当天09:39,09:41,黄冈东,10:04
C5606,城际高速,黄冈东,10:19,华容东,当天10:40,10:42,武汉,11:05
C5609,城际高速,武汉,11:22,华容东,当天11:43,11:45,黄冈东,12:08
C5611,城际高速,武汉,13:31,华容东,当天13:53,13:55,黄冈东,14:18
C5612,城际高速,黄冈东,14:38,华容东,当天14:59,15:01,武汉,15:25
C5613,城际高速,武汉,15:11,华容东,当天15:33,15:35,黄冈东,15:58
C5614,城际高速,黄冈东,16:15,华容东,当天16:36,16:38,武汉,17:07
C5617,城际高速,武汉,18:26,华容东,当天18:48,18:50,黄冈东,19:13
