车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C5506,城际高速,大冶北,09:45,花山南,当天10:47,10:49,武汉,11:02
C5507,城际高速,武汉,10:00,花山南,当天10:12,10:14,阳新,11:40
C5512,城际高速,阳新,14:56,花山南,当天16:11,16:13,武汉,16:25
C5514,城际高速,阳新,16:15,花山南,当天17:40,17:42,武汉,17:54
C5515,城际高速,武汉,15:40,花山南,当天15:52,15:54,阳新,17:10
C5517,城际高速,武汉,17:23,花山南,当天17:35,17:37,阳新,18:53
C5519,城际高速,武汉,19:07,花山南,当天19:19,19:21,阳新,20:15
C5610,城际高速,黄冈东,13:24,花山南,当天13:56,13:58,武汉,14:11
D5946/D5947,动车组,大冶北,13:18,花山南,当天14:05,14:07,宜昌东,17:07
D5971/D5974,动车组,宜昌东,10:48,花山南,当天13:32,13:34,大冶北,14:20
