车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7103/D7104,动车组,三亚,09:25,尖峰,当天13:23,13:24,三亚,14:19
D7118,动车组,海口东,19:00,尖峰,当天21:04,21:05,海口东,23:44
D7119/D7122,动车组,海口东,11:20,尖峰,当天13:54,13:55,三亚,14:48
D7120/D7121,动车组,海口东,11:20,尖峰,当天13:54,13:55,三亚,14:48
D7141/D7142,动车组,三亚,13:58,尖峰,当天18:35,18:36,三亚,19:28
D7163/D7164,动车组,海口东,15:30,尖峰,当天17:58,17:59,海口东,19:57
D7167,动车组,海口东,18:10,尖峰,当天20:46,20:47,海口东,22:55
D7183/D7184,动车组,三亚,08:14,尖峰,当天09:00,09:01,三亚,13:41
D7188,动车组,三亚,07:30,尖峰,当天08:24,08:25,海口东,10:59
D7201,动车组,海口,07:25,尖峰,当天09:08,09:09,三亚,09:51
D7204,动车组,三亚,09:18,尖峰,当天10:09,10:10,海口,12:04
D7222,动车组,三亚,11:40,尖峰,当天12:26,12:27,海口,14:43
D7224,动车组,三亚,18:20,尖峰,当天19:06,19:07,海口,21:23
D7227,动车组,海口,12:19,尖峰,当天14:34,14:35,三亚,15:22
D7229,动车组,海口,19:10,尖峰,当天21:25,21:26,三亚,22:13
