车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2225/D2228,动车组,重庆北,08:59,将乐,当天20:48,20:50,福州,22:33
D2375/D2378,动车组,重庆北,06:00,将乐,当天17:50,17:53,厦门,21:00
D2601/D2604,动车组,福州,07:58,将乐,当天09:34,09:36,长沙南,13:45
D2605/D2608,动车组,厦门北,08:34,将乐,当天11:20,11:37,长沙南,15:50
D2606,动车组,长沙南,14:15,将乐,当天18:17,18:19,厦门北,21:06
D3262/D3263,动车组,汉口,08:10,将乐,当天13:28,13:30,福州,15:06
D3265,动车组,武汉,14:55,将乐,当天19:43,19:45,福州,21:24
D6503,动车组,南昌,09:46,将乐,当天12:05,12:07,福州,13:46
D6504,动车组,福州,13:11,将乐,当天14:47,14:49,南昌,16:58
D6507,动车组,南昌,13:53,将乐,当天15:54,15:56,福州,17:27
D6510,动车组,福州,17:47,将乐,当天19:23,19:25,南昌,21:46
D6512,动车组,福州,19:10,将乐,当天20:40,20:42,南昌,22:50
D6523,动车组,南昌西,08:53,将乐,当天10:53,10:55,厦门,13:51
D6524,动车组,厦门北,08:49,将乐,当天11:45,11:47,南昌西,13:47
D6527,动车组,南昌西,09:50,将乐,当天11:48,11:50,厦门北,14:16
D6528,动车组,厦门,15:47,将乐,当天18:41,18:43,南昌西,20:36
D6530,动车组,厦门北,16:46,将乐,当天19:11,19:13,南昌西,21:12
D6531,动车组,南昌,17:13,将乐,当天19:32,19:34,厦门,22:34
D6532,动车组,厦门,17:50,将乐,当天21:08,21:10,南昌,23:26
D6550,动车组,福州,14:55,将乐,当天16:31,16:33,建宁县北,17:07
D6650,动车组,福州,16:31,将乐,当天18:19,18:22,泰宁,18:41
D9594,动车组,福州,12:40,将乐,当天14:12,14:14,九江,17:08
D9610,动车组,福州,14:55,将乐,当天16:38,16:40,建宁县北,17:23
D9614,动车组,福州,14:16,将乐,当天15:59,16:01,建宁县北,16:35
D9620,动车组,福州,16:31,将乐,当天18:16,18:18,泰宁,18:37
D9631,动车组,建宁县北,09:44,将乐,当天10:10,10:13,福州,11:59
D9632,动车组,福州,06:42,将乐,当天08:42,08:45,建宁县北,09:20
D9879,动车组,建宁县北,15:02,将乐,当天15:34,16:08,福州,17:59
D9880,动车组,福州,11:08,将乐,当天12:51,13:12,建宁县北,13:47
D9923,动车组,南昌西,08:53,将乐,当天10:53,10:55,厦门,13:48
D9924,动车组,厦门,15:50,将乐,当天18:41,18:43,南昌西,20:36
D9926,动车组,福州,13:14,将乐,当天14:50,14:52,南昌,16:55
D9929,动车组,南昌,12:47,将乐,当天15:03,15:05,漳州,18:05
D9933/D9936,动车组,南昌西,08:35,将乐,当天10:42,10:44,龙岩,14:23
D9934/D9935,动车组,龙岩,15:25,将乐,当天19:41,19:43,南昌西,21:52
D9952,动车组,福州,10:26,将乐,当天12:08,12:10,建宁县北,12:44
D9980,动车组,福州,06:34,将乐,当天08:16,08:31,建宁县北,09:05
D9991/D9994,动车组,南昌西,08:59,将乐,当天11:05,11:07,厦门,13:57
K1576/K1577,快速,福州,17:47,将乐,当天20:24,20:43,太原,21:33
