车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G8504,高速动车,重庆北,07:33,简阳南,当天09:00,09:02,成都东,09:22
G8528,高速动车,重庆北,14:20,简阳南,当天15:38,15:41,成都东,16:01
G8537,高速动车,成都东,19:52,简阳南,当天20:11,20:13,重庆北,21:39
G8538,高速动车,重庆北,18:23,简阳南,当天19:47,19:49,成都东,20:09
G8547,高速动车,成都东,19:52,简阳南,当天20:11,20:13,重庆北,21:39
G8558,高速动车,重庆北,07:33,简阳南,当天09:00,09:02,成都东,09:22
G8562,高速动车,重庆北,21:03,简阳南,当天22:22,22:24,成都东,22:44
G8591,高速动车,成都东,19:03,简阳南,当天19:22,19:24,重庆北,20:43
G8603,高速动车,成都东,08:31,简阳南,当天08:50,08:52,隆昌北,09:46
G8604,高速动车,隆昌北,10:04,简阳南,当天10:58,11:00,成都东,11:20
G8605,高速动车,成都东,10:15,简阳南,当天10:34,10:36,内江北,11:27
G8606,高速动车,内江北,11:46,简阳南,当天12:26,12:28,成都东,12:48
G8607,高速动车,成都东,10:15,简阳南,当天10:34,10:36,资中北,11:03
G8608,高速动车,资中北,11:30,简阳南,当天12:05,12:08,成都东,12:28
G8624,高速动车,内江北,12:32,简阳南,当天13:24,13:29,成都东,13:48
G8629,高速动车,成都东,18:56,简阳南,当天19:15,19:17,内江北,20:26
G8634,高速动车,永川东,11:29,简阳南,当天12:59,13:01,成都东,13:21
G8636,高速动车,永川东,16:45,简阳南,当天18:22,18:24,成都东,18:44
G8674/G8675,高速动车,峨眉山,12:09,简阳南,当天13:46,13:56,内江北,14:29
G8717/G8720,高速动车,成都东,15:49,简阳南,当天16:08,16:10,万州北,19:22
