车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2313,动车组,泉州,08:02,角美,当天09:02,09:04,深圳北,12:46
D2319,动车组,厦门北,16:03,角美,当天16:15,16:17,深圳北,19:54
D2339,动车组,厦门北,07:49,角美,当天08:01,08:04,深圳北,11:32
D6255,动车组,福州,15:35,角美,当天17:51,18:09,诏安,19:36
D6403/D6406,动车组,福州,07:12,角美,当天09:31,09:34,龙岩,10:32
D6415/D6418,动车组,福州,16:33,角美,当天18:39,18:41,龙岩,19:38
D6438/D6439,动车组,长汀南,12:59,角美,当天14:46,14:48,福州,16:57
D6448/D6449,动车组,龙岩,19:55,角美,当天20:55,20:57,福州,23:11
D6471,动车组,龙岩,07:46,角美,当天08:53,08:55,厦门,09:23
D6479,动车组,龙岩,08:13,角美,当天09:13,09:39,厦门,10:08
D685,动车组,厦门,17:09,角美,当天17:35,17:37,深圳北,21:07
D687,动车组,厦门北,14:00,角美,当天14:12,14:14,深圳北,17:48
D8924,动车组,漳州,08:19,角美,当天08:29,08:31,厦门北,08:45
D8931,动车组,厦门,21:27,角美,当天21:50,21:52,诏安,22:49
D9855/D9858,动车组,福鼎,15:11,角美,当天19:06,19:07,龙岩,20:07
D9962/D9963,动车组,赣州,14:03,角美,当天17:34,18:07,福州南,20:11
D9965/D9968,动车组,福州南,16:16,角美,当天18:21,18:30,龙岩,19:47
D9996/D9997,动车组,冠豸山,18:35,角美,当天20:02,20:09,福州南,22:04
