车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K111,快速,上海南,15:05,嘉善,当天15:50,15:53,贵阳,18:26
K1185/K1188,快速,上海南,08:48,嘉善,当天09:31,09:34,九江,21:50
K1186/K1187,快速,九江,16:50,嘉善,第2日05:53,05:56,上海南,07:06
K12/K13,快速,武昌,16:20,嘉善,第2日06:29,06:32,上海南,07:46
K1373/K1376,快速,上海南,16:49,嘉善,当天17:37,17:40,怀化,17:10
K1509/K1512,快速,义乌,11:03,嘉善,当天14:18,14:21,聊城,08:07
K1806/K1807,快速,杭州,11:44,嘉善,当天13:04,13:07,银川,21:53
K351/K354,快速,上海南,15:58,嘉善,当天16:34,16:43,成都,04:50
K48/K49,快速,杭州,13:48,嘉善,当天15:10,15:13,齐齐哈尔,08:10
K496,快速,六盘水,10:47,嘉善,第2日15:30,15:34,上海南,16:56
K512,快速,海口,23:00,嘉善,第3日07:48,07:51,上海南,08:55
K5651,快速,上海南,22:50,嘉善,当天23:26,23:30,江山,05:03
K5652,快速,杭州,17:53,嘉善,当天19:15,19:22,上海南,21:40
K5786,快速,杭州,11:05,嘉善,当天12:30,12:35,上海南,13:41
K5787,快速,上海南,20:53,嘉善,当天21:29,21:40,杭州,23:03
K740,快速,昆明,23:35,嘉善,第3日13:15,13:18,上海南,14:33
K751/K754,快速,上海南,10:42,嘉善,当天11:32,11:41,平顶山,12:20
K759,快速,上海南,12:01,嘉善,当天12:46,12:49,衡阳,05:00
K79,快速,上海南,18:26,嘉善,当天19:12,19:15,昆明,06:07
K8371,快速,徐州,18:42,嘉善,第2日06:28,06:38,江山,14:33
K8372,快速,江山,15:33,嘉善,当天21:09,21:12,淮北,07:33
