车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3028/3029,普快,乌鲁木齐南,15:25,嘉峪关,第2日12:20,12:30,郑州,20:50
3030/3031,普快,库尔勒,17:05,嘉峪关,第2日12:11,12:26,襄阳,09:56
3118,普快,哈密,13:10,嘉峪关,第2日01:27,01:42,天水,17:13
3130,普快,阿克苏,09:24,嘉峪关,第2日09:27,09:42,郑州,16:15
3155/3158,普快,奎屯,16:51,嘉峪关,第2日11:29,11:44,信阳,03:40
3208,普快,库尔勒,16:37,嘉峪关,第2日14:14,14:32,合肥,14:03
3247,普快,郑州,16:00,嘉峪关,第2日22:30,22:45,乌鲁木齐南,13:27
3248,普快,哈密,20:33,嘉峪关,第2日04:19,04:34,郑州,09:00
3308,普快,库尔勒,16:37,嘉峪关,第2日14:14,14:32,济南,14:18
3355/3358,普快,阿克苏,15:55,嘉峪关,第2日21:04,21:19,成都,09:13
3398,普快,奎屯,20:11,嘉峪关,第3日00:39,00:58,成都,22:00
3928,普快,乌鲁木齐南,08:12,嘉峪关,第2日03:28,03:37,郑州,12:10
7507,普慢,武威南,10:20,嘉峪关,当天22:35,22:35,嘉峪关,22:35
7529,普慢,嘉峪关,06:25,嘉峪关,当天06:25,06:25,镜铁山,09:02
7530,普慢,镜铁山,17:00,嘉峪关,当天19:39,19:39,嘉峪关,19:39
7535/7538,普慢,嘉峪关,08:15,嘉峪关,当天08:15,08:15,敦煌,14:11
7536/7537,普慢,敦煌,15:22,嘉峪关,当天21:39,21:39,嘉峪关,21:39
K1351/K1354,快速,连云港东,16:03,嘉峪关,第3日00:40,00:48,乌鲁木齐,15:13
K1537/K1540,快速,南京,14:28,嘉峪关,第3日00:40,00:48,乌鲁木齐,15:13
K2630,快速,乌鲁木齐,20:53,嘉峪关,第2日11:44,11:52,西安,06:54
K4041,快速,北京,09:00,嘉峪关,第2日17:56,18:11,敦煌,21:20
K4290,快速,乌鲁木齐南,20:53,嘉峪关,第2日12:25,12:40,兰州,22:21
K4331/K4334,快速,乌鲁木齐南,21:57,嘉峪关,第2日14:18,14:35,重庆北,00:10
K4346/K4347,快速,乌鲁木齐南,12:18,嘉峪关,第2日05:00,05:12,成都,18:55
K4349/K4352,快速,奎屯,10:29,嘉峪关,第2日09:25,09:33,成都,19:25
K4530,快速,乌鲁木齐,20:53,嘉峪关,第2日11:44,11:52,西安,06:51
K4611/K4614,快速,张掖,10:30,嘉峪关,当天13:36,13:45,敦煌,19:36
K4613,快速,敦煌,23:05,嘉峪关,第2日04:05,04:20,张掖,08:15
K4665/K4668,快速,乌鲁木齐南,14:43,嘉峪关,第2日03:51,03:59,上海,01:31
K4965/K4968,快速,嘉峪关,03:59,嘉峪关,当天03:59,03:59,上海,01:31
K4966/K4967,快速,上海,14:43,嘉峪关,第3日11:20,11:20,嘉峪关,11:20
K9661,快速,兰州,21:30,嘉峪关,第2日08:10,08:10,嘉峪关,08:10
K9662,快速,嘉峪关,20:55,嘉峪关,当天20:55,20:55,兰州,06:48
K9667/K9670,快速,兰州,17:00,嘉峪关,第2日02:36,02:44,敦煌,07:13
K9668/K9669,快速,敦煌,18:46,嘉峪关,当天23:24,23:34,兰州,09:15
K9699,快速,敦煌,14:50,嘉峪关,当天19:21,19:21,嘉峪关,19:21
T191/T194,空调特快,乌鲁木齐,17:34,嘉峪关,第2日06:19,06:27,汉口,11:25
T192/T193,空调特快,汉口,16:56,嘉峪关,第2日20:35,20:43,乌鲁木齐,08:39
T295,空调特快,兰州,17:47,嘉峪关,第2日01:32,01:40,乌鲁木齐,13:33
T296,空调特快,乌鲁木齐,14:34,嘉峪关,第2日02:25,02:33,兰州,10:22
T4601,空调特快,张掖,11:10,嘉峪关,当天13:34,13:44,敦煌,18:15
T4602/T4603,空调特快,敦煌,19:40,嘉峪关,当天23:50,23:50,嘉峪关,23:50
T6601,空调特快,兰州,21:55,嘉峪关,第2日06:20,06:20,嘉峪关,06:20
T6602,空调特快,嘉峪关,22:30,嘉峪关,当天22:30,22:30,兰州,07:11
T6605,空调特快,武威,16:04,嘉峪关,当天21:30,21:30,嘉峪关,21:30
T6606,空调特快,嘉峪关,07:01,嘉峪关,当天07:01,07:01,武威,12:09
Y667/Y670,旅游列车,兰州,17:54,嘉峪关,第2日01:39,01:47,敦煌,06:30
Y668/Y669,旅游列车,敦煌,20:07,嘉峪关,当天23:57,00:05,兰州,07:22
Y671/Y674,旅游列车,天水,14:42,嘉峪关,第2日04:07,04:15,敦煌,08:56
Y672/Y673,旅游列车,敦煌,18:25,嘉峪关,当天23:01,23:09,天水,13:32
Y675/Y678,旅游列车,银川,14:00,嘉峪关,第2日02:18,02:26,敦煌,08:21
Y676/Y677,旅游列车,敦煌,22:53,嘉峪关,第2日04:00,04:08,银川,16:40
Z105,直达特快,济南,22:02,嘉峪关,第3日00:48,00:58,乌鲁木齐,11:32
Z292,直达特快,汉口,17:40,嘉峪关,第2日20:14,20:29,乌鲁木齐,08:20
Z40/Z41,直达特快,上海,19:40,嘉峪关,第3日00:29,00:37,乌鲁木齐,11:02
Z6205,直达特快,兰州,07:47,嘉峪关,当天15:20,15:20,嘉峪关,15:20
Z6206,直达特快,嘉峪关,15:55,嘉峪关,当天15:55,15:55,兰州,23:42
