车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2674,动车组,嘉峪关南,13:05,嘉峪关南,当天13:05,13:05,西安北,20:55
D2702,动车组,乌鲁木齐,08:29,嘉峪关南,当天15:12,15:18,兰州西,20:08
D2704,动车组,乌鲁木齐,08:56,嘉峪关南,当天15:44,15:50,兰州西,20:52
D2705,动车组,兰州西,08:54,嘉峪关南,当天13:40,13:46,乌鲁木齐,20:45
D2707,动车组,兰州西,09:30,嘉峪关南,当天14:16,14:22,乌鲁木齐,21:16
D2708,动车组,乌鲁木齐,10:15,嘉峪关南,当天17:08,17:14,兰州西,21:56
D2710,动车组,乌鲁木齐,10:36,嘉峪关南,当天17:28,17:34,兰州西,22:13
D2713,动车组,兰州西,11:20,嘉峪关南,当天16:05,16:11,乌鲁木齐,23:28
D2714,动车组,乌鲁木齐,11:44,嘉峪关南,当天18:27,18:33,兰州西,23:12
D2719,动车组,西宁,11:20,嘉峪关南,当天14:53,14:59,乌鲁木齐,21:58
D2720,动车组,乌鲁木齐,11:20,嘉峪关南,当天17:56,18:02,西宁,21:39
D2741,动车组,兰州西,07:25,嘉峪关南,当天12:00,12:00,嘉峪关南,12:00
D2742,动车组,嘉峪关南,07:15,嘉峪关南,当天07:15,07:15,兰州西,11:50
D2743,动车组,兰州,07:55,嘉峪关南,当天12:38,12:38,嘉峪关南,12:38
D2744,动车组,嘉峪关南,08:45,嘉峪关南,当天08:45,08:45,兰州西,13:26
D2745,动车组,兰州,08:36,嘉峪关南,当天13:11,13:11,嘉峪关南,13:11
D2746,动车组,玉门,08:06,嘉峪关南,当天08:54,08:59,兰州西,13:39
D2747,动车组,兰州西,12:00,嘉峪关南,当天16:34,16:34,嘉峪关南,16:34
D2748,动车组,嘉峪关南,12:24,嘉峪关南,当天12:24,12:24,兰州,17:05
D2749,动车组,兰州西,13:46,嘉峪关南,当天18:28,18:28,嘉峪关南,18:28
D2750,动车组,嘉峪关南,16:45,嘉峪关南,当天16:45,16:45,兰州西,21:38
D2751,动车组,兰州西,14:10,嘉峪关南,当天18:46,18:46,嘉峪关南,18:46
D2752,动车组,嘉峪关南,13:32,嘉峪关南,当天13:32,13:32,兰州,17:58
D2753,动车组,兰州,18:27,嘉峪关南,当天23:10,23:10,嘉峪关南,23:10
D2754,动车组,嘉峪关南,17:05,嘉峪关南,当天17:05,17:05,兰州西,21:47
D2755,动车组,兰州西,18:10,嘉峪关南,当天22:43,22:43,嘉峪关南,22:43
D2756,动车组,嘉峪关南,18:55,嘉峪关南,当天18:55,18:55,兰州西,23:22
D2757,动车组,兰州,17:30,嘉峪关南,当天22:21,22:29,玉门,23:13
D2758,动车组,嘉峪关南,19:10,嘉峪关南,当天19:10,19:10,兰州西,23:42
D2781,动车组,西宁,07:30,嘉峪关南,当天10:47,10:47,嘉峪关南,10:47
D2782,动车组,嘉峪关南,11:25,嘉峪关南,当天11:25,11:25,兰州西,16:20
D4181,动车组,民和南,09:48,嘉峪关南,当天15:08,15:14,乌鲁木齐,22:02
D4182,动车组,乌鲁木齐,08:30,嘉峪关南,当天15:08,15:14,西宁,18:37
D4719,动车组,西宁,08:40,嘉峪关南,当天12:21,12:27,乌鲁木齐南,19:20
D4813,动车组,兰州西,11:53,嘉峪关南,当天18:38,18:38,嘉峪关南,18:38
D4814,动车组,嘉峪关南,11:25,嘉峪关南,当天11:25,11:25,兰州西,18:11
D4815,动车组,兰州西,13:33,嘉峪关南,当天20:18,20:18,嘉峪关南,20:18
D4816,动车组,嘉峪关南,13:15,嘉峪关南,当天13:15,13:15,兰州西,20:19
D4817,动车组,兰州西,12:00,嘉峪关南,当天17:34,17:40,乌鲁木齐南,00:25
