车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C6505/C6508,城际高速,荣成,13:00,即墨北,当天15:04,15:06,青岛,15:47
C6510/C6511,城际高速,青岛,17:05,即墨北,当天17:44,17:46,荣成,19:46
C6513/C6516,城际高速,荣成,09:35,即墨北,当天11:47,11:49,青岛,12:35
C6521/C6524,城际高速,烟台,15:57,即墨北,当天17:22,17:24,青岛,18:10
C6552,城际高速,荣成,06:40,即墨北,当天08:51,08:53,青岛北,09:10
C6553,城际高速,青岛北,06:25,即墨北,当天06:41,06:43,烟台,08:10
C6554,城际高速,烟台,08:00,即墨北,当天09:30,09:33,青岛北,09:50
C6557,城际高速,青岛北,07:20,即墨北,当天07:36,07:38,荣成,09:38
C6558,城际高速,烟台,11:00,即墨北,当天12:20,12:22,青岛北,12:38
C6561,城际高速,青岛北,09:00,即墨北,当天09:16,09:18,烟台,10:38
C6562,城际高速,烟台,12:50,即墨北,当天14:03,14:05,青岛北,14:21
C6563,城际高速,青岛北,09:40,即墨北,当天09:56,09:59,荣成,12:20
C6565,城际高速,青岛北,10:40,即墨北,当天10:56,10:59,烟台,12:12
C6566,城际高速,烟台,16:00,即墨北,当天17:19,17:21,青岛北,17:37
C6567,城际高速,青岛北,11:50,即墨北,当天12:06,12:08,烟台南,13:22
C6569,城际高速,青岛北,13:00,即墨北,当天13:16,13:18,威海,15:01
C6570,城际高速,荣成,16:50,即墨北,当天18:58,19:00,青岛北,19:17
C6574,城际高速,荣成,18:30,即墨北,当天20:35,20:37,青岛北,20:54
C6575,城际高速,青岛北,15:25,即墨北,当天15:41,15:43,威海,17:20
C6579,城际高速,青岛北,18:20,即墨北,当天18:36,18:38,威海,20:22
C6593,城际高速,青岛北,08:40,即墨北,当天08:56,08:58,威海,10:41
C6594,城际高速,威海,11:02,即墨北,当天12:51,12:53,青岛北,13:10
C6595/C6598,城际高速,威海,08:00,即墨北,当天09:49,09:51,青岛,10:35
C6597,城际高速,青岛北,19:37,即墨北,当天19:53,19:56,威海,21:36
D6051,动车组,济南西,06:52,即墨北,当天09:34,09:41,烟台,11:12
D6052,动车组,烟台,08:30,即墨北,当天10:02,10:05,济南,12:36
D6053,动车组,济南,13:28,即墨北,当天15:51,15:53,烟台,17:24
D6054,动车组,烟台,11:35,即墨北,当天13:04,13:06,济南西,15:54
D6056/D6057,动车组,烟台,17:45,即墨北,当天19:13,19:15,曲阜东,22:33
D6062,动车组,烟台,14:30,即墨北,当天15:54,15:55,济南东,18:10
D6065,动车组,济南东,16:00,即墨北,当天18:27,18:28,荣成,20:55
D6066,动车组,荣成,08:00,即墨北,当天10:22,10:24,济南东,12:39
D6076,动车组,荣成,14:00,即墨北,当天16:09,16:11,济南,18:33
D6080/D6082,动车组,枣庄,07:45,即墨北,当天11:25,11:27,荣成,13:39
D6083,动车组,枣庄,07:45,即墨北,当天11:25,11:27,荣成,13:39
D6086/D6087,动车组,枣庄,07:05,即墨北,当天10:45,10:47,荣成,12:55
D6091,动车组,即墨北,06:50,即墨北,当天06:50,06:50,烟台,08:10
D6094,动车组,荣成,17:55,即墨北,当天20:10,20:10,即墨北,20:10
D6095,动车组,即墨北,12:15,即墨北,当天12:15,12:15,荣成,14:40
D6096,动车组,荣成,14:10,即墨北,当天16:35,16:35,即墨北,16:35
D9455,动车组,济南,05:51,即墨北,当天08:07,08:09,荣成,10:36
D9471,动车组,即墨北,14:05,即墨北,当天14:05,14:05,荣成,16:25
D9472,动车组,荣成,11:25,即墨北,当天13:45,13:45,即墨北,13:45
G182/G472,高速动车,烟台,06:50,即墨北,当天08:10,08:13,北京南,12:38
G4109/G4112,高速动车,荣成,12:10,即墨北,当天14:15,14:17,武汉,22:41
G4110/G4111,高速动车,武汉,06:11,即墨北,当天14:01,14:02,荣成,16:10
G471,高速动车,北京南,07:10,即墨北,当天11:37,11:40,烟台,13:05
G474,高速动车,烟台,14:20,即墨北,当天15:45,15:46,北京南,20:08
