车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D331/D334,动车组,武汉,08:12,金华南,当天14:17,14:19,温州南,15:53
D332/D333,动车组,温州南,13:12,金华南,当天14:47,14:50,武汉,20:30
D4165,动车组,金华南,16:56,金华南,当天16:56,16:56,福州,20:34
D4166,动车组,福州,12:52,金华南,当天16:36,16:36,金华南,16:36
D5586/D5587,动车组,温州南,16:33,金华南,当天18:11,18:15,合肥南,22:09
G1731,高速动车,济南西,08:56,金华南,当天14:26,14:28,温州南,15:40
G1732,高速动车,温州南,16:15,金华南,当天17:38,17:42,济南西,23:16
G1882/G1883,高速动车,金华南,07:22,金华南,当天07:22,07:22,西安北,15:57
G1966/G1967,高速动车,温州南,15:32,金华南,当天17:00,17:02,郑州东,23:23
G2302/G2303,高速动车,温州南,10:21,金华南,当天11:43,11:46,贵阳北,19:41
G2306/G2307,高速动车,温州南,08:10,金华南,当天09:33,09:37,贵阳北,17:15
G2312/G2313,高速动车,温州南,07:19,金华南,当天08:41,08:43,长沙南,12:47
G2316/G2317,高速动车,温州南,14:30,金华南,当天15:53,15:56,长沙南,20:08
G2321/G2324,高速动车,南昌西,09:51,金华南,当天12:30,12:32,温州南,13:49
G2322/G2323,高速动车,温州南,14:15,金华南,当天15:43,15:46,南昌西,18:07
G2325/G2328,高速动车,南昌西,13:35,金华南,当天16:08,16:10,温州南,17:33
G2326/G2327,高速动车,温州南,09:07,金华南,当天10:35,10:38,南昌西,13:07
G4795,高速动车,金华南,13:34,金华南,当天13:34,13:34,萍乡北,17:19
G4796,高速动车,南昌西,10:21,金华南,当天13:05,13:05,金华南,13:05
G7179,高速动车,安庆,07:32,金华南,当天14:01,14:03,温州南,15:26
G7180,高速动车,温州南,12:43,金华南,当天14:05,14:07,安庆,20:48
G7322,高速动车,苍南,12:08,金华南,当天13:50,13:53,上海虹桥,15:44
G7323,高速动车,上海虹桥,17:53,金华南,当天20:06,20:08,温州南,21:38
G7329,高速动车,杭州东,06:08,金华南,当天07:01,07:01,金华南,07:01
G7330,高速动车,温州南,06:40,金华南,当天08:08,08:11,上海虹桥,10:07
G7331,高速动车,上海虹桥,06:13,金华南,当天08:09,08:11,温州南,09:41
G7332,高速动车,苍南,07:51,金华南,当天09:50,09:52,上海虹桥,11:51
G7333,高速动车,上海虹桥,06:30,金华南,当天08:24,08:26,温州南,09:56
G7334,高速动车,温州南,11:30,金华南,当天12:52,12:55,上海虹桥,15:08
G7338,高速动车,温州南,17:57,金华南,当天19:25,19:27,上海虹桥,21:28
G7340,高速动车,温州南,18:34,金华南,当天20:02,20:04,上海虹桥,22:04
G7341,高速动车,杭州东,06:15,金华南,当天07:07,07:09,苍南,09:09
G7343,高速动车,上海虹桥,19:04,金华南,当天21:07,21:10,苍南,23:08
G7346,高速动车,苍南,08:50,金华南,当天10:56,10:58,杭州东,11:55
G7379,高速动车,杭州东,11:07,金华南,当天12:09,12:11,丽水,12:59
G7380,高速动车,丽水,13:19,金华南,当天14:18,14:23,杭州东,15:18
G7591/G7594,高速动车,安庆,07:32,金华南,当天14:02,14:04,温州南,15:29
G7592/G7593,高速动车,温州南,12:43,金华南,当天14:05,14:07,安庆,20:48
G7615,高速动车,合肥南,15:34,金华南,当天19:07,19:09,温州南,20:45
G7621/G7624,高速动车,苍南,09:53,金华南,当天11:53,11:55,杭州东,12:49
G7622/G7623,高速动车,杭州东,17:36,金华南,当天18:41,18:43,苍南,21:04
G7625,高速动车,南京南,06:48,金华南,当天09:21,09:23,温州南,10:54
G7626,高速动车,温州南,15:45,金华南,当天17:21,17:26,南京南,19:48
