车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1397,高速动车,合肥南,08:28,绩溪北,当天09:59,10:02,昆明南,20:41
G1619,高速动车,合肥南,09:08,绩溪北,当天10:39,10:41,南昌西,13:21
G1673,高速动车,徐州东,06:58,绩溪北,当天10:10,10:12,厦门北,14:59
G1905/G1908,高速动车,郑州东,06:30,绩溪北,当天11:48,11:50,福州,15:00
G1906/G1907,高速动车,福州,15:22,绩溪北,当天18:03,18:05,郑州东,23:07
G270,高速动车,黄山北,14:38,绩溪北,当天14:52,14:54,北京南,21:06
G301,高速动车,北京南,10:40,绩溪北,当天16:55,16:57,福州,19:50
G321,高速动车,北京南,08:40,绩溪北,当天15:16,15:18,厦门北,20:07
G348,高速动车,福州,14:52,绩溪北,当天17:43,17:45,济南西,22:32
G351,高速动车,北京南,15:31,绩溪北,当天21:45,21:47,黄山北,22:02
G352,高速动车,黄山北,08:00,绩溪北,当天08:21,08:23,北京南,14:29
G355,高速动车,北京南,08:40,绩溪北,当天15:14,15:16,厦门北,20:07
G635,高速动车,合肥南,14:12,绩溪北,当天15:43,15:45,广州南,22:52
G636,高速动车,广州南,09:12,绩溪北,当天16:29,16:31,合肥南,17:57
G7401,高速动车,合肥南,08:22,绩溪北,当天09:46,09:48,黄山北,10:03
G7402,高速动车,黄山北,07:18,绩溪北,当天07:32,07:34,蚌埠南,10:14
G7405,高速动车,蚌埠南,14:40,绩溪北,当天17:21,17:23,黄山北,17:38
G7411,高速动车,合肥南,07:05,绩溪北,当天08:36,08:38,黄山北,08:53
G7413,高速动车,合肥南,07:50,绩溪北,当天09:14,09:16,黄山北,09:31
G7414,高速动车,黄山北,09:53,绩溪北,当天10:07,10:09,合肥南,11:41
G7416,高速动车,黄山北,13:55,绩溪北,当天14:16,14:18,合肥南,15:50
G7417,高速动车,合肥南,13:05,绩溪北,当天14:36,14:38,黄山北,14:53
G7419,高速动车,合肥南,16:30,绩溪北,当天18:12,18:16,黄山北,18:31
G7420,高速动车,黄山北,19:00,绩溪北,当天19:21,19:23,合肥南,20:48
G7422,高速动车,黄山北,21:05,绩溪北,当天21:19,21:21,合肥南,22:39
G927,高速动车,北京南,10:40,绩溪北,当天16:55,16:57,福州,19:58
G9495,高速动车,合肥南,13:37,绩溪北,当天14:55,15:06,黄山北,15:21
G9497,高速动车,合肥南,18:30,绩溪北,当天20:04,20:07,黄山北,20:22
G9498,高速动车,黄山北,20:39,绩溪北,当天20:53,20:55,合肥南,22:20
G9512,高速动车,黄山北,20:15,绩溪北,当天20:29,20:31,合肥南,21:49
G9523,高速动车,合肥南,18:04,绩溪北,当天19:35,19:37,黄山北,19:52
G9524,高速动车,黄山北,20:12,绩溪北,当天20:26,20:28,合肥南,22:00
