车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
C2302,城际高速,于家堡,10:13,军粮城北,当天10:27,10:28,天津,10:40
C2303,城际高速,天津,11:12,军粮城北,当天11:24,11:25,于家堡,11:46
C2304,城际高速,于家堡,12:11,军粮城北,当天12:31,12:32,天津,12:44
C2306,城际高速,于家堡,13:50,军粮城北,当天14:10,14:11,天津,14:23
C2318,城际高速,于家堡,10:55,军粮城北,当天11:09,11:10,天津,11:22
C2324,城际高速,于家堡,15:25,军粮城北,当天15:39,15:40,天津,15:52
C2328,城际高速,于家堡,18:20,军粮城北,当天18:40,18:41,天津,18:53
C2333,城际高速,天津,09:03,军粮城北,当天09:15,09:16,于家堡,09:37
C2335,城际高速,天津,14:26,军粮城北,当天14:38,14:39,于家堡,15:00
C2583,城际高速,北京南,08:44,军粮城北,当天09:33,09:34,于家堡,09:55
C2588,城际高速,于家堡,14:49,军粮城北,当天15:09,15:10,北京南,16:00
C2591,城际高速,北京南,18:22,军粮城北,当天19:09,19:10,于家堡,19:31
C2598,城际高速,于家堡,17:29,军粮城北,当天17:54,17:55,北京南,18:45
D6727/D6730,动车组,秦皇岛,12:34,军粮城北,当天13:59,14:02,石家庄,17:00
G1234/G1235,高速动车,长春,10:29,军粮城北,当天16:11,16:13,上海虹桥,22:05
G1252/G1253,高速动车,上海虹桥,11:20,军粮城北,当天17:24,17:26,大连北,22:01
G1275/G1278,高速动车,武汉,08:55,军粮城北,当天15:48,15:50,哈尔滨西,22:08
G1297/G1300,高速动车,沈阳,13:23,军粮城北,当天17:12,17:14,石家庄,19:42
G2605/G2608,高速动车,秦皇岛,14:01,军粮城北,当天15:26,15:28,太原南,19:16
G389/G392,高速动车,大连北,15:01,军粮城北,当天19:38,19:40,济南西,21:36
G4256/G4257,高速动车,烟台,06:42,军粮城北,当天13:27,13:32,丹东,19:49
G6272/G6273,高速动车,邯郸东,09:56,军粮城北,当天13:15,13:17,秦皇岛,14:43
G6278/G6279,高速动车,石家庄,08:10,军粮城北,当天10:18,10:21,秦皇岛,11:27
G6280/G6281,高速动车,秦皇岛,11:50,军粮城北,当天12:56,13:00,邯郸东,16:25
G6286/G6287,高速动车,秦皇岛,13:52,军粮城北,当天15:03,15:05,邯郸东,18:04
G6781,高速动车,天津西,08:42,军粮城北,当天08:59,09:01,唐山,09:33
G8918,高速动车,唐山,07:56,军粮城北,当天08:20,08:22,北京南,09:28
