车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
4971/4974,普快,西安,10:58,旬阳北,当天14:10,14:14,汉中,21:57
4972,普快,汉中,08:15,旬阳北,当天13:52,13:54,西安,16:38
K1031/K1034,快速,贵阳,18:40,旬阳北,第2日14:25,14:27,西安,17:15
K1032/K1033,快速,西安,18:30,旬阳北,当天22:01,22:04,贵阳,16:52
K1571/K1574,快速,重庆北,14:57,旬阳北,当天22:21,22:23,长春,11:30
K4025/K4028,快速,重庆,22:26,旬阳北,第2日08:16,08:21,西安,12:10
K690,快速,重庆北,07:47,旬阳北,当天15:14,15:17,太原,05:22
K8175/K8178,快速,安康,09:30,旬阳北,当天10:14,10:18,西安,13:23
K8176/K8177,快速,西安,14:30,旬阳北,当天17:43,17:49,安康,18:34
K8184,快速,安康,17:46,旬阳北,当天18:29,18:40,神木,10:00
K8194,快速,安康,12:30,旬阳北,当天13:13,13:17,西安,16:05
K8204,快速,安康,18:45,旬阳北,当天19:29,19:39,神木,09:12
K8205/K8208,快速,安康,08:37,旬阳北,当天09:21,09:26,宝鸡,14:38
K8206/K8207,快速,西安,17:58,旬阳北,当天21:26,21:30,安康,22:12
K8218,快速,安康,15:05,旬阳北,当天15:49,15:55,西安,18:45
K8233/K8236,快速,西安,11:10,旬阳北,当天14:48,14:52,汉中,22:13
K8234,快速,汉中,08:12,旬阳北,当天13:52,13:54,西安,16:33
K8245/K8248,快速,西安,07:53,旬阳北,当天10:48,10:50,安康,11:33
K8246/K8247,快速,安康,18:33,旬阳北,当天19:16,19:19,西安,22:30
