车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3155/3158,普快,奎屯,16:51,奎屯,当天16:51,16:51,信阳,03:40
3398,普快,奎屯,20:11,奎屯,当天20:11,20:11,成都,22:00
5801,普快,乌鲁木齐,22:36,奎屯,第2日03:02,03:08,阿拉山口,07:38
5802/X802,普快,阿拉山口,23:12,奎屯,第2日04:03,04:09,乌鲁木齐,08:58
5815,普快,乌鲁木齐南,21:21,奎屯,第2日00:27,00:35,伊宁,07:00
5816,普快,伊宁,21:38,奎屯,第2日04:47,04:55,乌鲁木齐南,08:47
K4349/K4352,快速,奎屯,10:29,奎屯,当天10:29,10:29,成都,19:25
K4350/K4351,快速,成都,03:55,奎屯,第3日09:23,09:23,奎屯,09:23
K6701,快速,乌鲁木齐南,23:55,奎屯,第2日03:01,03:09,伊宁,09:20
K6702,快速,伊宁,20:29,奎屯,第2日03:36,03:44,乌鲁木齐南,07:00
K6703,快速,乌西,18:39,奎屯,当天21:36,21:52,北屯市,08:30
K6711,快速,乌西,17:10,奎屯,当天21:14,21:34,北屯市,06:02
K6712,快速,北屯市,19:07,奎屯,第2日03:11,03:38,伊宁,10:35
K6714,快速,伊宁,21:03,奎屯,第2日02:57,03:08,乌西,06:00
K6724,快速,和田,13:50,奎屯,第2日21:53,22:08,伊宁,09:13
K9749,快速,乌鲁木齐,20:49,奎屯,当天23:27,23:38,阿勒泰,07:30
K9750,快速,阿勒泰,19:32,奎屯,第2日03:42,03:55,乌鲁木齐,06:38
K9751,快速,乌鲁木齐南,12:43,奎屯,当天16:06,16:06,奎屯,16:06
K9752,快速,奎屯,12:40,奎屯,当天12:40,12:40,乌鲁木齐南,15:40
K9761,快速,乌鲁木齐,16:04,奎屯,当天18:32,18:36,伊宁,22:30
K9762,快速,伊宁,08:25,奎屯,当天12:29,12:36,乌鲁木齐,15:21
K9763,快速,乌鲁木齐,16:10,奎屯,当天19:03,19:09,阿拉山口,22:09
K9764,快速,阿拉山口,09:04,奎屯,当天11:51,11:57,乌鲁木齐,15:03
K9765,快速,乌鲁木齐,19:02,奎屯,当天22:19,22:43,霍尔果斯,07:42
K9766,快速,霍尔果斯,21:30,奎屯,第2日06:57,07:12,乌鲁木齐,10:52
K9767/K9770,快速,库尔勒,14:56,奎屯,第2日00:27,00:39,伊宁,07:26
K9789,快速,乌鲁木齐,20:07,奎屯,当天22:59,23:05,霍尔果斯,07:43
K9790,快速,霍尔果斯,20:00,奎屯,第2日03:05,03:13,乌鲁木齐,06:30
K9791,快速,乌鲁木齐,23:55,奎屯,第2日02:23,02:29,阿勒泰,08:54
K9792,快速,阿勒泰,22:29,奎屯,第2日04:51,04:57,乌鲁木齐,07:28
K9793,快速,乌鲁木齐,22:56,奎屯,第2日01:53,02:01,伊宁,08:31
K9794,快速,伊宁,21:00,奎屯,第2日02:36,02:43,乌鲁木齐,06:05
T9501,空调特快,乌鲁木齐,23:02,奎屯,第2日01:15,01:23,伊宁,06:49
T9502,空调特快,伊宁,23:07,奎屯,第2日03:37,03:45,乌鲁木齐,06:02
T9503,空调特快,乌鲁木齐,08:50,奎屯,当天11:02,11:06,伊宁,14:48
T9504,空调特快,伊宁,15:53,奎屯,当天19:35,19:39,乌鲁木齐,21:48
T9509,空调特快,乌鲁木齐,17:06,奎屯,当天19:18,19:22,伊宁,23:04
T9510,空调特快,伊宁,08:36,奎屯,当天12:18,12:22,乌鲁木齐,14:34
T9511,空调特快,乌鲁木齐,19:56,奎屯,当天22:17,22:37,北屯市,07:00
T9512,空调特快,北屯市,08:48,奎屯,当天16:27,16:47,乌鲁木齐,19:28
T9515/T9518,空调特快,喀什,17:34,奎屯,第2日12:54,13:03,伊宁,16:54
T9516/T9517,空调特快,伊宁,09:30,奎屯,当天13:12,13:23,喀什,09:29
T9519,空调特快,乌鲁木齐,10:53,奎屯,当天13:05,13:09,伊宁,17:31
T9561,空调特快,乌鲁木齐南,10:58,奎屯,当天13:32,13:32,奎屯,13:32
