车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
K6105/K6108,快速,蒙自,18:50,昆阳,当天22:01,22:03,昆明,22:57
K6106/K6107,快速,昆明,14:00,昆阳,当天14:51,14:53,蒙自,17:36
K6132/K6133,快速,昆明,11:18,昆阳,当天12:19,12:31,蒙自北,15:58
K6134,快速,河口北,08:30,昆阳,当天13:01,13:03,昆明,13:51
K6136/K6137,快速,昆明,14:00,昆阳,当天14:52,14:54,河口北,19:31
K9692/K9693/K9694,快速,河口北,17:00,昆阳,当天21:29,21:31,大理,07:02
K9811/K9814,快速,蒙自,12:25,昆阳,当天15:11,15:13,昆明,16:07
K9812/K9813,快速,昆明,07:51,昆阳,当天08:40,08:42,蒙自,11:43
K9815/K9818,快速,河口北,07:00,昆阳,当天11:30,11:32,昆明,12:40
K9822/K9823,快速,昆明,16:08,昆阳,当天16:57,16:59,河口北,21:30
K9825/K9828,快速,河口北,09:40,昆阳,当天14:39,14:41,昆明,15:31
K9826/K9827,快速,昆明,12:30,昆阳,当天13:19,13:21,河口北,18:37
K9832/K9833,快速,昆明,10:52,昆阳,当天11:41,11:43,河口北,16:14
