车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D4501/D4504,动车组,西安北,15:42,兰考南,当天19:33,19:35,上海,00:17
D9261,动车组,商丘,13:35,兰考南,当天14:17,14:19,洛阳龙门,15:51
D9262,动车组,郑州东,11:30,兰考南,当天12:11,12:13,商丘,12:37
D9264,动车组,洛阳龙门,16:52,兰考南,当天18:24,18:26,商丘,18:50
D9270,动车组,灵宝西,17:08,兰考南,当天19:32,19:34,商丘,20:05
D9271,动车组,商丘,20:36,兰考南,当天21:05,21:07,郑州东,21:40
D9272,动车组,洛阳龙门,14:42,兰考南,当天16:06,16:08,商丘,16:39
D9273/D9276,动车组,焦作,18:20,兰考南,当天20:23,20:26,商丘,20:58
D9274/D9275,动车组,商丘,07:22,兰考南,当天07:51,07:53,焦作,09:33
G1533,高速动车,徐州东,09:00,兰考南,当天10:24,10:36,贵阳北,19:35
G1559,高速动车,北京西,09:13,兰考南,当天13:08,13:19,商丘,13:48
G1560/G1561,高速动车,商丘,07:13,兰考南,当天07:43,07:45,北京西,12:19
G1805/G1808,高速动车,许昌东,07:53,兰考南,当天08:54,08:57,上海虹桥,13:25
G1814/G1815,高速动车,上海虹桥,13:45,兰考南,当天18:16,18:18,郑州东,18:56
G1817/G1820,高速动车,郑州东,13:15,兰考南,当天13:46,13:58,上海虹桥,18:08
G1818/G1819,高速动车,上海虹桥,14:40,兰考南,当天18:57,18:59,郑州东,19:30
G1865/G1868,高速动车,郑州东,14:41,兰考南,当天15:12,15:16,宁波,21:38
G1866/G1867,高速动车,宁波,06:25,兰考南,当天13:20,13:22,郑州东,13:54
G1874/G1875,高速动车,杭州东,07:15,兰考南,当天11:37,11:39,兰州西,18:14
G1889/G1892,高速动车,郑州东,08:07,兰考南,当天08:38,08:40,杭州东,13:20
G1905/G1908,高速动车,郑州东,06:30,兰考南,当天07:01,07:04,福州,15:00
G1906/G1907,高速动车,福州,15:22,兰考南,当天22:25,22:34,郑州东,23:07
G1911/G1914,高速动车,西安北,06:23,兰考南,当天09:21,09:23,上海虹桥,13:20
G1920/G1921,高速动车,上海虹桥,09:18,兰考南,当天13:38,13:40,西安北,16:56
G1923/G1926,高速动车,西安北,12:22,兰考南,当天15:24,15:26,上海虹桥,19:27
G1927/G1930,高速动车,兰州西,10:37,兰考南,当天16:51,16:54,上海虹桥,21:09
G1928/G1929,高速动车,上海虹桥,12:56,兰考南,当天17:25,17:27,西安北,20:26
G1940/G1941,高速动车,上海虹桥,17:05,兰考南,当天20:54,20:56,西安北,23:36
G1981,高速动车,徐州东,06:40,兰考南,当天08:18,08:20,西安北,11:43
G2009,高速动车,商丘,16:16,兰考南,当天16:38,16:40,西安北,19:35
G2023,高速动车,商丘,08:17,兰考南,当天08:47,08:49,兰州西,15:22
G4309/G4312,高速动车,郑州东,20:03,兰考南,当天20:34,20:36,上海虹桥,00:46
G4310/G4311,高速动车,上海虹桥,01:10,兰考南,当天05:07,05:09,郑州东,05:43
G4313/G4316,高速动车,郑州东,20:27,兰考南,当天20:58,21:00,杭州东,00:45
G4318/G4319,高速动车,上海虹桥,15:18,兰考南,当天19:45,19:47,西安北,22:45
G4321/G4324,高速动车,西安北,16:50,兰考南,当天20:09,20:11,上海虹桥,00:24
G4322/G4323,高速动车,上海虹桥,00:54,兰考南,当天04:35,04:37,西安北,07:40
G4337/G4340,高速动车,西安北,03:48,兰考南,当天06:16,06:18,上海虹桥,11:12
G4537,高速动车,商丘,08:13,兰考南,当天08:42,08:45,信阳东,11:15
G4538,高速动车,信阳东,11:49,兰考南,当天14:10,14:12,商丘,14:43
G4701/G4704,高速动车,郑州东,05:45,兰考南,当天06:16,06:18,上海虹桥,11:12
G4702/G4703,高速动车,上海虹桥,12:26,兰考南,当天18:16,18:19,郑州东,18:52
G6603,高速动车,商丘,13:29,兰考南,当天13:59,14:01,许昌东,15:14
G6605,高速动车,商丘,06:20,兰考南,当天06:51,06:53,郑州东,07:33
G6606,高速动车,郑州东,21:18,兰考南,当天21:58,22:01,商丘,22:34
G6611,高速动车,商丘,14:32,兰考南,当天15:02,15:04,郑州,16:00
G801/G804,高速动车,北京西,09:15,兰考南,当天13:02,13:04,商丘,13:36
G9202,高速动车,郑州东,07:01,兰考南,当天07:42,07:44,商丘,08:08
G9204,高速动车,洛阳龙门,10:34,兰考南,当天12:12,12:14,商丘,12:38
G9206,高速动车,洛阳龙门,15:55,兰考南,当天17:19,17:21,商丘,17:45
