车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7101/D7102,动车组,三亚,08:05,老城镇,当天10:16,10:17,三亚,12:45
D7110,动车组,三亚,18:12,老城镇,当天20:19,20:20,三亚,22:42
D7114,动车组,海口东,14:15,老城镇,当天14:37,14:38,海口东,19:06
D7116,动车组,海口东,16:40,老城镇,当天17:02,17:03,海口东,21:18
D7118,动车组,海口东,19:00,老城镇,当天19:22,19:23,海口东,23:44
D7128/D7129,动车组,海口东,19:30,老城镇,当天19:59,20:01,三亚,22:24
D7130,动车组,三亚,16:25,老城镇,当天18:44,18:45,海口东,19:15
D7143/D7144,动车组,三亚,08:13,老城镇,当天10:39,10:40,三亚,13:51
D7185/D7186,动车组,三亚,14:20,老城镇,当天17:20,17:21,三亚,19:47
D7204,动车组,三亚,09:18,老城镇,当天11:51,11:52,海口,12:04
D7208,动车组,三亚,15:12,老城镇,当天17:35,17:36,海口,17:48
D7221,动车组,海口,08:11,老城镇,当天08:22,08:23,三亚,11:14
D7222,动车组,三亚,11:40,老城镇,当天14:30,14:31,海口,14:43
D7223,动车组,海口,14:58,老城镇,当天15:09,15:10,三亚,18:05
D7224,动车组,三亚,18:20,老城镇,当天21:10,21:11,海口,21:23
D7225,动车组,海口,18:55,老城镇,当天19:06,19:07,三亚,21:58
D7287,动车组,海口,17:30,老城镇,当天17:41,17:42,三亚,20:06
