车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
T21/T24,空调特快,拉萨,11:05,拉萨,当天11:05,11:05,成都,08:16
T22/T23,空调特快,成都,20:45,拉萨,第3日13:56,13:56,拉萨,13:56
T221/T224,空调特快,拉萨,11:05,拉萨,当天11:05,11:05,重庆北,08:13
T222/T223,空调特快,重庆北,20:28,拉萨,第3日13:56,13:56,拉萨,13:56
Z163/Z166,直达特快,拉萨,11:15,拉萨,当天11:15,11:15,上海,11:51
Z164/Z165,直达特快,上海,20:10,拉萨,第3日19:20,19:20,拉萨,19:20
Z21,直达特快,北京西,20:00,拉萨,第3日12:10,12:10,拉萨,12:10
Z22,直达特快,拉萨,16:10,拉萨,当天16:10,16:10,北京西,08:28
Z221/Z224,直达特快,拉萨,18:20,拉萨,当天18:20,18:20,重庆北,13:46
Z222/Z223,直达特快,重庆北,15:42,拉萨,第3日09:55,09:55,拉萨,09:55
Z263/Z266,直达特快,拉萨,13:00,拉萨,当天13:00,13:00,广州,20:00
Z264/Z265,直达特快,广州,11:45,拉萨,第3日17:05,17:05,拉萨,17:05
Z321/Z324,直达特快,拉萨,18:20,拉萨,当天18:20,18:20,成都,14:26
Z322,直达特快,成都,14:48,拉萨,第3日09:55,09:55,拉萨,09:55
Z323,直达特快,成都,14:48,拉萨,第3日09:55,09:55,拉萨,09:55
Z6801,直达特快,西宁,14:01,拉萨,第2日11:10,11:10,拉萨,11:10
Z6802,直达特快,拉萨,08:50,拉萨,当天08:50,08:50,西宁,06:43
Z6811,直达特快,西宁,20:30,拉萨,第2日18:10,18:10,拉萨,18:10
Z6812,直达特快,拉萨,17:10,拉萨,当天17:10,17:10,西宁,14:22
Z8801,直达特快,拉萨,08:30,拉萨,当天08:30,08:30,日喀则,11:25
Z8802,直达特快,日喀则,18:40,拉萨,当天21:33,21:33,拉萨,21:33
Z8803,直达特快,拉萨,15:20,拉萨,当天15:20,15:20,日喀则,17:59
Z8804,直达特快,日喀则,12:05,拉萨,当天14:40,14:40,拉萨,14:40
Z917,直达特快,兰州,11:16,拉萨,第2日11:10,11:10,拉萨,11:10
Z918,直达特快,拉萨,08:50,拉萨,当天08:50,08:50,兰州,09:24
Z9802,直达特快,日喀则,16:00,拉萨,当天18:53,18:53,拉萨,18:53
Z9815,直达特快,西宁,22:25,拉萨,第2日20:20,20:20,拉萨,20:20
Z9816,直达特快,拉萨,10:10,拉萨,当天10:10,10:10,西宁,08:15
Z9903,直达特快,拉萨,21:25,拉萨,当天21:25,21:25,日喀则,23:59
Z9904,直达特快,日喀则,08:40,拉萨,当天11:26,11:26,拉萨,11:26
Z9983,直达特快,拉萨,09:30,拉萨,当天09:30,09:30,日喀则,12:09
Z9984,直达特快,日喀则,17:30,拉萨,当天20:05,20:05,拉萨,20:05
