车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
7273,普慢,益阳,07:12,冷水江东,当天11:12,11:17,怀化,16:35
7274,普慢,新晃,09:30,冷水江东,当天16:11,16:14,益阳,20:26
K333/K336,快速,厦门,18:40,冷水江东,第2日13:59,14:02,重庆北,05:30
K337,快速,郑州,19:52,冷水江东,第2日11:48,11:51,昆明,05:58
K577/K580,快速,长沙,14:22,冷水江东,当天18:17,18:20,成都东,11:30
K6674,快速,怀化,09:40,冷水江东,当天12:49,12:53,长沙,17:19
K721/K724,快速,昆明,18:53,冷水江东,第2日13:29,13:32,南通,11:15
K9013,快速,长沙,11:28,冷水江东,当天14:56,14:59,怀化,18:30
K9014,快速,怀化,08:50,冷水江东,当天12:09,12:12,长沙,15:50
K9059/K9062,快速,怀化,13:17,冷水江东,当天16:45,16:48,深圳西,06:50
K9068/K9069,快速,肇庆,18:46,冷水江东,第2日07:45,07:49,张家界,14:55
K946/K947,快速,厦门,20:15,冷水江东,第2日18:36,18:40,贵阳,05:13
T8303,空调特快,长沙,11:28,冷水江东,当天14:57,14:59,怀化,18:26
T8304,空调特快,怀化,08:50,冷水江东,当天12:05,12:08,长沙,15:50
Z161,直达特快,北京西,12:34,冷水江东,第2日06:01,06:04,昆明,22:31
Z162,直达特快,昆明,21:05,冷水江东,第2日13:15,13:17,北京西,06:52
