车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2602/D2603,动车组,长沙南,16:22,醴陵东,当天16:48,16:53,福州,22:20
G1303,高速动车,上海虹桥,14:10,醴陵东,当天19:15,19:17,广州南,22:45
G1305,高速动车,上海虹桥,15:25,醴陵东,当天20:12,20:14,广州南,23:20
G1321,高速动车,上海虹桥,06:25,醴陵东,当天11:30,11:32,贵阳北,15:38
G1322,高速动车,贵阳北,09:07,醴陵东,当天13:05,13:10,上海虹桥,18:22
G1327,高速动车,上海虹桥,11:39,醴陵东,当天16:58,17:00,贵阳北,21:04
G1328,高速动车,贵阳北,11:54,醴陵东,当天15:56,15:58,上海虹桥,21:42
G1346,高速动车,长沙南,08:00,醴陵东,当天08:24,08:26,上海虹桥,13:18
G1352,高速动车,长沙南,10:38,醴陵东,当天11:02,11:04,上海虹桥,16:06
G1358,高速动车,长沙南,14:41,醴陵东,当天15:05,15:07,上海虹桥,19:40
G1364,高速动车,长沙南,16:42,醴陵东,当天17:06,17:08,上海虹桥,22:20
G1369,高速动车,上海虹桥,12:40,醴陵东,当天17:49,17:51,怀化南,20:10
G1405,高速动车,上饶,11:18,醴陵东,当天14:10,14:16,广州南,17:28
G1406,高速动车,广州南,17:56,醴陵东,当天21:26,21:28,南昌西,22:43
G1408,高速动车,广州南,06:23,醴陵东,当天09:33,09:35,南昌西,10:51
G1431/G1434,高速动车,长沙南,09:50,醴陵东,当天10:14,10:16,宁波,15:41
G1483,高速动车,南京南,15:18,醴陵东,当天21:14,21:16,长沙南,21:41
G1685/G1688,高速动车,厦门北,09:21,醴陵东,当天16:17,16:19,贵阳北,20:29
G2302/G2303,高速动车,温州南,10:21,醴陵东,当天15:32,15:34,贵阳北,19:41
G2316/G2317,高速动车,温州南,14:30,醴陵东,当天19:41,19:43,长沙南,20:08
G2331/G2334,高速动车,贵阳北,08:55,醴陵东,当天12:55,12:57,宁波,19:05
G2332/G2333,高速动车,宁波,07:50,醴陵东,当天13:36,13:49,贵阳北,17:52
G2342/G2343,高速动车,宁波,09:08,醴陵东,当天15:11,15:13,南宁东,21:47
G2351/G2354,高速动车,长沙南,14:04,醴陵东,当天14:28,14:30,宁波,20:30
G2365,高速动车,上海虹桥,07:12,醴陵东,当天12:37,12:44,邵阳,14:52
G2366,高速动车,邵阳,15:25,醴陵东,当天17:40,17:42,上海虹桥,22:52
G4741,高速动车,上海虹桥,06:15,醴陵东,当天11:39,11:48,怀化南,14:30
G4743,高速动车,杭州东,07:36,醴陵东,当天12:51,13:08,怀化南,15:31
G4744,高速动车,怀化南,15:25,醴陵东,当天18:02,18:04,杭州东,22:51
G4831,高速动车,杭州东,06:01,醴陵东,当天10:17,10:19,贵阳北,14:37
G4837,高速动车,南京南,05:59,醴陵东,当天11:30,11:32,怀化南,13:43
G491/G494,高速动车,北京西,12:33,醴陵东,当天20:44,20:46,南昌西,22:15
G4937,高速动车,上海虹桥,03:37,醴陵东,当天08:31,08:33,长沙南,08:58
G4938,高速动车,长沙南,19:16,醴陵东,当天19:40,19:42,上海虹桥,00:44
G636,高速动车,广州南,09:12,醴陵东,当天12:16,12:18,合肥南,17:57
G637,高速动车,南昌西,07:38,醴陵东,当天09:08,09:10,深圳北,13:10
