车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7101/D7102,动车组,三亚,08:05,临高南,当天10:34,10:35,三亚,12:45
D7103/D7104,动车组,三亚,09:25,临高南,当天11:49,11:50,三亚,14:19
D7112,动车组,海口东,08:00,临高南,当天08:35,08:36,海口东,12:45
D7114,动车组,海口东,14:15,临高南,当天14:55,14:56,海口东,19:06
D7116,动车组,海口东,16:40,临高南,当天17:20,17:21,海口东,21:18
D7118,动车组,海口东,19:00,临高南,当天19:40,19:41,海口东,23:44
D7119/D7122,动车组,海口东,11:20,临高南,当天12:03,12:04,三亚,14:48
D7120/D7121,动车组,海口东,11:20,临高南,当天12:03,12:04,三亚,14:48
D7123/D7124,动车组,海口东,19:29,临高南,当天20:12,20:13,三亚,22:57
D7128/D7129,动车组,海口东,19:30,临高南,当天20:17,20:19,三亚,22:24
D7130,动车组,三亚,16:25,临高南,当天18:26,18:28,海口东,19:15
D7141/D7142,动车组,三亚,13:58,临高南,当天16:39,16:40,三亚,19:28
D7143/D7144,动车组,三亚,08:13,临高南,当天11:01,11:02,三亚,13:51
D7151/D7152,动车组,三亚,07:20,临高南,当天09:26,09:27,三亚,12:00
D7154,动车组,三亚,10:25,临高南,当天12:31,12:32,三亚,15:04
D7161/D7162,动车组,三亚,08:15,临高南,当天10:21,10:22,三亚,12:52
D7165/D7166,动车组,海口东,17:40,临高南,当天21:11,21:12,海口东,21:56
D7167,动车组,海口东,18:10,临高南,当天22:15,22:16,海口东,22:55
D7183/D7184,动车组,三亚,08:14,临高南,当天10:57,10:58,三亚,13:41
D7185/D7186,动车组,三亚,14:20,临高南,当天17:03,17:04,三亚,19:47
D7188,动车组,三亚,07:30,临高南,当天10:16,10:17,海口东,10:59
D7190,动车组,三亚,15:10,临高南,当天17:56,17:57,海口东,18:39
D7202,动车组,三亚,06:50,临高南,当天08:50,08:51,海口,09:15
D7203,动车组,海口,09:30,临高南,当天09:54,09:55,三亚,12:12
D7206,动车组,三亚,12:30,临高南,当天14:41,14:42,海口,15:06
D7207,动车组,海口,15:21,临高南,当天15:45,15:46,三亚,17:56
D7208,动车组,三亚,15:12,临高南,当天17:18,17:19,海口,17:48
D7209,动车组,海口,18:05,临高南,当天18:29,18:30,三亚,20:36
D7210,动车组,三亚,18:20,临高南,当天20:32,20:33,海口,21:02
D7211,动车组,海口,21:34,临高南,当天21:58,21:59,三亚,23:55
D7214,动车组,三亚,11:30,临高南,当天13:36,13:37,海口,14:06
D7221,动车组,海口,08:11,临高南,当天08:40,08:41,三亚,11:14
D7222,动车组,三亚,11:40,临高南,当天14:13,14:14,海口,14:43
D7223,动车组,海口,14:58,临高南,当天15:27,15:28,三亚,18:05
D7224,动车组,三亚,18:20,临高南,当天20:53,20:54,海口,21:23
