车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7101/D7102,动车组,三亚,08:05,陵水,当天08:26,08:27,三亚,12:45
D7103/D7104,动车组,三亚,09:25,陵水,当天09:46,09:47,三亚,14:19
D7110,动车组,三亚,18:12,陵水,当天18:33,18:35,三亚,22:42
D7112,动车组,海口东,08:00,陵水,当天11:17,11:18,海口东,12:45
D7114,动车组,海口东,14:15,陵水,当天17:35,17:36,海口东,19:06
D7116,动车组,海口东,16:40,陵水,当天20:04,20:05,海口东,21:18
D7118,动车组,海口东,19:00,陵水,当天22:25,22:26,海口东,23:44
D7141/D7142,动车组,三亚,13:58,陵水,当天14:21,14:22,三亚,19:28
D7143/D7144,动车组,三亚,08:13,陵水,当天08:36,08:37,三亚,13:51
D7151/D7152,动车组,三亚,07:20,陵水,当天11:34,11:36,三亚,12:00
D7154,动车组,三亚,10:25,陵水,当天14:39,14:40,三亚,15:04
D7161/D7162,动车组,三亚,08:15,陵水,当天12:22,12:23,三亚,12:52
D7165/D7166,动车组,海口东,17:40,陵水,当天18:49,18:50,海口东,21:56
D7183/D7184,动车组,三亚,08:14,陵水,当天13:16,13:17,三亚,13:41
D7185/D7186,动车组,三亚,14:20,陵水,当天19:22,19:23,三亚,19:47
D7301,动车组,海口,06:48,陵水,当天08:15,08:16,三亚,08:45
D7302,动车组,三亚,06:45,陵水,当天07:06,07:07,海口,08:42
D7305,动车组,海口东,07:48,陵水,当天08:58,08:59,三亚,09:30
D7306,动车组,三亚,07:25,陵水,当天07:52,07:53,海口东,09:07
D7307,动车组,海口,08:00,陵水,当天09:43,09:44,三亚,10:08
D7308,动车组,三亚,07:44,陵水,当天08:05,08:06,海口东,09:29
D7309,动车组,海口东,08:50,陵水,当天10:00,10:02,三亚,10:25
D7310,动车组,三亚,08:25,陵水,当天08:52,08:53,海口东,10:11
D7313,动车组,海口东,09:33,陵水,当天10:47,10:48,三亚,11:13
D7314,动车组,三亚,09:48,陵水,当天10:09,10:10,海口东,11:29
D7319,动车组,海口,11:01,陵水,当天12:33,12:35,三亚,12:59
D7321,动车组,海口东,11:30,陵水,当天12:49,12:50,三亚,13:20
D7322,动车组,三亚,12:15,陵水,当天12:42,12:43,海口东,13:57
D7323,动车组,海口东,11:48,陵水,当天13:08,13:10,三亚,13:35
D7324,动车组,三亚,12:38,陵水,当天12:59,13:00,海口东,14:17
D7327,动车组,海口东,12:30,陵水,当天13:45,13:46,三亚,14:11
D7328,动车组,三亚,13:14,陵水,当天13:35,13:36,海口,15:15
D7330,动车组,三亚,13:35,陵水,当天13:56,13:57,海口东,15:15
D7331,动车组,海口东,13:43,陵水,当天14:58,15:00,三亚,15:25
D7335,动车组,海口东,15:03,陵水,当天16:18,16:20,三亚,16:45
D7336,动车组,三亚,15:00,陵水,当天15:21,15:22,海口东,16:41
D7338,动车组,三亚,15:20,陵水,当天15:41,15:42,海口,17:18
D7339,动车组,海口东,16:10,陵水,当天17:30,17:32,三亚,17:57
D7340,动车组,三亚,15:40,陵水,当天16:01,16:02,海口东,17:25
D7343,动车组,海口,17:33,陵水,当天19:11,19:13,三亚,19:37
D7344,动车组,三亚,16:33,陵水,当天16:54,16:55,海口东,18:19
D7345,动车组,海口东,18:35,陵水,当天19:51,19:52,三亚,20:17
D7346,动车组,三亚,17:00,陵水,当天17:26,17:27,海口东,18:41
D7349,动车组,海口东,19:43,陵水,当天20:58,20:59,三亚,21:30
D7350,动车组,三亚,18:35,陵水,当天18:56,18:57,海口东,20:21
D7351,动车组,海口东,20:15,陵水,当天21:35,21:36,三亚,22:01
D7352,动车组,三亚,18:52,陵水,当天19:18,19:19,海口,20:56
D7353,动车组,海口东,20:40,陵水,当天21:55,21:56,三亚,22:21
D7355,动车组,海口东,21:08,陵水,当天22:19,22:20,三亚,22:45
D7357,动车组,海口,21:11,陵水,当天22:53,22:54,三亚,23:18
D7358,动车组,三亚,20:32,陵水,当天20:53,20:54,海口东,22:07
D7359,动车组,海口东,21:55,陵水,当天23:10,23:12,三亚,23:35
D7360,动车组,三亚,21:00,陵水,当天21:27,21:28,海口,23:04
D7361,动车组,海口东,22:11,陵水,当天23:20,23:22,三亚,23:45
D7362,动车组,三亚,21:30,陵水,当天21:51,21:52,海口东,23:04
D7363,动车组,海口东,17:40,陵水,当天19:00,19:01,三亚,19:23
D7366,动车组,三亚,09:15,陵水,当天09:38,09:40,海口东,11:05
D7367,动车组,海口,14:55,陵水,当天16:28,16:29,三亚,16:53
D7369,动车组,海口东,07:50,陵水,当天09:20,09:21,三亚,09:45
D7370,动车组,三亚,17:35,陵水,当天17:58,17:59,海口东,19:30
D7372,动车组,三亚,08:15,陵水,当天08:41,08:42,海口东,10:05
D7373,动车组,海口东,15:10,陵水,当天16:30,16:32,三亚,16:57
D7374,动车组,三亚,12:44,陵水,当天13:11,13:12,海口东,14:30
D7376,动车组,三亚,09:00,陵水,当天09:23,09:24,海口东,10:50
D7377,动车组,海口东,11:11,陵水,当天12:36,12:37,三亚,13:01
D7378,动车组,三亚,17:55,陵水,当天18:18,18:19,海口东,19:50
D7380,动车组,三亚,18:18,陵水,当天18:41,18:42,海口东,20:13
D7382,动车组,三亚,14:00,陵水,当天14:25,14:26,海口东,16:05
D7383,动车组,海口东,13:25,陵水,当天14:55,14:56,三亚,15:25
D7384,动车组,三亚,14:40,陵水,当天15:03,15:04,海口东,16:35
D7385,动车组,海口,16:30,陵水,当天18:13,18:14,三亚,18:38
D7387,动车组,海口,19:30,陵水,当天21:15,21:16,三亚,21:40
D7398,动车组,三亚,09:40,陵水,当天10:11,10:12,海口,12:05
