车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2707,动车组,兰州西,09:30,临泽南,当天13:05,13:07,乌鲁木齐,21:16
D2713,动车组,兰州西,11:20,临泽南,当天14:53,14:55,乌鲁木齐,23:28
D2719,动车组,西宁,11:20,临泽南,当天13:35,13:37,乌鲁木齐,21:58
D2749,动车组,兰州西,13:46,临泽南,当天17:17,17:19,嘉峪关南,18:28
D2754,动车组,嘉峪关南,17:05,临泽南,当天18:06,18:08,兰州西,21:47
D2781,动车组,西宁,07:30,临泽南,当天09:44,09:46,嘉峪关南,10:47
D2782,动车组,嘉峪关南,11:25,临泽南,当天12:26,12:28,兰州西,16:20
D4182,动车组,乌鲁木齐,08:30,临泽南,当天16:23,16:25,西宁,18:37
D4719,动车组,西宁,08:40,临泽南,当天11:03,11:05,乌鲁木齐南,19:20
D4813,动车组,兰州西,11:53,临泽南,当天17:20,17:22,嘉峪关南,18:38
D4814,动车组,嘉峪关南,11:25,临泽南,当天12:43,12:45,兰州西,18:11
D4815,动车组,兰州西,13:33,临泽南,当天19:00,19:02,嘉峪关南,20:18
D4816,动车组,嘉峪关南,13:15,临泽南,当天14:33,14:35,兰州西,20:19
D4817,动车组,兰州西,12:00,临泽南,当天16:24,16:25,乌鲁木齐南,00:25
