车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D2804,动车组,广州南,07:06,龙洞堡,当天12:24,12:26,贵阳北,12:44
D2808,动车组,珠海,07:45,龙洞堡,当天14:10,14:12,贵阳北,14:30
D2810,动车组,广州南,09:25,龙洞堡,当天14:43,14:46,贵阳北,15:04
D2811,动车组,贵阳北,09:13,龙洞堡,当天09:29,09:31,广州南,14:49
D2813,动车组,贵阳北,09:40,龙洞堡,当天09:56,09:58,广州南,14:56
D2820,动车组,广州南,11:49,龙洞堡,当天17:08,17:10,贵阳北,17:29
D2824,动车组,广州南,12:00,龙洞堡,当天17:05,17:07,贵阳北,17:25
D2825,动车组,贵阳北,14:15,龙洞堡,当天14:31,14:33,广州南,19:52
D2833,动车组,贵阳北,16:36,龙洞堡,当天16:52,16:54,广州南,22:20
D2835,动车组,贵阳北,16:55,龙洞堡,当天17:11,17:13,广州南,22:24
D2841,动车组,贵阳北,17:47,龙洞堡,当天18:03,18:05,广州南,23:17
D2852,动车组,广州南,09:06,龙洞堡,当天14:24,14:26,贵阳北,14:44
D2855,动车组,贵阳北,09:18,龙洞堡,当天09:34,09:37,广州南,14:59
D2858,动车组,广州南,09:00,龙洞堡,当天14:27,14:29,贵阳北,14:47
D2863,动车组,贵阳北,09:39,龙洞堡,当天09:55,09:57,广州南,15:15
D2877/D2880,动车组,广州,11:25,龙洞堡,当天16:44,16:46,贵阳北,17:05
D3522,动车组,南宁东,07:50,龙洞堡,当天13:00,13:02,贵阳北,13:20
D3529,动车组,贵阳北,15:55,龙洞堡,当天16:11,16:13,梧州南,22:44
D3562,动车组,南宁东,07:50,龙洞堡,当天12:57,13:06,贵阳北,13:25
D3566,动车组,南宁东,10:15,龙洞堡,当天15:32,15:34,贵阳北,15:53
D3567,动车组,贵阳北,16:00,龙洞堡,当天16:16,16:19,梧州南,22:50
D4131,动车组,贵阳北,13:09,龙洞堡,当天13:25,13:27,桂林北,15:48
D4136,动车组,桂林北,14:05,龙洞堡,当天16:29,16:31,贵阳北,16:49
D5402,动车组,都匀东,08:18,龙洞堡,当天08:57,08:59,贵阳北,09:17
D5414,动车组,从江,11:16,龙洞堡,当天12:42,12:44,贵阳北,13:02
D5415,动车组,贵阳北,14:48,龙洞堡,当天15:04,15:06,从江,16:30
D5416,动车组,从江,17:02,龙洞堡,当天18:21,18:23,贵阳北,18:40
D5417,动车组,贵阳北,17:35,龙洞堡,当天17:51,17:53,从江,19:24
G2946/G2947,高速动车,桂林北,12:25,龙洞堡,当天14:48,14:51,昆明南,17:36
