车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D7811,动车组,长沙南,06:40,娄底南,当天07:31,07:33,怀化南,08:47
D7812,动车组,怀化南,20:56,娄底南,当天22:01,22:03,长沙南,22:44
G1321,高速动车,上海虹桥,06:25,娄底南,当天12:42,12:44,贵阳北,15:38
G1322,高速动车,贵阳北,09:07,娄底南,当天12:01,12:03,上海虹桥,18:22
G1324,高速动车,贵阳北,10:06,娄底南,当天12:53,12:55,上海虹桥,19:23
G1325,高速动车,南京南,07:39,娄底南,当天15:42,15:44,贵阳北,18:31
G1326,高速动车,贵阳北,11:44,娄底南,当天14:34,14:36,上海虹桥,20:56
G1327,高速动车,上海虹桥,11:39,娄底南,当天18:06,18:08,贵阳北,21:04
G1328,高速动车,贵阳北,11:54,娄底南,当天14:49,14:51,上海虹桥,21:42
G1329,高速动车,上海虹桥,13:42,娄底南,当天19:54,19:56,贵阳北,22:37
G1331,高速动车,杭州东,14:59,娄底南,当天20:17,20:19,贵阳北,23:00
G1369,高速动车,上海虹桥,12:40,娄底南,当天19:09,19:11,怀化南,20:10
G1370,高速动车,怀化南,09:20,娄底南,当天10:18,10:20,上海虹桥,16:38
G1371,高速动车,上海虹桥,07:22,娄底南,当天13:38,13:40,昆明南,19:18
G1377,高速动车,南京南,07:39,娄底南,当天15:44,15:46,昆明南,21:20
G1379,高速动车,南京南,07:39,娄底南,当天14:57,14:59,昆明南,20:19
G1397,高速动车,合肥南,08:28,娄底南,当天15:09,15:11,昆明南,20:41
G1421,高速动车,杭州东,07:31,娄底南,当天12:50,12:52,昆明南,18:30
G1484,高速动车,贵阳北,08:04,娄底南,当天10:51,10:53,南京南,17:53
G1512,高速动车,贵阳北,08:49,娄底南,当天11:37,11:39,南昌西,14:08
G1513,高速动车,南昌西,14:32,娄底南,当天17:10,17:12,贵阳北,20:07
G1521,高速动车,武汉,08:01,娄底南,当天10:12,10:14,贵阳北,13:28
G1522,高速动车,贵阳北,10:27,娄底南,当天13:21,13:23,武汉,15:33
G1523,高速动车,武汉,16:07,娄底南,当天18:13,18:15,贵阳北,21:17
G1531,高速动车,郑州东,07:37,娄底南,当天12:23,12:25,贵阳北,15:13
G1534,高速动车,贵阳北,15:35,娄底南,当天18:22,18:24,郑州东,22:57
G1685/G1688,高速动车,厦门北,09:21,娄底南,当天17:30,17:33,贵阳北,20:29
G1686/G1687,高速动车,贵阳北,09:34,娄底南,当天12:22,12:29,厦门北,20:28
G1695/G1698,高速动车,福州,08:42,娄底南,当天14:00,14:03,昆明南,19:28
G2102,高速动车,贵阳北,07:42,娄底南,当天10:29,10:31,长沙南,11:12
G2103,高速动车,长沙南,11:33,娄底南,当天12:15,12:17,贵阳北,15:19
G2104,高速动车,贵阳北,12:04,娄底南,当天14:58,15:00,长沙南,15:34
G2105,高速动车,长沙南,13:20,娄底南,当天13:55,13:57,贵阳北,17:04
G2106,高速动车,贵阳北,16:00,娄底南,当天18:54,18:56,长沙南,19:37
G2107,高速动车,长沙南,19:55,娄底南,当天20:30,20:32,贵阳北,23:08
G2108,高速动车,贵阳北,17:40,娄底南,当天20:33,20:35,长沙南,21:16
G2111,高速动车,长沙南,07:23,娄底南,当天08:05,08:07,昆明南,13:29
G2112,高速动车,昆明南,07:47,娄底南,当天13:08,13:10,长沙南,14:01
G2114,高速动车,昆明南,09:25,娄底南,当天14:54,14:56,长沙南,15:30
G2115,高速动车,长沙南,08:23,娄底南,当天09:05,09:07,昆明南,14:39
G2116,高速动车,昆明南,10:30,娄底南,当天15:55,15:57,长沙南,16:38
G2117,高速动车,长沙南,08:35,娄底南,当天09:10,09:13,昆明南,14:56
G2119,高速动车,长沙南,09:13,娄底南,当天09:55,09:57,昆明南,15:28
G2121,高速动车,长沙南,14:54,娄底南,当天15:36,15:38,昆明南,21:08
G2122,高速动车,昆明南,15:09,娄底南,当天20:40,20:42,长沙南,21:29
G2123,高速动车,长沙南,15:52,娄底南,当天16:27,16:29,昆明南,22:00
G2302/G2303,高速动车,温州南,10:21,娄底南,当天16:43,16:45,贵阳北,19:41
