车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3555/3558,普快,信阳,13:00,罗山,当天13:42,13:47,上海,04:49
3556/3557,普快,上海,05:49,罗山,当天19:22,19:27,信阳,20:09
3801/3804,普快,安康,23:58,罗山,第2日11:29,11:35,上海,02:08
8323,普快,固始,13:53,罗山,当天16:15,16:17,信阳,17:04
8324,普快,信阳,08:00,罗山,当天08:47,08:49,固始,11:11
K1039/K1042,快速,兰州,22:02,罗山,第2日18:14,18:18,宁波,08:09
K1122/K1123,快速,绍兴,09:16,罗山,当天21:08,21:12,宝鸡,10:19
K1309/K1312,快速,东莞东,18:10,罗山,第2日12:33,12:37,西宁,12:23
K1310/K1311,快速,西宁,20:00,罗山,第2日19:20,19:23,东莞东,13:17
K1324,快速,苏州,17:15,罗山,第2日07:41,07:45,榆林,05:15
K305/K308,快速,温州,18:50,罗山,第2日12:46,12:49,兰州,08:08
K306/K307,快速,兰州,20:33,罗山,第2日17:46,17:49,温州,13:40
K382/K383,快速,宜昌东,13:55,罗山,当天22:01,22:05,南通,07:36
K393/K396,快速,西安,23:58,罗山,第2日10:13,10:18,福州,07:10
K425/K428,快速,洛阳,16:38,罗山,第2日00:52,00:55,宁波,15:18
K426/K427,快速,宁波,18:03,罗山,第2日07:28,07:31,洛阳,17:24
K655/K658,快速,呼和浩特东,16:34,罗山,第2日18:02,18:06,杭州,06:06
K656/K657,快速,杭州,21:35,罗山,第2日07:56,08:02,呼和浩特东,12:12
K821/K824,快速,深圳东,16:58,罗山,第2日12:17,12:25,信阳,13:10
K822/K823,快速,信阳,19:26,罗山,当天19:58,20:01,深圳东,15:28
K987/K990,快速,信阳,20:40,罗山,当天21:12,21:16,福州,15:52
K988/K989,快速,福州,17:19,罗山,第2日12:55,12:59,信阳,13:38
T235/T238,空调特快,重庆北,07:40,罗山,当天22:57,23:00,南通,07:57
T236/T237,空调特快,南通,18:02,罗山,第2日03:44,04:00,重庆北,20:50
T389,空调特快,合肥,17:00,罗山,当天20:50,20:53,西宁,18:56
T390,空调特快,西宁,08:20,罗山,第2日06:09,06:12,合肥,10:00
