车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
3098,普快,邓州,08:06,洛阳东,当天14:10,14:31,北京西,02:32
4707,普快,南阳,10:02,洛阳东,当天14:55,15:02,洛阳,15:10
4731/4734,普快,洛阳,07:19,洛阳东,当天07:27,07:37,邓州,12:25
4732/4733,普快,南阳,12:12,洛阳东,当天15:41,15:43,洛阳,15:51
6901,普慢,新乡,05:36,洛阳东,当天10:59,11:10,洛阳,11:21
6902,普慢,洛阳,13:01,洛阳东,当天13:09,13:18,新乡,18:24
6917/6920,普慢,洛阳,06:34,洛阳东,当天06:42,06:46,嘉峰,11:11
6918/6919,普快,嘉峰,13:04,洛阳东,当天16:38,16:40,洛阳,16:48
K269,快速,北京西,07:00,洛阳东,当天17:37,17:39,洛阳,17:47
K270,快速,洛阳,19:20,洛阳东,当天19:28,19:31,北京西,05:34
K29/K32,快速,洛阳,13:14,洛阳东,当天13:22,13:25,福州,13:28
K330/K331,快速,洛阳,17:00,洛阳东,当天17:08,17:10,天津,06:14
K425/K428,快速,洛阳,16:38,洛阳东,当天16:46,16:51,宁波,15:18
K4641/K4644,快速,洛阳,12:08,洛阳东,当天12:16,12:27,信阳,19:02
K5347,快速,郑州,12:20,洛阳东,当天13:57,14:00,洛阳,14:08
K5352,快速,洛阳,07:25,洛阳东,当天07:33,07:37,郑州,09:25
K5357,快速,商丘,13:21,洛阳东,当天17:49,17:53,洛阳,18:01
K5358,快速,洛阳,07:58,洛阳东,当天08:06,08:11,商丘,12:41
K5391,快速,郑州,08:05,洛阳东,当天10:35,10:47,洛阳,10:55
K5392,快速,洛阳,17:42,洛阳东,当天17:50,18:10,郑州,20:51
K736/K737,快速,洛阳,19:34,洛阳东,当天19:42,19:46,上海,12:35
K756/K757,快速,广州,18:54,洛阳东,第2日19:12,19:22,洛阳,19:30
