车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D3110,动车组,福州,20:24,罗源,当天21:00,21:02,温州南,22:37
D3214,动车组,厦门北,10:14,罗源,当天12:09,12:11,南京南,18:55
D3220,动车组,厦门北,17:44,罗源,当天19:59,20:02,宁波,23:00
D377,动车组,杭州东,08:24,罗源,当天13:08,13:10,厦门北,15:18
D380,动车组,厦门北,15:35,罗源,当天17:33,17:35,杭州东,22:12
D4082,动车组,深圳北,10:45,罗源,当天17:33,17:35,上海虹桥,23:44
D6314,动车组,福州,14:46,罗源,当天15:33,15:35,福鼎,16:39
D6332,动车组,厦门,08:54,罗源,当天11:31,11:33,福鼎,12:24
D6335,动车组,福鼎,10:29,罗源,当天11:39,11:41,福州,12:23
D6336,动车组,福州,08:34,罗源,当天09:16,09:18,福鼎,10:09
D6340,动车组,福州,14:45,罗源,当天15:38,15:40,福鼎,16:32
D9903,动车组,宁德,19:51,罗源,当天20:02,20:04,福州南,20:41
D9904,动车组,福州南,18:20,罗源,当天18:56,18:58,宁德,19:10
D9976/D9977,动车组,宁德,19:25,罗源,当天19:36,19:38,福州南,20:16
D9978,动车组,福州南,18:20,罗源,当天18:56,18:58,宁德,19:10
